,Life expectancy at birth,,Neonatal mortality rate,,Infant mortality rate,,Under-five mortality rate,,,,Adult mortality rate,
,,,,,,,Total,,Male,Female,Male,Female
,years,,"per 1,000 live births",,"per 1,000 live births",,"per 1,000 live births",,"per 1,000 live births","per 1,000 live births","per 1,000","per 1,000"
,1990,2019,1990,2019,1990,2019,1990,2019,2019,2019,2014-19,2014-19
Afghanistan,50,65,74,36,120,47,178,60,64,57,234,189
Albania,72,79,13,8,36,9,41,10,11,9,92,49
Algeria,67,77,23,16,42,20,50,23,25,22,102,80
American Samoa,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,..,..,7,1,9,3,13,3,3,3,..,..
Angola,45,61,53,28,131,50,222,75,80,69,323,217
Antigua and Barbuda,72,77,8,4,12,6,14,7,7,6,126,82
Argentina,72,77,15,6,25,8,29,9,10,8,145,79
Armenia,68,75,23,6,42,11,49,12,13,11,172,65
Aruba,73,76,..,..,..,..,..,..,..,..,109,68
Australia,77,83,5,2,8,3,9,4,4,3,73,43
Austria,76,82,5,2,8,3,10,4,4,3,79,42
Azerbaijan,65,73,33,11,76,18,95,20,22,18,149,88
"Bahamas, The",70,74,14,7,20,11,24,13,14,12,192,116
Bahrain,72,77,15,3,20,6,23,7,7,7,71,55
Bangladesh,58,73,64,19,100,26,144,31,33,29,149,113
Barbados,75,79,12,8,16,12,18,13,14,12,128,91
Belarus,71,74,9,1,12,2,15,3,4,3,231,80
Belgium,76,82,5,2,8,3,10,3,4,3,80,49
Belize,71,75,18,8,31,11,38,12,14,11,212,117
Benin,54,62,46,31,106,59,175,90,96,84,256,208
Bermuda,74,82,..,..,..,..,..,..,..,..,..,..
Bhutan,53,72,42,17,89,24,127,29,31,26,195,191
Bolivia,56,72,41,15,84,21,122,26,29,23,217,137
Bosnia and Herzegovina,71,77,11,4,16,5,18,6,6,5,114,59
Botswana,59,70,17,18,36,32,48,42,45,38,248,160
Brazil,66,76,25,8,52,12,63,14,16,12,186,90
Brunei Darussalam,70,76,6,6,10,10,13,11,13,10,142,98
Bulgaria,72,75,8,3,15,6,18,7,7,6,184,86
Burkina Faso,49,62,46,26,99,54,199,88,92,83,256,224
Burundi,48,62,40,21,105,40,174,57,61,52,307,249
Cabo Verde,65,73,20,9,47,13,61,15,16,13,180,84
Cambodia,54,70,40,15,85,23,116,27,30,23,197,130
Cameroon,53,59,40,26,84,50,136,75,81,69,314,277
Canada,77,82,4,3,7,4,8,5,5,5,84,50
Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..
Central African Republic,49,53,52,40,116,81,177,110,116,104,449,368
Chad,47,54,52,33,112,69,212,114,120,107,375,333
Channel Islands,75,83,..,..,..,..,..,..,..,..,47,32
Chile,74,80,9,5,16,6,19,7,8,6,106,59
China,69,77,30,4,42,7,54,8,8,7,92,59
"Hong Kong SAR, China",77,85,..,..,..,..,..,..,..,..,61,33
"Macao SAR, China",77,84,..,..,..,..,..,..,..,..,58,24
Colombia,70,77,18,8,29,12,35,14,15,12,150,77
Comoros,57,64,50,30,88,48,124,63,68,58,243,192
"Congo, Dem. Rep.",49,61,42,27,119,66,185,85,91,78,271,222
"Congo, Rep.",55,65,27,19,59,35,90,48,52,44,277,237
Costa Rica,76,80,9,6,14,8,17,9,9,8,111,56
Cote d'Ivoire,53,58,49,33,104,59,152,79,87,71,357,321
Croatia,72,78,8,3,11,4,13,5,5,4,116,49
Cuba,75,79,7,2,11,4,14,5,6,5,112,73
Curacao,..,78,..,..,..,..,..,..,..,..,128,63
Cyprus,77,81,6,1,10,2,11,2,3,2,64,32
Czech Republic,71,79,7,2,10,3,12,3,4,3,110,51
Denmark,75,81,4,3,7,3,9,4,4,3,74,44
Djibouti,57,67,49,31,92,48,118,58,62,52,229,175
Dominica,74,..,10,28,13,31,17,35,39,34,..,..
Dominican Republic,67,74,24,19,46,24,60,28,31,25,196,114
Ecuador,69,77,22,7,42,12,54,14,16,12,159,87
"Egypt, Arab Rep.",65,72,33,11,63,17,86,20,22,19,181,104
El Salvador,64,73,22,7,46,11,60,13,15,12,265,102
Equatorial Guinea,49,59,48,29,120,60,178,82,88,76,331,291
Eritrea,50,66,35,18,94,31,153,41,46,35,272,198
Estonia,69,78,10,1,14,2,18,2,3,2,155,56
Eswatini,62,60,22,18,51,39,67,49,54,45,474,304
Ethiopia,47,67,59,28,119,37,200,51,56,45,233,181
Faroe Islands,76,83,..,..,..,..,..,..,..,..,..,..
Fiji,65,67,12,11,24,22,29,26,28,23,256,173
Finland,75,82,4,1,6,2,7,2,3,2,87,43
