"Data Source","World Development Indicators",

"Last Updated Date","2021-09-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Western and Central","AFW","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","563262441873.412","588103240354.162","665384986900","695951509682.362","823312065572.476","1026891927890.7","1294272135819.03","1234744682861","1314502732312.2","1023455998948","1296738549528.88","1513167172385.13","1600748141868.94","1631043972736.14","1593647544155.03","1381352572223.17","1428294914756.65","1494735420513.2","1483039556434.03","1463542847146.55","1278753625100.57",
"Albania","ALB","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","625971754297.399","553796321309.116","601994330336.581","687019880943.242","740716650913.017","805861539980.349","840387024961.958","882399884586.573","934294147039.626","968413105841.966","1024978771069.27","1088340862996.85","1175856020420.98","1210896175265.65","1239645590000","1260844252387.57","1280957556241.3","1290100716522.6","1313280463347.55","1337063763564.4","1376547863958.8","1438065589152.67","1503405903468.42","1519300837285.88","1454248674050.41",
"Andorra","AND","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","692953849397.159","719212015780.35","777908439168.696","863492226933.044","972956669240.099","1142503911923.19","1209886480808.57","1350845381384.38","1112880732654.56","1064244000000","1263812163689.81","1323237217847.11","1405348477433.17","1466667283354.15","1300034722982.25","1307317243898.19","1401697229762.54","1489534491785","1561645600088.22","",
"Argentina","ARG","Gross domestic income (constant LCU)","NY.GDY.TOTL.KN","186371440902.202","200126385722.608","185397940652.774","179874775770.022","202045147896.268","229874303084.533","221649120789.449","231065017812.15","240369110877.457","260786207856.696","267678492637.373","282067001165.135","287986798288.28","298124960789.812","311456481594.104","311351953411.194","303850533526.309","322084185460.361","306914133945.621","341444735203.242","351609587120.686","335307833024.453","326248258580.489","341134107465.045","349532208720.998","326949133517.453","344639923227.544","352394174119.615","350985268017.535","325309529885.45","313421274436.601","345369716653.811","376499897055.07","407983002212.652","431810213782.731","418345982271.772","446455007248.899","482100854165.798","496399749196.471","474992981418.031","477782610042.63","456549290725.324","397853912219.373","440712254592.421","485115195200","524624774063.214","571688158324.275","628658116831.886","668665522552.647","629858061629.013","701335701295.071","760811079823.987","756633951639.602","759855690006.951","736498325588.407","746527494202.225","736387011118.893","755055357165.095","742771337265.442","724471528466.422","656029017658.157",
