"","Entity","Total confirmed deaths due to COVID-19 per million people","mean","pop","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","flag","Income classification (World Bank 2017)","Gini index","GDP growth from previous year, 2020 Q2","GDP per capita PPP 2011 – WDI (2016)","pop2021","Gini coefficient (World Bank (2016))","GDP per capita","Population.y","GDP","Cost of closing the poverty gap in int-$ 2011 (PovcalNet (World Bank) (2017))","National poverty lines (Jolliffe and Prydz (2016))","Multidimensional Poverty (headcount ratio) (Alkire and Robles (2016))","Percentage contribution of deprivations in education to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in health to overall poverty (Alkire and Robles (2016))","Percentage contribution of deprivations in living standards to overall poverty (Alkire and Robles (2016))","Mean monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Median monthly per capita expenditure in 2011 int-$ (PovcalNet 2017)","Poverty rate (<50% of median) (LIS Key Figures, 2018)"
"1","Afghanistan",39.277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1844.021503,39835.428,NA,1934.555,34940837,67594970922.535,NA,NA,66.2,39.7,28.6,31.7,NA,NA,NA
"2","Albania",169.226,225.27,2.9000001,"82.44882","116.91513","138.31578","158.36481","182.01816","208.60002","236.98404","276.85683","335.42703","516.54411","99.681975","148.340295","195.30909","256.920435","425.98557",0,3,33.17109,NA,10136.02049,2872.933,28.96,11104.1665,3062734.429,34009113044.8984,4.0223,3.8,1.4,32,44.9,23,225.28,195.06,NA
"3","Algeria",44.035,247.73,36.82,"100.33065","131.54463","157.55628","181.09063","204.12952","228.65479","257.39147","294.7987","355.74028","566.31078","115.93764","169.323455","216.392155","276.095085","461.02553",0,3,27.61573,NA,13540.79671,44616.624,35.33,14228.025,41489774.54,590317549399.484,NA,NA,1.5,46,32.7,21.3,NA,NA,NA
"4","Andorra",931.858,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,77.355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","Angola",8.215,120.76,21.76,"24.99732","40.57536","52.16832","64.0028","78.97704","95.64192","116.5334","148.41404","195.99348","390.17556","32.78634","58.08556","87.30948","132.47372","293.08452",0,2,51.27211,NA,6949.021848,33933.61,42.72,7771.4418,22637958.64,175929578041.567,1392.07642,2.17,NA,NA,NA,NA,120.74,87.02,NA
"6","Antigua and Barbuda",30.635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,21061.86786,98.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Argentina",657.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,45605.826,42.28,18556.3831,44694768.93,829373254831.057,256.282925,NA,2.9,41.9,12.9,45.2,NA,NA,NA
"8","Armenia",419.474,211.11,2.9300001,"73.8885","103.02168","121.81047","139.12149","157.48806","178.38795","202.87671","239.18763","296.18733","598.91907","88.45509","130.46598","167.938005","221.03217","447.5532",0,2,29.87821,NA,7698.694581,2968.127,31.54,11454.4251,2906869.202,33296515549.8058,11.611964,3.87,0.3,25.8,64.8,9.4,192.27,161.59,NA
"9","Australia",35.49,1765.88,23.5,"425.57708","776.9872","971.234","1149.58788","1312.04884","1522.18856","1787.07056","2122.58776","2687.66936","4905.61464","601.28214","1060.41094","1417.1187","1954.82916","3796.642",0,4,34.39943,NA,43218.51526,25788.215,34.94,49830.7993,24855303.67,1238559648720.32,NA,28.14,NA,NA,NA,NA,1655.85,1329.87,13.939
"10","Austria",111.698,1681.71,8.6400003,"502.83129","822.35619","1020.79797","1199.05923","1385.72904","1582.48911","1791.02115","2058.41304","2450.25147","4005.83322","662.59374","1109.9286","1484.109075","1924.717095","3228.042345",0,4,30.84879,-13.3,43908.12714,9043.07,30.48,42988.0709,8892454.031,382269444359.619,NA,27.02,NA,NA,NA,NA,1634.26,1423.73,8.778
"11","Azerbaijan",67.856,315.14001,8.3900003,"152.8429","186.87802","208.62268","229.73706","250.22116","274.48694","306.94636","350.43568","429.22068","762.00852","169.86046","219.17987","262.35405","328.69102","595.6146",0,3,26.55491,NA,16710.29664,10223.342,16.64,16628.0553,9647924.472,160426221650.639,8.492601,5.19,5.3,24.4,49.4,26.2,312.41,256.42,NA
"12","Bahamas",335.666,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,22411.05684,396.913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","Bahrain",185.709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,43408.23705,1748.296,NA,39498.7672,1583829.316,62559305437.2192,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","Bangladesh",35.449,117.31,162.95,"43.4047","57.95114","68.0398","77.89384","88.09981","100.18274","115.43304","135.96229","171.2726","314.74273","50.67792","72.96682","94.141275","125.697665","243.007665",0,2,32.38527,NA,2979.16727,166303.498,31.98,4099.253,167474842.2,686521749312.877,2016.32351,NA,41.3,21.1,32.5,46.4,109.03,86.64,NA
