"","debt_relief","population_without_access_to_improved_sanitation_x","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","days_since_50_daily_new_confirmed_cases_recorded","days_since_10_daily_new_confirmed_deaths_recorded","weekly_case_growth","weekly_death_growth","biweekly_case_growth","biweekly_deaths_per_million_people","case_fatality_rate_of_covid_19_short_term","case_fatality_rate_of_covid_19_only_observations_with_100_cases"
"1",0,22974552,1529,2.903,1056.942,202,184,102.099737532808,57.8947368421053,55.5405405405405,1.259,7.317,3.716
"2",1,195888,487,98.686,6855.584,135,101.49,9.42601369141654,0,78.0214861235452,20.154,2.367,2.468
"3",1,4944069,1931,6.545,1293.151,219,209,29.6527777777778,40.4255319148936,62.8261939931068,2.577,6.203,3.405
"4",1,0,72,1100.11,57076.296,147,83.79,25.3184713375796,100,37.5121477162294,194.137,1.608,1.633
"5",0,13483904,270,8.002,293.432,109,21,35.3467561521253,-24.1379310344828,99.3682880606444,1.552,2.304,2.8
"6",1.01,8232,3,0,1266.236,101.12,74.29,-37.5,-100,30,0,0,2.419
"7",1,1563040,29730,316.578,24705.76,220,201,-4.27013455729473,4.03481012658229,10.612661146398,114.126,2.888,2.663
"8",0.78,306280,1243,756.268,27892.161,213,153,97.732342007435,129.032258064516,175.444227903244,68.844,2.916,1.504
"9",0,0,905,0.549,1080.044,227,93,-1.76991150442478,-100,-11.8110236220472,0.235,0,3.286
"10",2,0,1006,299.565,9742.627,231,215,81.4870446864438,64.5833333333333,127.928544279742,14.101,0.989,1.146
"11",0,1032479,688,65.39,5044.691,211,110,50.6575185820469,130.434782608696,287.62157382847,7.496,3.238,1.345
"12",1,30947,132,91.545,16534.096,96,64,-23.8157894736842,-50,6.26984126984127,61.03,1.19,2.03
"13",1,10975,316,0,47328.282,230,143.26,-11.5435647943388,-42.1052631578947,-27.1623931623932,17.631,0.409,0.392
"14",0,63513149,5838,8.106,2438.445,202,194,-3.07349234050804,13.9344262295082,5.61044093178036,1.585,1.417,1.454
"15",1,10800,7,0,810.799,131.27,82.14,-8.33333333333334,-100,15,0,0,3.004
"16",0,540908,965,95.457,10012.254,208,129,29.9885974914481,-9.67741935483871,60.9993614303959,6.244,0.774,1.02
"17",1,56371,10921,359.719,29553.093,235,223,35.8275277197606,100.851063829787,191.652798002912,61.003,1.091,3.189
"18",2,34132,51,80.479,8128.343,76,74.67,14.9501661129568,0,0.778816199376942,30.179,1.942,1.578
"19",1,8492489,41,0,210.918,172,111.25,-28.2352941176471,-100,105.633802816901,0,0,1.603
"21",2,5330178,8672,14.735,12089.75,202,173,-2.51121076233184,-16.5714285714286,-48.5634197617379,27.499,10.174,6.145
"22",0,183870,1104,6.096,12684.653,212,112,47.6992409867173,24.2857142857143,164.312832194381,47.854,3.372,2.653
"23",2,808566,21,0,2671.77,120,79.16,18.2456140350877,-100,-33.3690412426352,0.425,0,0.334
"24",0,35425483,157946,140.135,25591.156,226,217,3.34381198308447,-19.0153685855692,-3.00292169732168,32.687,2.218,2.904
"25",0,6414800.91,3,0,338.299,151.56,89.43,0,-100,100,0,0,2.027
"26",1,1004919,1161,369.723,6145.404,194,144,77.9931023156512,47.9166666666667,223.837765448632,34.252,3.688,2.719
"27",2,14542831,67,0.335,117.972,44,144.47,-40.5940594059406,0,-41.025641025641,0.191,2.41,2.717
"28",1,5303620,1,0.084,46.927,132.28,104.61,-61.9047619047619,-100,26.0869565217391,0,0,0.179
"30",0,12376311,426,0,820.957,210,191,-5.90717299578059,-50,-7.07070707070707,0.113,0.193,1.955
"31",1,71697,10001,70.849,5905.518,227,214,14.2321651692747,47.8571428571429,20.3409090909091,9.194,1.273,4.487
"32",2,148150,94,88.131,15237.739,127,81.86,-11.7465224111283,-30,-10.0443131462334,30.576,0.937,1.11
"33",0,3555050,62,0,1006.881,165,112.7,66.6666666666667,-100,-73.3333333333333,0,0,1.275
"34",1,12314274,96,1.157,88.884,175,173,-21.7948717948718,200,8.59375,0.244,3.846,6.575
"35",0,159864,14026,48.493,26392.524,225,196,-1.48068248676211,5.88235294117647,-11.9016536118364,32.956,2.964,2.78
"36",2,322236700,4739,0.029,63.375,283,280,18.9024390243902,-100,8.78787878787879,0,0,5.195
"37",2,9115224,30565,160.486,20305.807,220,204,18.061189824344,14.3236074270557,9.05892700087951,47.639,2.464,2.958
"38",0.66,499106,7,0,594.53,133.73,80.01,62.5,-100,23.5294117647059,0,0,1.354
"39",0,4246301,92,0,951.959,166,72,155.263157894737,-100,44.7761194029851,0,0,1.751
"40",1,264432,1329,169.215,20675.234,146,94,-3.69599167100468,9.18367346938775,-3.51797364717923,40.243,1.292,1.262
"41",2,17909066,122,0.076,776.7,204,144.79,-8.17610062893081,0,-40.6614785992218,0.076,0.355,0.595
"42",1,126108,470,344.192,9407.668,220,12,100.3066439523,69.2307692307692,282.137437676133,34.103,2.672,1.217
"43",2,779377,128,7.328,589.585,202,148.78,29.5138888888889,-75,36.0082304526749,0.441,0.73,1.917
"44",2,0,25,206.645,4357.808,209,109.88,23.4848484848485,-100,482.236842105263,0,0,0.655
"45",1,54328189,304,0.19,124.942,180,165,-35.5670103092783,-92.5925925925926,32.3651452282158,0.324,1.538,2.717
"46",0,22734,709,128.621,7278.232,232,218,76.7726161369193,50,60.6528295192478,6.043,0.728,1.682
"47",0,487820,61,3.036,5611.325,197,115.91,-36.6197183098591,-100,866.666666666667,0,0,1.1
"49",0,1684543,2226,15.21,11523.701,220,214,2.36087689713322,4.76190476190477,-15.588069780529,3.964,0.626,1.781
"50",2,2470088,12588,57.473,9249.643,224,212,52.7086137281292,8.87573964497042,20.9225567541459,20.008,3.314,7.714
"51",2,4970243,6222,1.661,1044.39,216,206,27.6688453159041,12.6760563380282,22.3653395784543,1.476,9.091,5.822
"52",0,1578120,962,0,5076.161,177,125,-36.4548494983278,-14.7058823529412,63.1087391594396,9.713,3.139,2.922
"53",0.46,299724,83,0,3622.99,186,130,12.5,-100,-52.7777777777778,0,0,1.633
"55",0,36831,73,27.892,3365.902,228,164.5,54.337899543379,-33.3333333333333,-6.070826306914,3.769,0.862,1.635
"57",0,71908584,1445,4.445,819.546,157,113,-21.8776194467728,12.1212121212121,-23.6572660319741,1.218,1.337,1.534
"58",2,79401,2,0,36.812,107.32,72.91,-100,-100,-100,0,0,5.15898
"59",1,131509,354,34.833,2736.649,229,189,-2.66666666666666,-40,2.18642117376295,1.444,0.181,2.335
"60",0,866113,35541,511.953,18364.187,237,232,53.7530196875018,73.9495798319328,114.898776374999,39.955,1.319,2.965
"61",1,1121432,54,0,4015.315,173,102.31,120.833333333333,-100,-28.7037037037037,0,0,0.604
"62",1,812789,119,0,1516.553,94,75,-47.3684210526316,0,-49.1228070175439,0.414,3.226,3.247
"63",0,509243,253,433.924,8487.469,49,11,99.5581527936146,69.6428571428571,201.318996415771,37.852,2.521,0.747
"64",0,653493,10183,178.602,5540.906,241,222,80.7761439677762,55.5555555555556,185.79552969184,6.039,0.991,2.193
"65",0,23472981,316,0,1537.511,215,129,-6.26865671641791,100,0.77639751552796,0.193,1.347,0.661
"66",2,108209,593,120.502,3142.265,228,16,84.3062481666178,-1.51515151515151,96.3135507393154,12.568,2.551,1.811
"68",2,5867127,3665,37.788,5892.697,172,152,-12.6855952070852,-12.5,-2.98165137614679,14.233,3.51,3.472
"69",0,9661135,71,11.422,899.961,206,115.68,-30.4455445544554,0,37,0.076,0.308,0.601
"70",0.81,1402257,41,0,1221.038,180,118.65,-100,-100,-70.4918032786885,0.508,0,1.706
"71",1,125268,119,44.498,5162.995,76,83.91,14.7186147186147,-37.5,-31.0152990264256,16.528,1.684,2.93
"72",1,7754808,232,0,791.579,163,109,-43.8202247191011,0,-0.714285714285712,0.175,1.429,2.57
"73",2,1559184,2639,66.333,9553.432,186,185,-18.3828996282528,5.55555555555556,11.6175462645648,11.207,1.283,2.789
"74",1,196861,1578,237.155,6825.115,213,203,67.6207703766759,35.1694915254237,75.623210669646,57.451,4.15,2.393
"75",2,3970,11,205.128,13403.663,222,125.82,-27.4285714285714,-100,-6.88591983556013,2.93,0,0.24
"76",1,790668604,120010,31.806,5790.07,220,209,-17.6098688908428,-23.1231231231231,-25.9161663177543,6.829,0.869,1.502
"77",1,101199548,13512,12.869,1449.432,222,222,-2.15450035435861,10.04243281471,-3.56834432968324,5.429,2.68,3.408
"78",1,7936049,33299,82.959,6927.057,243,240,34.7591189539976,15.3258655804481,34.1229544126242,50.349,7.711,5.723
"79",1,5200653,10724,112.126,11434.097,217,150,0.277337559429469,-9.59595959595959,-1.01433382940394,18.746,1.615,2.332
"80",2,444299,1890,141.764,11901.464,225,215,-19.5875015437816,-28.5714285714286,73.5122936215703,12.151,0.442,3.216
"81",1,0,2483,135.52,36049.047,227,208,-40.1777007259725,-8.07174887892377,-75.5584277855107,49.448,1.153,0.796
"82",2,303653,37700,363.684,9341.067,248,239,88.9318952770288,116.77559912854,279.958441360378,24.048,2.561,6.675
"83",0,522692,196,12.833,2967.417,68,73.07,-10.9913793103448,-21.4285714285714,-42.6047120418848,16.885,2.757,2.231
"84",2,0,1730,4.886,775.765,235,196,10.2820986026892,24.390243902439,11.8653576437588,0.727,1.382,1.763
"85",0,128230,668,372.434,5768.322,63,25,39.2214869599066,34.3915343915344,69.9745547073791,43.418,2.454,1.135
"86",0,438603,2221,22.475,7884.077,214,132,18.4782608695652,-13.953488372093,8.77242950726289,4.261,2.137,1.5
"87",0,33018145,934,15.547,945.356,163,131,39.7843665768194,67.2727272727273,149.957853329587,2.734,3.493,1.837
"89",1,0,756,181.475,28823.366,206,168,7.8899819313391,0,26.7597013098299,19.67,0.928,0.614
"90",2,399112,1138,82.462,8779.019,205,117,17.1577655003069,-16.6666666666667,100.311438278596,6.744,0.803,1.987
"92",0,241258,63,72.103,2594.102,212,67.2,66.9700910273082,240,84.7884788478848,11.664,2.496,1.288
"93",1,1129335,590,265.038,10841.056,220,63,14.078185898193,13.4615384615385,3.62451406357192,16.263,0.665,0.797
"94",0,1515728,43,1.867,908.857,108,79.95,307.142857142857,0,-37.9912663755458,0.467,0.667,2.209
"95",0,3739185,82,0.593,280.564,157.01,104,169.230769230769,-100,71.4285714285714,0,0,5.779
"96",0,211988,812,109.441,8437.284,140,85,19.3886167877048,-26.6666666666667,18.4030626196336,22.703,1.046,1.401
"97",0,693289.7,1,1835.488,12664.866,0,61.15,148.936170212766,-100,837.142857142857,0,0,0.207
"98",2,220773,141,151.71,4173.69,216,78.2,119.846350832266,91.6666666666667,179.418344519016,12.857,2.25,1.241
"99",0,13670,147,774.79,23777.269,224,138.8,160.028551034975,266.666666666667,257.984386089425,22.365,1.207,0.988
"100",0,21325997,244,0,612.762,156,103,182.142857142857,500,-43.236074270557,0.253,4.959,1.438
"101",1,10368428,183,0.157,308.26,152,93,5.88235294117647,0,27.2727272727273,0.105,3.846,3.103
"102",2,1228926,238,25.799,884.879,226,4,20.0187090739008,50,104.699738903394,2.317,1.269,0.831
"103",0.77,8592,37,64.75,21398.892,184,110.23,6.4748201438849,-100,-28.1602002503129,3.7,0,0.32
"104",0,13153332,136,0.79,173.573,181,142.08,-9.56521739130435,-100,6.31067961165048,0.198,2.817,3.869
"105",1,0,55,706.619,12875.42,203,59.88,-12.847965738758,350,93.7915742793792,24.913,1.485,0.967
"107",0,2509405,163,3.011,1651.088,160,140,-16.4179104477612,-100,53.75,0,0,2.123
"108",2,87120,10,0,345.189,172.11,101.06,66.6666666666667,-100,23.0769230769231,0,0,2.278
"109",1,18631860,89814,46.086,6990.218,228,208,124.092391004034,18.1156490093004,0.18447978409033,41.836,10.963,9.965
"110",1,838769,1710,160.884,17962.485,210,164,-3.86504377535768,-23.7704918032787,-18.3265160946114,53.297,1.652,2.36
"111",0,0,1,254.816,8154.113,144.43,84.72,63.3333333333333,-100,192.592592592593,0,0,0.312
"113",0.95,25509,275,289.78,27212.282,115,77.52,-26.1699507389163,-17.6470588235294,-23.5580828594639,98.716,1.68,1.609
"114",0,8109174,3445,108.045,5519.64,216,214,12.1186018044158,22.2222222222222,30.8251544892766,20.59,2.058,1.691
"115",0,22268499,89,3.583,392.668,147,77.38,16.2017167381974,120,18.3901292596945,0.512,1.225,0.725
"116",2,10690348,1147,26.944,876.056,62,40,13.6267823930564,-19.8412698412698,-4.34710193204531,8.344,2.042,2.406
"117",0,1591168,133,21.252,5009.611,121,86.74,-1.36239782016349,-66.6666666666667,-15.2325581395349,1.574,0.282,1.045
"119",1,15531705,876,19.563,5505.064,168,67,-10.51701653275,8.8235294117647,15.1969309462916,7.31,0.468,0.546
"120",0,389618,7132,600.121,18181.168,234,224,21.6229865983658,80.2197802197802,72.4684876898459,29.764,0.711,2.289
"121",2,9822165.28,25,0.415,329.101,216,145.84,-18.4210526315789,-100,81.5789473684211,0,0,1.575
"122",0,1952333,156,12.076,832.358,158,154,-1.23456790123457,0,-12.0218579234973,0.302,1.124,2.829
"123",2,17728196,69,0.124,50.317,209,159.38,-33.3333333333333,-100,114.285714285714,0,0,5.665
"124",0,128639038,1135,0.548,301.854,193,179,-39.0769230769231,11.1111111111111,-21.8625498007968,0.092,0.912,1.824
"127",0,98584,280,79.871,3383.173,231,208,80.2904564315353,100,45.9751485683414,0.553,0.199,1.527
"128",0,138594,1203,91.254,22288.707,204,115,-27.0418848167539,17.3913043478261,-23.4237366713027,29.374,1.879,1.057
"129",2,69123887,6759,3.735,1494.846,225,205,27.4468582106984,-26.3736263736264,18.7439024390244,0.715,1.564,2.047
"131",2,992312,2650,155.512,30226.886,221,190,5.40175557056044,-12.1621621621622,-3.35698400931908,32.215,1.346,2.032
"132",0,6422978,7,0,65.72,76,81.64,16.6666666666667,-100,-68.2926829268293,0,0,1.19
"133",0,756860,1327,135.015,8490.255,179,74,-8.03937653814603,-21.9512195121951,-15.6452775775054,30.704,1.774,2.191
"134",1,7467648,34257,58.322,27068.457,222,209,-8.76191421763304,-16.2280701754386,-8.72624745296877,25.416,1.794,3.838
"135",0,26547970,7053,13.816,3405.186,220,213,-22.9921553978334,14.1509433962264,-19.7091217170291,6.215,2.148,1.89
"136",2,1063620,4615,430.686,7404.337,225,209,53.140881228061,44.1935483870968,219.86715508871,40.004,2.592,1.647
"137",2,31074,2371,323.536,12203.155,227,217,41.607937050975,53.3980582524272,145.147181338517,25.596,1.59,1.905
"138",0,49631,230,89.203,45708.524,230,159.07,13.3853151397011,50,14.3454038997215,3.471,0.422,0.175
"139",1,4141436,6574,245.56,11291.173,220,212,20.0403210173303,25.3796095444685,61.9396809998003,54.009,2.638,3.026
"140",0,40058930,26589,113.407,10605.953,222,203,10.1292469916648,17.0760934691432,39.9203147001067,24.826,2.129,1.718
"141",2,4465748,35,0.849,392.52,127,88.72,-2.24719101123596,-50,144.444444444444,0.232,1.754,0.688
"146",2,3172054.52,42,0,25104.603,205.82,147.21,514.285714285714,-100,300,0,0,4.93
"147",0.59,127696,15,0,4293.647,176,107.66,100,-100,-33.3333333333333,0,0,1.594
"148",1,0,5329,11.461,9927.969,222,173,-7.50260507120528,-13.8461538461538,-6.09962724500169,6.951,3.89,1.542
"149",0,7847945,322,0.358,929.949,186,124.27,-26.3157894736842,-60,-27.0718232044199,0.418,1.274,2.068
"150",1,255434,798,154.748,6007.704,216,116,166.666666666667,38.4615384615385,284.67583497053,4.556,1.701,1.952
"152",0,6274501,74,0.501,294.598,156,137.2,-48.1481481481481,0,-52.8735632183908,0.251,3.571,3.149
"153",2,0,28,1.197,9910.53,218,145.08,59.4594594594595,-100,-32.3943661971831,0,0,0.048
"154",2,65086,176,165.029,8435.716,214,10,39.3950922579418,110.810810810811,122.507072135785,21.064,1.025,0.382
"155",1,18572,192,732.588,12315.458,214,94.3,112.204424103738,36.8421052631579,337.286324786325,21.646,0.924,0.75
"157",1,9489615,104,0,247.967,190,152.11,96.1538461538461,50,-72.1014492753623,0.315,2.521,2.639
"158",1,18484024,19053,18.412,12103.639,221,194,-1.86963542109289,-36.7834394904459,6.14158889141816,17.282,3.526,2.654
"159",1,0,461,2.009,509.975,250,194.79,34.9532710280374,-8.33333333333334,16.7130919220056,0.449,1.943,1.763
