"","Entity","Child mortality estimates (Gapminder (2015))","Child mortality 1950-2017 (IHME, 2018).x","Child mortality 1950-2017 (IHME, 2018).y","Inequality in life expectancy (2015-2020)","Inequality in education (2017)","Infant mortality rate","International Historical Statistics (Deaths per 1,000) (Brian Mitchell (2013))","Life expectancy","Population","Life Expectancy (1950-2015) (UN Population Division (2015))","Male life expectancy at birth (HMD (2018) and others)","Male life expectancy at 15 (HMD (2018) and others)","Male life expectancy at 45 (HMD (2018) and others)","Female life expectancy at birth (HMD (2018) and others)","Female life expectancy at 15 (HMD (2018) and others)","Female life expectancy at 45 (HMD (2018) and others)","Female minus male life expectancy at birth (HMD (2018) and others)","Female minus male life expectancy at 15 (HMD (2018) and others)","Female minus male life expectancy at 45 (HMD (2018) and others)","Female-to-male life expectancy ratio at birth (HMD (2018) and others)","Female-to-male life expectancy ratio at 15 (HMD (2018) and others)","Female-to-male life expectancy ratio at 45 (HMD (2018) and others)","Mean BMI (male)","Mean BMI (female)","Neonatal Mortality Rate (via Childmortality.org (2015))","Number of child deaths 1950-2017 (IHME, 2017)","Number of infant deaths (IHME - 2017)","Number of neonatal deaths (IHME - 2017)","Total population (Gapminder, HYDE & UN)","Population by country and region, historic and projections (Gapminder, HYDE & UN)","Share of world population"
"1","Afghanistan",91.1,55.77,55.77,28.4,45.4,5616.784475,NA,64.833,38042000,59.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.68245614,24.23413457,35.5,87,71861,36983,39835428,74937961,0.0051
"2","Africa",NA,NA,NA,NA,NA,NA,NA,63.17,1308064000,59.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1373486472,4280127130,0.1744
"3","Albania",14,13.99,13.99,9.2,8.5,1089.713154,5.073224387,78.573,2881000,77.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.17447081,26.50751203,6.2,0,392,251,2872934,1088338,4e-04
"4","Algeria",24,24.11,24.11,15.1,33.7,1398.36594,NA,76.88,43053000,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.86538555,26.56116565,15.5,15,13121,9039,44616626,70704619,0.0057
"5","American Samoa",NA,11.5,11.5,NA,NA,811.8712683,NA,73.745,55000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.0667207,35.14886463,NA,0,9,5,55103,36156,0
"6","Andean Latin America",NA,20.91,20.91,NA,NA,1437.896261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,19567,11254,NA,NA,NA
"7","Andorra",2.8,2.11,2.11,NA,9.4,174.268463,NA,83.732,77000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.47839497,26.27166071,1.4,0,1,1,77354,62406,0
"8","Angola",156.9,71.04,71.04,33.8,34.3,4544.832134,NA,61.147,31825000,51.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.43653817,24.37650146,48.7,68,46002,24251,33933611,188283132,0.0043
"9","Anguilla",NA,NA,NA,NA,NA,NA,NA,81.877,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15125,13635,0
"10","Antigua and Barbuda",8.1,12.81,12.81,7.5,NA,879.2413213,NA,77.016,97000,75.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.82569643,27.96185992,4.9,0,9,7,98728,102048,0
"11","Arab States",NA,NA,NA,15.7,32.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Argentina",12.5,12.06,12.06,9.5,6.2,949.6708534,7.587625835,76.667,44781000,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.01768234,27.79858856,6.3,8,7030,4776,45605823,56802493,0.0058
"13","Armenia",14.2,10.55,10.55,9,2.9,791.1301337,NA,75.087,2958000,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.74388941,27.19451321,7.4,0,308,207,2968128,2038613,4e-04
"14","Aruba",16.57,NA,NA,NA,NA,NA,NA,76.293,106000,75.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,107195,102235,0
"15","Asia",NA,NA,NA,NA,NA,NA,NA,73.593,4601371136,71.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4678444992,4718598008,0.5941
"16","Australasia",NA,4.3,4.3,NA,NA,344.0739933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1255,862,NA,NA,NA
"17","Australia",3.5,4.17,4.17,3.6,2.6,335.9743509,6.411221076,83.436,25203000,82.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.71849093,26.87308177,2.2,1,1025,714,25788217,42876774,0.0033
"18","Austria",3.5,3.81,3.81,3,2.6,281.0260831,9.201562236,81.544,8955000,81.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.67288696,24.74923974,2.1,0,247,178,9043072,8676844,0.0011
