"","Entity","Share of people who disagree vaccines are important for children to have","Share of people who agree vaccines are safe","Share of people who disagree vaccines are safe","Share of people who agree vaccines are effective","Share of people who disagree vaccines are effective","Share of people who agree vaccines are important for children to have","Standard deviation of life satisfaction","All causes - Disability Adjusted Life Years (WHO (2015))","Share of population covered by health insurance (ILO (2014))","Public Expenditure on Health (Tanzi & Schuktnecht (2000))","Health Expenditure and Financing (per capita) (OECDstat (2017))","Current health expenditure per capita, PPP (current international $)","Health expenditure per capita, PPP (World Bank (2016))","HAQ Index (IHME (2017))","Beds in for-profit privately owned hospitals (number) (OECD)","Beds in for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in not-for-profit privately owned hospitals (number) (OECD)","Beds in not-for-profit privately owned hospitals (per 1,000 population) (OECD)","Beds in publicly owned hospitals (number) (OECD)","Beds in publicly owned hospitals (per 1,000 population) (OECD)","Acute care beds (number) (OECD)","Acute care beds (per 1,000 population) (OECD)","Dentists (per 100,000 population) (OECD)","Dentists (headcount) (OECD)","For-profit privately owned hospitals (number) (OECD)","For-profit privately owned hospitals (per million population) (OECD)","General hospitals (number) (OECD)","General hospitals (per million population) (OECD)","Hospitals (number) (OECD)","Hospitals (per million population) (OECD)","Long-term care beds (number) (OECD)","Long-term care beds (per 1,000 population) (OECD)","Long-term care beds (per 1,000 population aged 65+) (OECD)","Midwives (headcount) (OECD)","Midwives (per 1,000 live births) (OECD)","Not-for-profit privately owned hospitals (number) (OECD)","Not-for-profit privately owned hospitals (per million population) (OECD)","Nurses (per 1,000 population) (OECD)","Nurses (headcount) (OECD)","Physicians (per 1,000 population) (OECD)","Physicians (headcount) (OECD)","Psychiatric care beds (number) (OECD)","Psychiatric care beds (per 1,000 population) (OECD)","Psychiatrists (per 1,000 population) (OECD)","Psychiatrists (headcount) (OECD)","Publicly owned hospitals (number) (OECD)","Publicly owned hospitals (per million population) (OECD)","Surgical specialists (per 1,000 population) (OECD)","Surgical specialists (headcount) (OECD)","Hospital beds (number) (OECD)","Hospital beds, nurse-to-bed ratio (OECD)","Hospital beds (per 1,000 population) (OECD)","Healthy Life Expectancy (IHME)","Life Expectancy (IHME)","Years Lived With Disability (IHME)","Public expenditure on health per capita in developing countries (PPP) (World Bank (WDI) (2017))","Health","Old Age","Out-of-pocket expenditure per capita on healthcare (PPP USD) (WHO Global Health Expenditure)","Percentage of persons without health insurance (%)","How much we think we spend on health expenditure (IPSOS (2016))","How much we actually spend on health expenditure (IPSOS (2016))","Public expenditure on health %GDP (OWID extrapolated series)","Total gross official disbursements for medical research and basic heath sectors","BCG immunization coverage among 1-year-olds (WHO 2017)","Hepatitis B (HepB3) immunization coverage among 1-year-olds (WHO 2017)","DTP3 immunization coverage among 1-year-olds (WHO 2017)","Polio (Pol3) immunization coverage among 1-year-olds (WHO 2017)","Measles (MCV) immunization coverage among 1-year-olds (WHO 2017)","Number of confirmed tetanus cases (WHO 2017)","Number confirmed polio cases (WHO 2017)","Number of confirmed pertussis cases (WHO 2017)","Number of confirmed measles cases (WHO 2017)","Number of confirmed diphtheria cases (WHO 2017)","Estimated deaths due to tuberculosis per 100,000 population, excluding HIV (WHO 2017)","Estimated number of deaths due to tuberculosis, excluding HIV (WHO 2017)"
"1","Afghanistan",2.09669366,94.23702014,4.470985575,95.97216632,1.831128534,97.55130501,NA,68970,NA,NA,NA,183.9278576,161.2170073,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.49,57.95,8.46,56.9698437,NA,NA,144.16689,NA,NA,NA,2.93283372,1.6701e+11,86,78,78,77,68,74,28,432,1154,0,37,12000
"2","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,76,76,76,74,3529,50,7565,52754,1654,45,450000
"3","Albania",1.670224002,63.8383973,15.84816122,73.89177299,8.965412329,96.60526854,NA,29903,23.6,NA,NA,773.6782919,539.28,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.77,77.59,9.83,332.0318551,NA,NA,440.42001,NA,NA,NA,2.93637328,2.01e+09,99,98,98,98,98,0,0,6,0,0,0.4,10
"4","Algeria",3.702127351,63.02047699,11.27569803,64.46481095,7.702427731,83.81193234,NA,34790,85.2,NA,NA,1031.16964,778.08,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.07,77.41,11.34,748.739616,NA,NA,289.74506,NA,NA,NA,5.24414553,3e+08,99,95,95,95,95,0,0,0,63,0,8.2,3200
"5","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,63.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.64,72.39,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Americas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,95,89,91,91,94,568,0,32116,611,49,1.9,19000
"7","Andean Latin America",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5948.635486,3338.03,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71.2,82.52,11.33,NA,NA,NA,2164.9558,NA,NA,NA,6.341446,NA,NA,94,97,97,96,0,0,16,0,0,0.5,0
"9","Angola",NA,NA,NA,NA,NA,NA,NA,93709,0,NA,NA,195.5144172,355.43,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56.29,64.64,8.34,155.7003803,NA,NA,65.277954,NA,NA,NA,2.1249122,4.999e+10,79,64,64,70,55,305,0,0,118,20,45,11000
"10","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3e+07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
