"","Entity","school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","vaccine_eligibility","Population with access to improved sanitation","Population without access to improved sanitation","Alpha","B.1.1.277","B.1.1.302","B.1.160","B.1.177","B.1.221","B.1.258","B.1.367","Beta","Delta","Epsilon","Eta","Gamma","Iota","Kappa","S:677H.Robin1","S:677P.Pelican","others","non_who","Lambda","B.1.621","B.1.620","B.1.1.519","Total COVID-19 tests performed per million people","Total COVID-19 tests performed","Daily new confirmed cases of COVID-19","Daily new confirmed deaths due to COVID-19","Total confirmed cases of COVID-19","Total confirmed deaths due to COVID-19","Daily new confirmed cases of COVID-19 per million people","Daily new confirmed deaths due to COVID-19 per million people","Total confirmed cases of COVID-19 per million people","Total confirmed deaths due to COVID-19 per million people","Days since the total confirmed cases of COVID-19 reached 100","Days since the total confirmed deaths of COVID-19 reached 5","Days since the total confirmed cases of COVID-19 per million people reached 1","Days since the total confirmed deaths of COVID-19 per million people reached 0.1","Case fatality rate of COVID-19 (%)","Case fatality rate of COVID-19 (%) (Only observations with ≥100 cases)","Days since 30 daily new confirmed cases recorded","Days since 50 daily new confirmed cases recorded","Days since 10 daily new confirmed deaths recorded","Days since 5 daily new confirmed deaths recorded","Days since 3 daily new confirmed deaths recorded","Daily new confirmed deaths due to COVID-19 (rolling 7-day average, right-aligned)","Daily new confirmed cases due to COVID-19 (rolling 7-day average, right-aligned)","Days since daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned) reached 1","Days since daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned) reached 0.1","Daily new confirmed cases of COVID-19 (rolling 3-day average, right-aligned)","Daily new confirmed deaths due to COVID-19 (rolling 3-day average, right-aligned)","Daily new confirmed cases of COVID-19 per million people (rolling 7-day average, right-aligned)","Daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned)","Days since daily new confirmed cases of COVID-19 (rolling 7-day average, right-aligned) reached 30","Days since daily new confirmed deaths due to COVID-19 (rolling 7-day average, right-aligned) reached 5","Days since daily new confirmed deaths due to COVID-19 per million people (rolling 7-day average, right-aligned) reached 0.01","Daily new confirmed cases of COVID-19 per million people (rolling 3-day average, right-aligned)","Daily new confirmed deaths due to COVID-19 per million people (rolling 3-day average, right-aligned)","Days since the total confirmed cases of COVID-19 reached 100 (with population ≥ 5M)","Has population ≥ 5M AND had ≥100 cases ≥21 days ago AND has testing data","Doubling days of total confirmed cases (3 day period)","Doubling days of total confirmed cases (7 day period)","Doubling days of total confirmed deaths (3 day period)","Doubling days of total confirmed deaths (7 day period)","Weekly cases","Weekly deaths","Weekly case growth (%)","Weekly death growth (%)","Biweekly cases","Biweekly deaths","Biweekly case growth (%)","Biweekly death growth (%)","Weekly cases per million people","Weekly deaths per million people","Biweekly cases per million people","Biweekly deaths per million people","Case fatality rate of COVID-19 (%) (Short-term)","Daily ICU occupancy","Daily ICU occupancy per million","Daily hospital occupancy","Daily hospital occupancy per million","Weekly new ICU admissions","Weekly new ICU admissions per million","Weekly new hospital admissions","Weekly new hospital admissions per million","Importance (Larson et al (2016))","Safety (Larson et al (2016))","Effectiveness (Larson et al (2016))","Religious compatibility (Larson et al (2016))"
"1","Afghanistan",0,2,2,1,0,0,4,NA,NA,0,0,35.19,0,0,0,0,NA,1,31.79,3,1,NA,10761942,22974552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,113,7,41145,1529,2.903,0.18,1056.942,39.277,213,206,218,212,3.716,3.716,216,202,184,184,203,4.28571,110,200,177,125.66667,6,2.82586,0.11014,202,175,213,3.22833,0.15433,213,0,225.9,256.83,175.6,244.86,770,30,102.099737532808,57.8947368421053,1151,49,55.5405405405405,122.727272727273,19.78,0.771,29.567,1.259,7.317,NA,NA,NA,NA,NA,NA,NA,NA,3.6,8.5,5.8,9.3
"2","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8671,183,1738382,41788,NA,NA,NA,NA,231,228,NA,NA,2.404,2.404,233,226,220,221,224,224.57143,10311.14286,NA,NA,9470,215.66667,NA,NA,226,219,NA,NA,NA,NA,0,126.2,114.42,133.26,126.54,72178,1572,1.01323928681389,-4.49574726609964,143632,3218,19.2669539728803,11.0804280289955,NA,NA,NA,NA,2.332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Albania",2,2,1,0,1,0,1,NA,NA,0,0,41.67,2,2,1,1,NA,3,47.38,3,4,NA,2684815,195888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,284,7,19729,487,98.686,2.432,6855.584,169.226,218,217,232,230,2.468,2.468,185,135,NA,95,214,4.14286,296.85714,231,218,290.33333,4.66667,103.154,1.43943,136,54,230,100.887,1.62133,NA,0,46.05,43.6,71.29,79.03,2078,29,9.42601369141654,0,3977,58,78.0214861235452,28.8888888888889,722.079,10.077,1381.958,20.154,2.367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Algeria",0,1,2,2,2,0,1,NA,NA,0,2,56.48,4,2,1,1,NA,2,61.43,3,3,NA,34927459,4944069,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,287,9,56706,1931,6.545,0.205,1293.151,44.035,221,224,226,224,3.405,3.405,220,219,209,220,221,9.42857,266.71429,214,209,275.33333,8,6.08243,0.21486,216,209,228,6.279,0.18233,221,0,141.71,144.93,166.27,139.52,1867,66,29.6527777777778,40.4255319148936,3307,113,62.8261939931068,22.8260869565217,42.576,1.505,75.414,2.577,6.203,14,0.314,NA,NA,NA,NA,NA,NA,1.2,4.6,7.8,18.9
"5","American Samoa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34711,20826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andorra",1,1,2,1,2,0,2,NA,NA,NA,2,49.07,3,0,2,0,NA,3,58.93,2,5,NA,78014,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,0,4410,72,1100.11,0,57076.296,931.858,219,212,239,215,1.633,1.633,223,147,NA,4,215,1.42857,112.42857,225,215,124,1,1455.10343,18.48914,213,NA,215,1604.86633,12.94233,NA,0,23.6,24.68,48.86,32.45,787,10,25.3184713375796,100,1415,15,37.5121477162294,275,10185.724,129.425,18313.596,194.137,1.608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Angola",0,1,1,1,2,2,3,NA,NA,NA,0,54.63,3,1,0,0,NA,2,54.76,3,5,NA,14375401,13483904,61.29,0,0,0,0,0,0,0,38.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,263,2,9644,270,8.002,0.061,293.432,8.215,139,138,178,156,2.8,2.8,122,109,21,93,96,3.14286,259.28571,99,77,271.66667,1.66667,7.889,0.09557,103,NA,132,8.26567,0.05067,139,0,23.55,23.27,111.25,57.09,1815,22,35.3467561521253,-24.1379310344828,3156,51,99.3682880606444,27.5,55.224,0.669,96.026,1.552,2.304,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3,NA,0,0,199.973,NA,NA,NA,215,NA,NA,NA,NA,NA,NA,NA,NA,0,0,213,NA,0,0,0,0,NA,NA,NA,0,0,NA,0,NA,NA,NA,NA,0,0,NA,NA,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87487,8232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,124,3,0,0,1266.236,30.635,31,NA,227,201,2.419,2.419,125,NA,NA,NA,NA,0,0.71429,217,201,0,0,7.294,0,NA,NA,201,0,0,NA,0,NA,117.89,NA,NA,5,0,-37.5,NA,13,0,30,NA,51.058,0,132.751,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Arab World",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,359950162,38354798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
