"","Entity","Indoor (10 to 14 years)","Indoor (15 to 19 years)","Indoor (20 to 24 years)","Indoor (25 to 29 years)","Indoor (30 to 34 years)","Indoor (35 to 39 years)","Indoor (40 to 44 years)","Indoor (45 to 49 years)","Indoor (5 to 9 years)","Indoor (50 to 54 years)","Indoor (55 to 59 years)","Indoor (60 to 64 years)","Indoor (65 to 69 years)","Indoor (70 to 74 years)","Indoor (75 to 79 years)","Indoor (80+ years)","Indoor (Under-5s)","Outdoor (10 to 14 years)","Outdoor (15 to 19 years)","Outdoor (20 to 24 years)","Outdoor (25 to 29 years)","Outdoor (30 to 34 years)","Outdoor (35 to 39 years)","Outdoor (40 to 44 years)","Outdoor (45 to 49 years)","Outdoor (5 to 9 years)","Outdoor (50 to 54 years)","Outdoor (55 to 59 years)","Outdoor (60 to 64 years)","Outdoor (65 to 69 years)","Outdoor (70 to 74 years)","Outdoor (75 to 79 years)","Outdoor (80+ years)","Outdoor (Under-5s)","Excess mortality from air pollution (all sources)","Excess mortality from fossil fuels","Excess mortality from all anthropogenic pollution","Total Years Life Lost from air pollution (all sources)","Total Years Life Lost from fossil fuels","Total Years Life Lost from all anthropogenic pollution","Death rates from all air pollution (per 100,000)","Death rates from air pollution from fossil fuels (per 100,000)","Death rates from all anthropogenic air pollution (per 100,000)","YLL rates from all air pollution (per 100,000)","YLL rates from air pollution from fossil fuels (per 100,000)","YLL rates from anthropogenic air pollution (per 100,000)","Deaths from fossil pollution as a share of total air pollution deaths","Deaths from fossil pollution as a share of total anthropogenic air pollution deaths","Deaths from anthropogenic pollution as a share of total air pollution deaths"
"1","Afghanistan",172,98,91,525,792,1201,1720,2285,298,2811,3091,3331,3570,3103,2297,2024,6948,123,71,65,420,635,979,1407,1879,214,2304,2528,2720,2905,2530,1854,1635,5156,25376,2494,4384,1224383,107238,195192,78.01518738,7.66747625,13.47803363,3764.205122,329.6891813,600.0922311,9.828184111,56.88868613,17.27616646
"2","Africa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,956711,67132,230333,39986277,2209333,9149427,80.7691847,5.667539003,19.44558871,3375.793727,186.5203025,772.429458,7.016957054,29.14562829,24.07550451
"3","Albania",0,1,1,7,7,7,12,21,1,38,59,86,106,138,170,336,13,0,0,0,10,10,10,16,28,1,51,78,116,145,197,243,507,10,2860,1308,1530,59005,26908,31502,98.72281671,45.15015533,52.81325509,2036.762168,928.8229203,1087.400759,45.73426573,85.49019608,53.4965035
"4","Algeria",0,0,0,1,2,2,3,5,0,6,8,11,11,12,14,34,2,13,11,16,105,160,219,321,500,23,709,895,1284,1297,1423,1697,4121,180,32100,2008,2809,884673,52344,73671,80.92368972,5.062142335,7.081453097,2230.249326,131.958555,185.7236494,6.255451713,71.48451406,8.750778816
"5","American Samoa",0,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Andorra",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,3,15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Angola",60,47,56,92,122,160,218,304,87,393,507,671,700,729,645,712,2399,47,37,44,82,111,148,206,294,68,381,492,657,697,737,646,718,1962,18239,622,10433,1088251,36028,624177,72.89185517,2.485812485,41.69530813,4349.176724,143.9852929,2494.512829,3.410274686,5.961851816,57.20160096
"8","Antigua and Barbuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,2,2,2,3,6,0,60,4,5,1335,91,110,65.2173913,4.347826087,5.434782609,1451.086957,98.91304348,119.5652174,6.666666667,80,8.333333333
"9","Argentina",1,1,2,5,7,11,16,25,1,42,64,90,114,131,146,540,7,5,11,13,59,87,137,218,347,5,583,873,1246,1571,1820,1987,6776,68,16568,3815,11651,347196,78922,243556,38.16016943,8.78688112,26.83511191,799.6775825,181.7767318,560.9692315,23.02631579,32.74397047,70.32230806
"10","Armenia",0,0,0,2,4,6,9,15,0,33,52,65,59,47,108,238,11,1,1,1,6,11,17,28,47,1,107,168,212,192,157,361,813,26,4168,1240,1270,89011,26287,26872,138.1047051,41.08681246,42.08084824,2949.337309,871.0072896,890.3909874,29.75047985,97.63779528,30.47024952
"11","Australasia",0,0,0,0,0,0,1,1,0,2,3,5,6,8,9,41,0,0,0,0,4,8,17,37,59,0,100,131,198,278,339,400,2081,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","Australia",0,0,0,0,0,0,1,1,0,2,2,3,5,6,7,33,0,0,0,0,3,7,15,31,49,0,83,108,167,231,280,333,1790,1,11697,1451,2938,204526,24881,50874,48.80053199,6.053652382,12.25749876,853.2938023,103.8049104,212.2491463,12.40489014,49.38733833,25.11755151
"13","Austria",0,0,0,0,0,0,0,1,0,3,4,5,7,11,11,44,0,0,0,0,2,4,7,17,46,0,87,130,184,263,407,434,1872,1,11293,7835,10117,190288,131882,170403,132.1591419,91.69103667,118.3967094,2226.892659,1543.381914,1994.1835,69.37926149,77.4439063,89.58646949
"14","Azerbaijan",4,2,3,17,27,32,48,75,8,154,182,238,130,139,251,390,150,10,7,8,58,92,109,171,272,21,566,670,897,498,543,978,1562,424,12462,1381,1682,331765,35515,43250,127.762969,14.15829403,17.2442075,3401.322534,364.107033,443.4078327,11.08168833,82.10463734,13.49703097
"15","Bahamas",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,0,0,0,0,1,1,2,3,5,0,7,9,9,11,11,12,24,1,207,44,61,5643,1213,1682,53.35051546,11.34020619,15.72164948,1454.381443,312.628866,433.5051546,21.25603865,72.13114754,29.46859903
"16","Bahrain",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,0,1,4,7,9,14,22,1,28,38,29,31,36,32,52,4,893,125,143,26300,3482,4020,64.85112564,9.077705156,10.3848947,1909.949165,252.8685548,291.9389978,13.99776036,87.41258741,16.01343785
"17","Bangladesh",130,104,106,1151,2358,2832,3978,5702,264,7195,7861,8135,10395,13106,12622,23742,7190,126,103,104,1208,2424,2947,4157,6010,255,7616,8425,8749,11301,14389,13959,26503,7213,175170,72971,129786,5090921,2021995,3705716,108.8039407,45.32472659,80.6144217,3162.141158,1255.928664,2301.744043,41.65724725,56.22409197,74.09145402
"18","Barbados",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,4,6,8,10,11,13,44,1,357,15,27,7007,305,541,125.7042254,5.281690141,9.507042254,2467.253521,107.3943662,190.4929577,4.201680672,55.55555556,7.56302521
"19","Belarus",0,0,0,1,1,3,4,7,0,13,21,26,27,22,44,76,0,0,0,1,19,48,82,145,234,0,460,763,1005,1073,881,1761,3180,4,13963,10938,13956,307217,240546,307075,147.0408593,115.1853412,146.9671441,3235.225358,2533.129739,3233.729992,78.33560123,78.37489252,99.94986751
"20","Belgium",0,0,0,0,0,0,0,1,0,1,2,3,5,5,7,31,0,0,0,0,3,6,12,27,61,0,124,219,316,441,471,664,2883,2,14251,7305,11554,240286,122953,194663,126.1262059,64.65173909,102.2568369,2126.612975,1088.175945,1722.833879,51.25956073,63.22485719,81.07501228
"21","Belize",0,0,0,0,1,1,1,2,0,2,3,3,3,3,3,7,2,0,0,0,1,1,1,2,4,0,6,7,8,9,8,9,17,3,129,25,52,3922,702,1555,35.93314763,6.963788301,14.48467967,1092.479109,195.5431755,433.1476323,19.37984496,48.07692308,40.31007752
"22","Benin",37,42,57,102,122,157,208,298,75,409,468,572,671,793,655,655,1735,29,33,46,85,102,131,174,250,59,337,384,469,548,646,527,526,1390,10110,300,2589,459373,11652,105282,92.92280266,2.757353195,23.79595807,4222.178697,107.0955981,967.6655301,2.96735905,11.58748552,25.60830861
"23","Bermuda",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Bhutan",0,0,0,2,3,4,5,7,1,9,12,14,17,20,21,48,14,1,0,1,4,7,9,11,16,1,19,26,31,38,46,47,106,25,581,311,487,19472,10435,16317,74.96774194,40.12903226,62.83870968,2512.516129,1346.451613,2105.419355,53.52839931,63.86036961,83.82099828
"25","Bolivia",9,6,6,19,24,31,40,56,13,73,91,127,150,200,234,800,272,11,8,8,31,42,55,72,103,16,134,169,237,282,373,431,1410,368,3832,125,3051,117280,3779,93388,35.72960373,1.165501166,28.44755245,1093.519814,35.23543124,870.7505828,3.262004175,4.097017371,79.61899791
"26","Bosnia and Herzegovina",0,0,0,4,7,12,22,43,0,88,129,204,285,250,358,659,1,0,0,0,6,11,18,35,69,0,141,205,328,467,416,596,1136,2,5349,3023,3522,105188,59369,69162,140.3937008,79.34383202,92.44094488,2760.839895,1558.24147,1815.275591,56.51523649,85.83191369,65.84408301
"27","Botswana",1,2,4,7,11,16,20,26,2,31,39,55,51,53,50,69,11,1,3,4,9,14,20,27,35,2,44,54,78,73,78,73,99,13,656,204,597,20944,6687,19121,29.00088417,9.018567639,26.39257294,925.9062776,295.6233422,845.3138815,31.09756098,34.17085427,91.00609756
"28","Brazil",10,16,17,58,98,144,208,315,11,473,601,738,854,905,968,2417,174,29,51,58,291,516,825,1296,2060,29,3220,4236,5224,5925,6123,6558,15849,453,102317,15682,65282,2662316,407885,1693114,49.22683198,7.544935632,31.40852493,1280.895476,196.2419379,814.5922808,15.32687628,24.0219356,63.80366899
"29","Brunei",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,0,3,4,4,4,4,4,8,0,92,19,56,2630,517,1579,21.74940898,4.491725768,13.23877069,621.749409,122.2222222,373.286052,20.65217391,33.92857143,60.86956522
"30","Bulgaria",0,0,0,3,6,12,22,36,0,62,98,169,178,183,292,647,4,1,1,2,12,28,57,108,180,1,317,505,885,953,997,1588,3689,16,15077,8247,10343,300170,164022,205739,210.8671329,115.3426573,144.6573427,4198.181818,2294.013986,2877.468531,54.69921072,79.73508653,68.60118061
"31","Burkina Faso",77,82,104,159,196,244,306,415,191,539,626,744,902,1064,877,822,5304,62,65,84,131,162,203,253,344,153,440,509,602,725,858,701,656,4320,15110,567,1016,686785,22183,39861,83.45300361,3.131558772,5.611399846,3793.135082,122.5174043,220.1535524,3.7524818,55.80708661,6.724023825
"32","Burundi",66,52,68,121,147,162,206,290,119,399,554,703,666,695,672,853,2711,35,28,37,71,86,95,121,171,64,233,321,405,383,398,379,483,1479,5565,292,2758,281079,14129,140399,49.78083462,2.612040199,24.6712564,2514.348107,126.3887533,1255.917233,5.247079964,10.58738216,49.55974843
"33","Cambodia",38,44,74,126,251,187,279,484,52,727,810,1040,1163,1207,1127,1482,1704,18,21,36,71,146,110,166,288,24,430,465,593,662,682,631,831,826,10312,2169,6001,334594,68107,193149,66.19591307,13.92348094,38.52227253,2147.862232,437.1998692,1239.883089,21.03374709,36.143976,58.1943367
"34","Cameroon",84,83,111,209,249,295,362,481,164,640,750,952,1229,1489,1396,1919,4247,89,89,121,234,278,331,408,545,173,715,838,1068,1375,1664,1550,2118,4627,20485,650,3628,928371,25624,149710,87.75274912,2.784441637,15.54146809,3976.91518,109.7669731,641.3211653,3.173053454,17.91620728,17.71051989
"35","Canada",0,0,0,0,0,0,0,1,0,1,2,3,4,5,5,21,0,0,0,1,7,13,25,55,113,0,239,372,500,697,810,963,3844,3,20089,17574,19427,366535,320940,354426,55.89592523,48.89815272,54.05396682,1019.852305,892.9881151,986.1600476,87.48071084,90.46172852,96.70466424
"36","Cape Verde",0,0,1,1,2,2,2,4,0,6,7,9,7,10,18,43,5,0,1,1,3,3,4,5,8,1,13,15,18,15,21,37,88,9,505,22,45,12283,462,976,96.92898273,4.222648752,8.637236084,2357.581574,88.6756238,187.3320537,4.356435644,48.88888889,8.910891089
"37","Caribbean",24,25,33,142,205,271,349,519,36,736,879,1076,1145,1312,1331,2201,1190,16,15,20,108,165,232,355,606,23,952,1176,1547,1782,2013,2190,5293,596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Central African Republic",30,27,32,63,88,114,160,226,37,291,387,517,595,665,590,600,1791,19,18,21,44,62,81,114,161,24,206,272,360,415,464,405,413,1190,6532,198,1930,286714,7228,73412,133.3061224,4.040816327,39.3877551,5851.306122,147.5102041,1498.204082,3.031230863,10.25906736,29.5468463
