"","Entity","Life satisfaction in Cantril Ladder (World Happiness Report 2019)"
"1","Afghanistan",2.375
"2","Albania",5.365
"3","Algeria",4.745
"4","Angola",3.795
"5","Argentina",5.901
"6","Armenia",5.488
"7","Australia",7.137
"8","Austria",7.213
"9","Azerbaijan",5.173
"10","Bahrain",6.173
"11","Bangladesh",5.28
"12","Belarus",5.821
"13","Belgium",6.839
"14","Belize",5.956
"15","Benin",4.408
"16","Bhutan",5.082
"17","Bolivia",5.559
"18","Bosnia and Herzegovina",5.516
"19","Botswana",3.471
"20","Brazil",6.11
"21","Bulgaria",5.598
"22","Burkina Faso",4.741
"23","Burundi",3.775
"24","Cambodia",4.377
"25","Cameroon",5.241
"26","Canada",7.025
"27","Central African Republic",3.476
"28","Chad",4.251
"29","Chile",6.151
"30","China",5.771
"31","Colombia",5.709
"32","Comoros",4.609
"33","Congo",5.213
"34","Costa Rica",6.998
"35","Cote d'Ivoire",5.257
"36","Croatia",6.508
"37","Cuba",5.418
"38","Cyprus",6.26
"39","Czechia",6.897
"40","Democratic Republic of Congo",4.311
"41","Denmark",7.515
"42","Djibouti",4.369
"43","Dominican Republic",5.168
"44","Ecuador",5.354
"45","Egypt",4.472
"46","El Salvador",5.462
"47","Estonia",6.453
"48","Eswatini",4.396
"49","Ethiopia",4.549
"50","Finland",7.889
"51","France",6.714
"52","Gabon",4.914
"53","Gambia",5.164
"54","Georgia",5.123
"55","Germany",7.312
"56","Ghana",5.319
"57","Greece",5.788
"58","Guatemala",6.262
"59","Guinea",4.768
"60","Guyana",5.993
"61","Haiti",3.615
"62","Honduras",5.93
"63","Hong Kong",5.295
"64","Hungary",6.038
"65","Iceland",7.575
"66","India",4.225
"67","Indonesia",5.347
"68","Iran",4.865
"69","Iraq",4.785
"70","Ireland",7.035
"71","Israel",7.195
"72","Italy",6.488
"73","Jamaica",6.309
"74","Japan",6.118
"75","Jordan",4.094
"76","Kazakhstan",6.168
"77","Kenya",4.547
"78","Kosovo",6.294
"79","Kuwait",6.106
"80","Kyrgyzstan",6.25
"81","Laos",5.284
"82","Latvia",6.229
"83","Lebanon",4.024
"84","Lesotho",3.512
"85","Liberia",5.121
"86","Libya",5.33
"87","Lithuania",6.391
"88","Luxembourg",7.404
"89","Madagascar",4.339
"90","Malawi",3.869
"91","Malaysia",5.428
"92","Maldives",5.198
"93","Mali",4.988
"94","Malta",6.157
"95","Mauritania",4.153
"96","Mauritius",6.015
"97","Mexico",5.964
"98","Moldova",5.812
"99","Mongolia",6.011
"100","Montenegro",5.722
"101","Morocco",4.803
"102","Mozambique",4.932
"103","Myanmar",4.431
"104","Namibia",4.451
"105","Nepal",5.449
"106","Netherlands",7.504
"107","New Zealand",7.257
"108","Nicaragua",6.113
"109","Niger",5.004
"110","Nigeria",5.503
"111","North Macedonia",5.054
"112","Northern Cyprus",5.467
"113","Norway",7.29
"114","Oman",6.853
"115","Pakistan",4.443
"116","Palestine",4.483
"117","Panama",6.086
"118","Paraguay",5.653
"119","Peru",5.999
"120","Philippines",5.08
"121","Poland",6.139
"122","Portugal",5.768
"123","Qatar",6.375
"124","Romania",6.13
"125","Russia",5.495
"126","Rwanda",3.268
"127","Saudi Arabia",6.56
"128","Senegal",5.489
"129","Serbia",6.042
"130","Sierra Leone",3.447
"131","Singapore",6.378
"132","Slovakia",6.519
"133","Slovenia",6.462
"134","Somalia",4.668
"135","Somaliland region",5.057
"136","South Africa",4.947
"137","South Korea",5.793
"138","South Sudan",2.817
"139","Spain",6.502
"140","Sri Lanka",4.213
"141","Sudan",4.139
"142","Suriname",6.269
"143","Sweden",7.314
"144","Switzerland",7.508
"145","Syria",3.462
"146","Taiwan",6.751
"147","Tajikistan",5.373
"148","Tanzania",3.786
"149","Thailand",5.885
"150","Togo",4.179
"151","Trinidad and Tobago",6.192
"152","Tunisia",4.731
"153","Turkey",4.862
"154","Turkmenistan",5.474
"155","Uganda",4.641
"156","Ukraine",5.27
"157","United Arab Emirates",6.458
"158","United Kingdom",6.798
"159","United States",7.028
"160","Uruguay",6.31
"161","Uzbekistan",6.154
"162","Venezuela",4.574
"163","Vietnam",5.467
"164","Yemen",4.197
"165","Zambia",4.838
"166","Zimbabwe",3.16
