"","Entity","Total.COVID.19.tests.performed","Total.COVID.19.tests.performed.per.million.people","Alpha","B.1.1.277","B.1.1.302","B.1.160","B.1.177","B.1.221","B.1.258","B.1.367","Beta","Delta","Epsilon","Eta","Gamma","Iota","Kappa","S.677H.Robin1","S.677P.Pelican","others","non_who","Lambda","B.1.621","B.1.620","B.1.1.519","Daily.new.confirmed.cases.of.COVID.19","Daily.new.confirmed.deaths.due.to.COVID.19","Total.confirmed.cases.of.COVID.19","Total.confirmed.deaths.due.to.COVID.19","Daily.new.confirmed.cases.of.COVID.19.per.million.people","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people","Total.confirmed.cases.of.COVID.19.per.million.people","Total.confirmed.deaths.due.to.COVID.19.per.million.people","Days.since.the.total.confirmed.cases.of.COVID.19.reached.100","Days.since.the.total.confirmed.deaths.of.COVID.19.reached.5","Days.since.the.total.confirmed.cases.of.COVID.19.per.million.people.reached.1","Days.since.the.total.confirmed.deaths.of.COVID.19.per.million.people.reached.0.1","Case.fatality.rate.of.COVID.19....","Case.fatality.rate.of.COVID.19......Only.observations.with..100.cases.","Days.since.30.daily.new.confirmed.cases.recorded","Days.since.50.daily.new.confirmed.cases.recorded","Days.since.10.daily.new.confirmed.deaths.recorded","Days.since.5.daily.new.confirmed.deaths.recorded","Days.since.3.daily.new.confirmed.deaths.recorded","Daily.new.confirmed.deaths.due.to.COVID.19..rolling.7.day.average..right.aligned.","Daily.new.confirmed.cases.due.to.COVID.19..rolling.7.day.average..right.aligned.","Days.since.daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.1","Days.since.daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.0.1","Daily.new.confirmed.cases.of.COVID.19..rolling.3.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19..rolling.3.day.average..right.aligned.","Daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.7.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned.","Days.since.daily.new.confirmed.cases.of.COVID.19..rolling.7.day.average..right.aligned..reached.30","Days.since.daily.new.confirmed.deaths.due.to.COVID.19..rolling.7.day.average..right.aligned..reached.5","Days.since.daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.7.day.average..right.aligned..reached.0.01","Daily.new.confirmed.cases.of.COVID.19.per.million.people..rolling.3.day.average..right.aligned.","Daily.new.confirmed.deaths.due.to.COVID.19.per.million.people..rolling.3.day.average..right.aligned.","Days.since.the.total.confirmed.cases.of.COVID.19.reached.100..with.population...5M.","Has.population...5M.AND.had..100.cases..21.days.ago.AND.has.testing.data","Doubling.days.of.total.confirmed.cases..3.day.period.","Doubling.days.of.total.confirmed.cases..7.day.period.","Doubling.days.of.total.confirmed.deaths..3.day.period.","Doubling.days.of.total.confirmed.deaths..7.day.period.","Weekly.cases","Weekly.deaths","Weekly.case.growth....","Weekly.death.growth....","Biweekly.cases","Biweekly.deaths","Biweekly.case.growth....","Biweekly.death.growth....","Weekly.cases.per.million.people","Weekly.deaths.per.million.people","Biweekly.cases.per.million.people","Biweekly.deaths.per.million.people","Case.fatality.rate.of.COVID.19......Short.term.","Daily.ICU.occupancy","Daily.ICU.occupancy.per.million","Daily.hospital.occupancy","Daily.hospital.occupancy.per.million","Weekly.new.ICU.admissions","Weekly.new.ICU.admissions.per.million","Weekly.new.hospital.admissions","Weekly.new.hospital.admissions.per.million","school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","vaccine_eligibility","total_tests","new_tests","total_tests_per_thousand","new_tests_per_thousand","annotation","cumulative_tests_per_case","cumulative_positivity_rate","testing_observations","days_since_observation","observations_found","new_tests_7day_smoothed","new_tests_per_thousand_7day_smoothed","short_term_tests_per_case","short_term_positivity_rate","Importance..Larson.et.al..2016..","Safety..Larson.et.al..2016..","Effectiveness..Larson.et.al..2016..","Religious.compatibility..Larson.et.al..2016.."
"1","Armenia",211,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Australia - Australian Capital Territory",649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","Australia - New South Wales",8008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","Austria",6582,747.2,0.47,0,0,0,0,0,0,0,0.47,98.58,0,0,0,0,0.47,0,0,0.01,0.01,0,0,0,0,2698,18,87746,1006,299.565,1.999,9742.627,111.698,233,222,241,229,1.146,1.146,235,231,215,219,219,11.28571,2761.71429,235,220,2658.66667,9.33333,306.63929,1.253,230,215,229,295.19767,1.03633,233,1,21.82,19.5,73.67,59.33,19332,79,81.4870446864438,64.5833333333333,29984,127,127.928544279742,53.0120481927711,2146.474,8.772,3329.188,14.101,0.989,226,24.992,832,92.004,NA,NA,NA,NA,2,2,1,1,2,2,3,NA,NA,0,2,60.19,3,0,2,2,NA,3,70.83,2,5,NA,15602870,244731,1732.42,27.173,"tests performed",33.3,0.03,336,2,336,237456,26.365,111.2,0.009,9.5,14.5,11.8,11.6
"5","Bahrain",9201,6164.5,0.94,0,0,0,0,0,0,0,0,97.17,0,0,0.94,0,0,0,0,0.95,0.95,0,0,0,0,0,0,80533,316,0,0,47328.282,185.709,232,203,246,225,0.392,0.392,232,230,NA,131,139,1.57143,285.71429,245,219,186,1.33333,167.91086,0.92357,206,NA,225,109.31,0.78367,NA,0,299.07,192.94,163.23,136.95,2000,11,-11.5435647943388,-42.1052631578947,4261,30,-27.1623931623932,-25,1175.376,6.465,2504.139,17.631,0.409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","Canada - Alberta",4288,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","Canada - British Columbia",2008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Canada - Ontario",4185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","China - Guangdong",320000,2820.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","Croatia",344,83.4,1.42,0,0,0,0,0,0,0,0,98.58,0,0,0,0,0,0,0,0,0,0,0,0,0,1413,18,38621,470,344.192,4.385,9407.668,114.487,222,213,242,217,1.217,1.217,220,220,12,196,206,12.57143,1679.71429,227,214,1554,13.66667,409.16071,3.06229,218,10,217,378.538,3.32933,NA,0,16.16,13.36,22.78,23.4,11758,88,100.3066439523,69.2307692307692,17628,140,282.137437676133,154.545454545455,2864.125,21.436,4293.995,34.103,2.672,NA,NA,903,221.234,NA,NA,658.792,161.403,1,1,NA,1,2,0,2,NA,NA,NA,2,35.19,2,0,1,2,NA,3,50,2,5,NA,1373877,5429,334.662,1.322,"people tested",NA,NA,350,0,350,5862,1.428,NA,NA,NA,NA,NA,NA
