,iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
6208,ABW,North America,Aruba,2021-11-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160659.0,83228.0,77431.0,,,80.0,149.88,77.64,72.23,,746.0,36.0,0.034,,107195.0,584.8,41.2,13.085,7.452000000000001,35973.781,,,11.62,,,,,76.29,,,,,
631,AFG,Asia,Afghanistan,2021-11-16,156649.0,39.0,36.0,7295.0,1.0,0.7140000000000001,3932.4040000000005,0.9790000000000001,0.904,183.128,0.025,0.018000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.0,54.422,18.6,2.5810000000000004,1.337,1803.987,,597.029,9.59,,,37.746,0.5,64.83,0.511,,,,
3768,AGO,Africa,Angola,2021-11-16,64940.0,27.0,25.429000000000002,1729.0,2.0,0.857,1913.737,0.7959999999999999,0.7490000000000001,50.952,0.059000000000000004,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.0,23.89,16.8,2.405,1.3619999999999999,5819.495,,276.045,3.94,,,26.664,,61.15,0.581,,,,
4050,AIA,North America,Anguilla,2021-11-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18782.0,9624.0,9158.0,,,11.0,124.18,63.63,60.55,,727.0,11.0,0.073,,15125.0,,,,,,,,,,,,,81.88,,,,,
1905,ALB,Europe,Albania,2021-11-16,193856.0,587.0,533.0,3004.0,7.0,4.857,67476.663,204.321,185.525,1045.621,2.437,1.6909999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.0,104.87100000000001,38.0,13.187999999999999,8.642999999999999,11803.431,1.1,304.195,10.08,7.1,51.2,,2.89,78.57,0.795,,,,
3161,AND,Europe,Andorra,2021-11-16,15929.0,22.0,30.285999999999998,130.0,0.0,0.0,205923.417,284.407,391.52099999999996,1680.585,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.0,163.755,,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868,,,,
125615,ARE,Asia,United Arab Emirates,2021-11-16,741074.0,68.0,71.714,2144.0,0.0,0.28600000000000003,74173.541,6.806,7.178,214.59099999999998,0.0,0.028999999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9991083.0,112.44200000000001,34.0,1.1440000000000001,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,,,,
5350,ARG,South America,Argentina,2021-11-16,5308781.0,1622.0,1337.5710000000001,116294.0,44.0,18.429000000000002,116405.771,35.566,29.329,2549.981,0.965,0.40399999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45605823.0,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,,5.0,76.67,0.845,,,,
5976,ARM,Asia,Armenia,2021-11-16,329913.0,572.0,1078.4289999999999,7107.0,52.0,49.286,111151.87800000001,192.71400000000003,363.336,2394.439,17.519000000000002,16.605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2968128.0,102.931,35.7,11.232000000000001,7.571000000000001,8787.58,1.8,341.01,7.11,1.5,52.1,94.04299999999999,4.2,75.09,0.7759999999999999,,,,
4664,ATG,North America,Antigua and Barbuda,2021-11-16,4122.0,4.0,4.428999999999999,107.0,0.0,0.28600000000000003,41751.074,40.515,44.856,1083.786,0.0,2.8939999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.0,231.845,32.1,6.933,4.631,21490.943,,191.511,13.17,,,,3.8,77.02,0.778,,,,
