Total.confirmed.deaths.due.to.COVID.19.per.million.people,Infant.mortality.rate
39.277,5616.784475
169.226,1089.713154
44.035,1398.36594
931.858,174.268463
8.215,4544.832134
30.635,879.2413213
657.805,949.6708534
419.474,791.1301337
35.49,335.9743509
111.698,281.0260831
67.856,3196.537872
335.666,1062.501087
185.709,533.1194641
35.449,3186.298445
24.359,1116.610777
102.124,488.1843388
942.309,296.4014971
128.263,1652.2555
3.382,5390.388716
742.909,2118.418775
336.502,555.5097578
8.93,1561.28169
743.068,1493.520601
6.857,777.6068771
167.088,627.6093553
3.205,6132.224096
0.084,5247.735039
16.048,4273.025088
264.982,465.0432088
169.068,2002.559261
12.837,11915.67596
5.844,7102.314108
733.723,627.4581196
3.293,720.4156658
600.693,1160.255384
8.05,3404.656635
16.672,3457.201389
260.889,704.711585
4.625,5579.573984
114.487,356.288517
11.301,381.9394847
28.542,251.0092208
3.394,5794.176295
122.406,322.1204886
61.741,2491.48713
205.201,2406.219552
713.482,1315.719531
60.801,1592.650397
148.315,1083.908987
59.16,3460.540601
55.03,215.1727847
12.569,4211.644212
2.231,1864.966294
63.891,182.3905576
544.493,313.2303763
24.262,3404.89869
49.241,3450.537925
63.422,943.1186411
121.539,325.4044188
10.17,3779.929326
56.893,352.2865839
204.571,2194.79736
5.406,6132.247871
20.833,5215.989147
151.292,2003.709588
20.346,4916.711501
266.442,1091.73737
163.348,394.3886029
32.234,150.2604665
86.963,3622.58324
49.4,2249.603275
396.45,1392.306919
266.617,1913.346863
382.762,310.7764911
286.868,285.1116599
623.534,265.355629
66.19,1665.110074
13.678,182.5704198
65.47,1573.533901
118.285,1142.521387
17.37,3504.208152
177.026,640.673225
174.428,1820.068974
33.4,374.9379534
86.441,582.5027634
20.072,4508.359369
16.213,4654.678674
118.173,685.4828238
26.221,1360.244208
51.795,387.5722797
234.833,166.9540009
8.812,5515.980977
9.566,4574.614403
7.353,573.4911005
68.45,627.7546001
6.716,7457.332333
124.564,510.3950935
35.056,3387.681805
7.863,1223.68286
696.596,1090.74491
423.901,1415.151935
25.482,306.357985
437.855,322.9366836
93.334,1974.792896
2.848,5656.85676
21.081,3744.050998
52.343,2983.073149
30.065,2634.820986
416.227,331.5925856
5.184,385.6312521
23.549,1309.024948
2.85,4907.39445
5.506,6546.835153
51.649,213.1982104
235.576,929.9181875
30.599,5066.508545
614.17,1356.533959
0.782,3401.46013
186.049,1099.695421
1038.977,1221.789271
64.363,2014.11833
121.94,366.3242414
232.526,272.3945502
79.832,543.0833892
341.725,707.6400662
182.198,559.0535331
2.702,3419.415576
1237.551,223.8705583
68.443,2539.717063
153.071,735.4565519
19.231,3397.166798
117.274,437.1464594
9.277,7942.533669
4.786,129.2178014
32.237,477.7632175
92.355,166.0980378
6.544,5708.750822
321.251,2400.860333
8.992,269.2028526
5.003,8361.238892
754.96,266.2264833
0.887,684.2390101
19.088,4236.793727
189.215,2669.594504
585.983,226.383117
222.887,322.5397396
15.714,966.093174
8.493,3424.604178
0.352,4409.899208
0.845,680.4701023
6.523,4157.182236
75.742,1580.667616
83.174,874.124594
117.976,1223.451749
2.252,4238.49771
150.685,721.1484544
48.734,983.2475599
668.253,387.5656751
684.958,568.4556511
15.545,784.2311615
16.642,1786.308659
27.43,1322.125254
0.36,975.9281467
20.117,3651.551117
18.93,4204.166619
16.282,4156.238275
237.838,212.3376553
