"","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd"
"1",68970,0.321,0.63169,20.3638,0.580399999999999
"2",29903,0.219,0.64069,20.0014,0.539
"3",34790,0.321,0.63169,20.3638,0.580399999999999
"4",46869.8878871128,0.321,0.63169,20.3638,0.580399999999999
"5",93709,0.321,0.63169,20.3638,0.580399999999999
"6",46869.8878871128,0.321,0.63169,20.3638,0.580399999999999
"7",26808,0.2079,0.58929,14.8935,0.5
"8",35083,0.321,0.63169,20.3638,0.580399999999999
"9",17696,0.56,0.353583333333333,28.73,0.65
"10",19763,1.22,0.66,16.71,1.03
"11",33879,0.321,0.63169,20.3638,0.580399999999999
"12",30459,0.321,0.63169,20.3638,0.580399999999999
"13",25533,0.1737,0.41514,24.0921,0.5127
"14",38814,0.321,0.63169,20.3638,0.580399999999999
"15",26768,0.2079,0.58929,14.8935,0.5
"16",33783,0.321,0.63169,20.3638,0.580399999999999
"17",19878,4.18,0.1,3.51,0.6
"18",31420,0.321,0.63169,20.3638,0.580399999999999
"19",65706,0.321,0.63169,20.3638,0.580399999999999
"20",44087,0.321,0.63169,20.3638,0.580399999999999
"21",24000,0.2896,0.33854,24.6729,0.5561
"22",61513,0.321,0.63169,20.3638,0.580399999999999
"23",31632,0.321,0.63169,20.3638,0.580399999999999
"24",22941,0.2438,0.312223333333333,18.5409,0.6061
"25",28771,0.1557,0.65899,15.4039,0.5109
"26",70891,0.321,0.63169,20.3638,0.580399999999999
"27",80027,0.321,0.63169,20.3638,0.580399999999999
"28",77369,0.321,0.63169,20.3638,0.580399999999999
"29",18838,1.0654,0.43,19.48,0.43
"30",31195,0.321,0.63169,20.3638,0.580399999999999
"31",97115,0.321,0.63169,20.3638,0.580399999999999
"32",94563,0.321,0.63169,20.3638,0.580399999999999
"33",21333,0.823800000000001,0,11.43,0.45
"34",24811,0.173,0.40434,24.0966,0.5127
"35",27188,0.2171,0.65449,15.0169,0.5028
"36",59673,0.321,0.63169,20.3638,0.580399999999999
"37",70611,0.321,0.63169,20.3638,0.580399999999999
"38",23017,0.2438,0.312223333333333,18.5256,0.6061
"39",88856,0.321,0.63169,20.3638,0.580399999999999
"40",24063,0.3036,0.33794,24.4417,0.536
"41",25180,0.1748,0.41514,24.0921,0.5127
"42",15789,0.3332,1.09107,12.2269,0.747333333333333
"43",92831,0.321,0.63169,20.3638,0.580399999999999
"44",20451,0.11,0.04,15.0276,0.63
"45",64677,0.321,0.63169,20.3638,0.580399999999999
"46",29597,0.2149,0.64069,18.6429,0.5268
"47",29357,0.1487,0.63409,16.0416,0.5113
"48",35784,0.321,0.63169,20.3638,0.580399999999999
"49",36007,0.321,0.63169,20.3638,0.580399999999999
"50",82201,0.321,0.63169,20.3638,0.580399999999999
"51",26242,0.12,0.91,15.18,0.85
"52",54964,0.321,0.63169,20.3638,0.580399999999999
"53",39681,0.321,0.63169,20.3638,0.580399999999999
"54",19843,0.640200000000001,0.41,30.5,0.56
"55",19104,0.84,0.47,20.4,0.48
"56",58498,0.321,0.63169,20.3638,0.580399999999999
"57",62697,0.321,0.63169,20.3638,0.580399999999999
"58",29323,0.1487,0.63409,16.0416,0.5113
"59",19224,2.31,0,9.5,1.18
"60",58375,0.321,0.63169,20.3638,0.580399999999999
"61",19627,0.08,0.57,11.62,1.32
"62",37079,0.321,0.63169,20.3638,0.580399999999999
"63",72518,0.321,0.63169,20.3638,0.580399999999999
"64",83441,0.321,0.63169,20.3638,0.580399999999999
"65",55470,0.321,0.63169,20.3638,0.580399999999999
"66",61717,0.321,0.63169,20.3638,0.580399999999999
"67",33106,0.321,0.63169,20.3638,0.580399999999999
"68",28707,0.21,1.22,13.24,0.68
"69",17257,0,0.36,22.96,0.74
"70",47950,0.321,0.63169,20.3638,0.580399999999999
"71",36015,0.321,0.63169,20.3638,0.580399999999999
"72",30911,0.321,0.63169,20.3638,0.580399999999999
"73",38798,0.321,0.63169,20.3638,0.580399999999999
"74",19319,0.774500000000001,0.15,12.8087,0.47
"75",17719,0.59,0.53,4.17,0.61
"76",16957,0.13,0.14,7.12,0.99
"77",32646,0.321,0.63169,20.3638,0.580399999999999
"78",15700,0.3384,2.64,12.14,0.87
"79",30626,0.321,0.63169,20.3638,0.580399999999999
"80",42084,0.321,0.63169,20.3638,0.580399999999999
"81",62578,0.321,0.63169,20.3638,0.580399999999999
"82",22687,0.1875,0.300373333333333,17.6405,0.6125
"83",39969,0.321,0.63169,20.3638,0.580399999999999
"84",29932,0,0.63,23.17,0.7
"85",20828,0.1213,0.160323333333333,13.0278,0.711399999999999
"86",99421,0.321,0.63169,20.3638,0.580399999999999
"87",62373,0.321,0.63169,20.3638,0.580399999999999
"88",28906,0.1446,0.65899,15.3938,0.5109
"89",46869.8878871128,0.321,0.63169,20.3638,0.580399999999999
"90",30215,0,0.5,30.05,1.07
"91",18648,1.1072,0,8.57,0.68
"92",54971,0.321,0.63169,20.3638,0.580399999999999
"93",70678,0.321,0.63169,20.3638,0.580399999999999
"94",29765,0.219,0.64069,20.0014,0.539
"95",25036,0.1748,0.41514,24.0921,0.5127
"96",75910,0.321,0.63169,20.3638,0.580399999999999
"97",19507,0.394,0.141323333333333,12.7817,0.6552
"98",58285,0.321,0.63169,20.3638,0.580399999999999
