"","yll_rates_from_all_air_pollution_per_100_000","deaths_from_fossil_pollution_as_a_share_of_total_anthropogenic_air_pollution_deaths","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths"
"1",3764.205122,56.88868613,17.27616646
"2",2036.762168,85.49019608,53.4965035
"3",2230.249326,71.48451406,8.750778816
"4",1701.532814418,65.06843072905,78.3708241859
"5",4349.176724,5.961851816,57.20160096
"6",1451.086957,80,8.333333333
"7",799.6775825,32.74397047,70.32230806
"8",2949.337309,97.63779528,30.47024952
"9",853.2938023,49.38733833,25.11755151
"10",2226.892659,77.4439063,89.58646949
"11",3401.322534,82.10463734,13.49703097
"12",1454.381443,72.13114754,29.46859903
"13",1909.949165,87.41258741,16.01343785
"14",3162.141158,56.22409197,74.09145402
"15",2467.253521,55.55555556,7.56302521
"16",3235.225358,78.37489252,99.94986751
"17",2126.612975,63.22485719,81.07501228
"18",1092.479109,48.07692308,40.31007752
"19",4222.178697,11.58748552,25.60830861
"21",1093.519814,4.097017371,79.61899791
"22",2760.839895,85.83191369,65.84408301
"23",925.9062776,34.17085427,91.00609756
"24",1280.895476,24.0219356,63.80366899
"25",621.749409,33.92857143,60.86956522
"26",4198.181818,79.73508653,68.60118061
"27",3793.135082,55.80708661,6.724023825
"28",2514.348107,10.58738216,49.55974843
"30",3976.91518,17.91620728,17.71051989
"31",1019.852305,90.46172852,96.70466424
"32",2357.581574,48.88888889,8.910891089
"33",5851.306122,10.25906736,29.5468463
"34",7924.570777,29.94871795,10.22387668
"35",982.8727982,45.36447275,33.00630694
"36",4470.598062,70.52199388,78.71937382
"37",399.1229509,82.08856576,60.49580168
"38",1626.142132,15.6626506,31.20300752
"39",1653.073593,4.756980352,47.35553379
"40",724.0224626,67.70072993,36.48468708
"41",5049.576685,1.399766706,23.7221805
"42",3205.613208,83.52462051,72.64658419
"43",1583.371378,65.72841385,30.43176294
"44",1832.532189,75.74468085,40.34334764
"45",3014.548138,6.796479061,40.271989
"46",1968.724643,59.24608819,68.09815951
"47",3577.59009,53.19148936,10.8045977
"49",1212.091565,79.08163265,16.45330535
"50",482.600317,69.67158177,98.7425546
"51",3677.334182,90.31519462,17.15816574
"52",1314.068875,45.05428227,53.83116883
"53",3607.455621,1.992031873,35.90844063
"55",2119.421173,54.59146782,97.3943662
"57",2853.959815,23.86022386,21.4936408
"58",1177.017937,95,6.230529595
"59",1256.351081,61.08818979,96.75648703
"60",1771.213411,63.14473145,72.48142645
"61",2018.608696,2.142857143,48.35924007
"62",4120.793571,23.11111111,11.60391955
"63",3160.375,92.83516484,35.21671827
"64",2621.396936,65.87668694,93.14442929
"65",3385.14083,2.425322006,29.56331524
"66",2426.21634,82.45384313,46.47921612
"68",1084.084996,43.2269717,61.23502304
"69",4556.911368,18.33578792,11.14393566
"70",4966.64859,9.651474531,17.43805517
"71",1838.461538,21.51898734,17.9138322
"72",2292.437681,72.27488152,20
"73",727.2198142,41.2959381,48.95833333
"74",3809.518011,78.42894313,86.93919319
"75",707.2948328,96.2962963,19.01408451
"76",4197.1737,60.69658246,61.48630531
"77",2047.758529,39.52780324,50.66606263
"78",1982.833862,80.13613861,16.78711879
"79",2528.138952,93.19041614,10.95190415
"80",1171.906997,82.4829932,38.57002296
"81",1675.868056,86.63366337,29.09900471
"82",2077.96101,81.63388318,61.08894971
"83",1208.77193,66.82926829,25.94936709
"84",2422.696688,71.25186226,57.9184561
"85",1706.34628,86.8852459,26.16902617
"86",2241.095035,67.83945129,51.08357124
"87",1375.87408,21.98300283,35.65176407
"89",1891.341213,84.9002849,14.23935091
"90",1998.164983,65.75019639,29.90368804
"92",3059.512938,57.09436524,96.24305782
"93",2259.425353,84.89605431,39.07493369
"94",2108.52459,52.99455535,94.43016281
"95",3174.46147,1.901140684,23.38470658
"96",2609.971328,96.92058347,9.951612903
"97",3126.79510317,47.3730526721,45.3886895827
"98",3244.440584,64.95487752,97.2419557
"99",1516.931217,65.69506726,93.69747899
"100",1414.355271,4.837117473,49.06757084
"101",1694.371188,5.502326855,51.21985418
"102",1124.367771,49.21856776,64.04720998
"103",925,40,48.14814815
"104",4670.454015,79.58199357,3.635938505
"105",2280.190931,77.77777778,31.25
"107",4527.851524,57.14285714,3.361870954
"108",1685.781618,59.67741935,7.57020757
"109",1106.267613,74.15917339,78.80968429
"110",3120.496436,74.61072664,85.74077508
"111",3126.79510317,47.3545931612,45.3886895827
"113",1903.726177684,63.8645913898,78.662777452
"114",2137.163364,60.27704217,16.39722092
"115",2489.934771,5.675526024,47.9776848
"116",3949.238362,43.12851376,56.87301923
"117",1138.755592,11.87648456,54.74642393
"119",2608.413502,64.71733776,65.53924697
"120",2046.310192,64.47900253,72.60744131
"121",849.2603224,59.45945946,12.20546654
"122",1085.662611,49.26387316,39.99094203
"123",5173.637126,50.72202166,5.721958273
"124",4996.74452,19.66317985,18.04928825
"127",1039.224717,61.01949025,82.6006192
"128",2055.644623,73.00884956,7.417131605
"129",4172.776211,39.97573676,31.53699994
"131",714.9656401,65.14423077,37.99086758
"132",864.9690425,55.04273504,35.82363748
"133",727.7602049,22.22853894,99.82973893
"134",819.922236,32.35479136,47.38201689
"135",1760.234835,41.72329923,52.48948633
"136",3082.725737,68.71562716,97.36062808
"137",2330.212786,49.89933851,48.53433836
"138",1062.192394,84.21052632,13.97058824
"139",3739.818564,77.65596361,82.07828388
"140",3012.02954,74.9657173,81.51069935
"141",1726.167246,11.10625273,46.34245187
"146",2936.789471019,47.3386682739,47.5401835452
"147",1682.631579,9.677419355,38.75
"148",1829.13132,78.67260219,11.37661142
"149",3217.192148,35.99013969,9.318529862
"150",2506.008072696,73.4341790396,68.159224248
"152",6394.793119,8.323699422,19.28866094
"153",1200.124911,52.24236641,66.79413639
"154",2998.212311,75.3749124,92.3744174
"155",2299.806576,82.1969697,79.42835653
"157",4964.716789,41.49004496,18.41296121
"158",2216.562713,48.17888878,75.62212322
"159",2346.404025,72.67387656,72.83592225
"160",3947.87449098,39.8589597274,33.4064072991
"161",1690.284536,67.78837166,44.18014
"162",2179.09234,36.74577127,43.20226864
"163",3081.41059699,48.02993953446,43.1448545996
"164",1715.101289,18.51851852,15.69767442
"165",1315.983095,59.22709509,83.91837726
"166",1659.139655,75.20650147,87.58459743
"167",2014.717219,89.75069252,26.70908553
"168",2154.185334,62.10191083,25.00497711
"169",1365.805022,11.92104245,45.00638718
"170",2886.400539,48.33725355,64.99577409
"172",3799.000684,9.953434226,26.98711907
"174",2341.617647,38.93129771,10.48839071
"175",2938.777324,79.58860759,12.84639881
"176",1938.688764,80.38182208,52.06202837
"179",2288.004831,10.78343759,35.29226241
"180",3675.792232,77.50917431,85.4879611
"181",1453.073992,81.81818182,14.23066336
"182",1681.976792,69.60415056,62.97180554
"183",1766.364066,84.0541268,81.32952957
"184",1248.222611,29.03508772,50.73431242
"185",2745.870087,68.08927173,19.55964005
"187",1133.534746,48.62533693,27.61032969
"188",2348.54039,57.0088724,69.92881546
"189",3519.063059,60.62005277,12.02697342
"190",1347.310551,10.83099907,69.17115178
"191",1596.359572,12.79874214,59.11879532
"192",3016.835815,69.86492216,97.44997344
