Total.confirmed.deaths.due.to.COVID.19.per.million.people,Life.expectancy
39.277,64.833
169.226,78.573
44.035,76.88
931.858,83.732
8.215,61.147
30.635,77.016
657.805,76.667
419.474,75.087
35.49,83.436
111.698,81.544
67.856,73.005
335.666,73.918
185.709,77.292
35.449,72.591
24.359,79.19
102.124,74.791
942.309,81.628
128.263,74.623
3.382,61.771
NA,71.777
742.909,71.513
336.502,77.401
8.93,69.592
743.068,75.881
6.857,75.86
167.088,75.046
3.205,61.577
0.084,61.584
NA,69.823
16.048,59.292
264.982,82.434
169.068,72.981
12.837,53.283
5.844,54.239
733.723,80.181
3.293,76.912
600.693,77.287
8.05,64.321
16.672,64.57
260.889,80.279
4.625,57.783
114.487,78.488
11.301,78.802
28.542,80.982
3.394,60.681
122.406,80.898
61.741,67.112
NA,75
205.201,74.081
713.482,77.01
60.801,71.99
148.315,73.317
59.16,58.735
NA,66.321
55.03,78.745
NA,NA
12.569,66.597
2.231,67.444
63.891,81.908
544.493,82.659
24.262,66.467
49.241,62.05
63.422,73.767
121.539,81.326
10.17,64.074
56.893,82.239
NA,72.397
204.571,74.302
5.406,61.602
20.833,58.322
151.292,69.906
20.346,64.001
266.442,75.27
163.348,76.875
32.234,82.993
86.963,69.656
49.4,71.716
396.45,76.677
266.617,70.604
382.762,82.305
286.868,82.972
623.534,83.512
66.19,74.475
13.678,84.629
65.47,74.526
118.285,73.597
17.37,66.699
NA,68.369
177.026,75.489
174.428,71.45
NA,67.923
33.4,75.292
86.441,78.93
20.072,54.331
16.213,64.104
118.173,72.913
26.221,82.494
51.795,75.933
234.833,82.25
8.812,67.041
9.566,64.263
7.353,76.156
68.45,78.921
6.716,59.306
124.564,82.53
NA,73.696
35.056,64.925
7.863,74.991
696.596,75.054
423.901,71.901
25.482,86.751
NA,69.87
437.855,76.884
93.334,76.68
2.848,60.854
21.081,67.134
52.343,63.708
NA,59.962
30.065,70.778
416.227,82.283
5.184,82.288
23.549,74.485
2.85,62.42
5.506,54.687
NA,72.274
NA,NA
51.649,82.404
235.576,77.861
30.599,67.273
NA,73.701
614.17,78.506
0.782,64.501
186.049,74.254
1038.977,76.736
64.363,71.231
121.94,78.73
232.526,82.049
79.832,80.227
341.725,76.054
182.198,72.584
2.702,69.024
NA,76.226
NA,76.203
NA,72.534
NA,73.321
1237.551,84.972
68.443,70.385
153.071,75.133
19.231,67.941
117.274,76.001
NA,73.402
9.277,54.696
4.786,83.62
32.237,77.542
92.355,81.324
NA,72.996
6.544,57.397
321.251,64.131
8.992,83.033
5.003,57.846
754.96,83.565
0.887,76.978
19.088,65.311
189.215,71.682
585.983,82.797
222.887,83.779
15.714,72.697
8.493,71.097
0.352,65.456
0.845,77.15
NA,69.495
6.523,61.042
NA,70.907
75.742,73.507
83.174,76.699
117.976,77.691
NA,68.191
NA,67.567
2.252,63.368
150.685,72.065
48.734,77.972
668.253,81.321
684.958,78.862
15.545,77.911
16.642,71.725
NA,70.474
27.43,72.064
0.36,75.4
20.117,66.125
18.93,63.886
16.282,61.49
237.838,79.376
NA,67.883
