"","total_confirmed_deaths_due_to_covid_19_per_million_people","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","healthy_diet_cost_percent_cannot_afford","income_classification_world_bank_2017","gdp_growth_from_previous_year_2020_q2","gdp","national_poverty_lines_jolliffe_and_prydz_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","infant_mortality_rate","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","yll_rates_from_anthropogenic_air_pollution_per_100_000"
"1",39.277,11.565728,830.19,17.89,7.6,NA,1,NA,67594970922.535,NA,39.7,66.2,2.09669366,4.470985575,95.97216632,NA,NA,NA,NA,144.16689,5616.784475,7.317,1.259,19.78,102.099737532808,175.6,184,3.716,216,1529,2.903,0.18,1056.942,10761942,0,52.31,17.27616646,600.0922311
"2",169.226,7.6878707,374.06,0.98,21.8,42.00774,3,NA,34009113044.8984,3.8,32,1.4,1.670224002,15.84816122,73.89177299,NA,NA,NA,NA,440.42001,1089.713154,2.367,20.154,722.079,9.42601369141654,71.29,NA,2.468,185,487,98.686,2.432,6855.584,2684815,1,37.96,53.4965035,1087.400759
"3",44.035,12.2647583,287.77,1.04,34.9,25.60362,3,NA,590317549399.484,NA,46,1.5,3.702127351,11.27569803,64.46481095,NA,NA,NA,NA,289.74506,1398.36594,6.203,2.577,42.576,29.6527777777778,166.27,209,3.405,220,1931,6.545,0.205,1293.151,34927459,1,50.46,8.750778816,185.7236494
"4",931.858,8.0856197,130.3,0.46,25.3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2164.9558,174.268463,1.608,194.137,10185.724,25.3184713375796,48.86,NA,1.633,223,72,1100.11,0,57076.296,78014,1,46.3,NA,NA
"5",8.215,8.5194139,353.12,14.06,12.1,90.50985,2,NA,175929578041.567,2.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.277954,4544.832134,2.304,1.552,55.224,35.3467561521253,111.25,21,2.8,122,270,8.002,0.061,293.432,14375401,0,56.94,57.20160096,2494.512829
"6",30.635,9.9233293,225.66,1.38,25.9,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,268.01904,879.2413213,0,0,51.058,-37.5,5.13,NA,2.419,125,3,0,0,1266.236,87487,NA,NA,8.333333333,119.5652174
"7",657.805,9.8786283,224.34,1.12,29,8.5967,3,NA,829373254831.057,NA,41.9,2.9,1.212598334,4.845372479,89.458929,NA,NA,NA,NA,245.00212,949.6708534,2.888,114.126,2159.715,-4.27013455729473,54.3,201,2.663,222,29730,316.578,9.492,24705.76,41854725,1,75.93,70.32230806,560.9692315
"8",419.474,10.986533,353.31,0.34,23,36.6346,2,NA,33296515549.8058,3.87,25.8,0.3,12.17313418,20.57026165,55.14177206,NA,NA,NA,NA,720.97192,791.1301337,2.916,68.844,5384.995,97.732342007435,39.98,153,1.504,224,1243,756.268,7.087,27892.161,2610670,NA,NA,30.47024952,890.3909874
"9",35.49,6.7891865,128.73,0.2,28.4,0.7444149,4,NA,1238559648720.32,28.14,NA,NA,3.276187107,6.906214946,90.24709053,38.77,4.71,0.42,28.73,838.4942,335.9743509,0,0.235,4.353,-1.76991150442478,1880.85,93,3.286,229,905,0.549,0,1080.044,23789338,0,71.76,25.11755151,212.2491463
"10",111.698,5.4147456,178.03,0.28,18.3,0.5476114,4,-13.3,382269444359.619,27.02,NA,NA,11.78723186,21.05363097,68.44639721,13.19,4.43,0.61,16.71,920.96967,281.0260831,0.989,14.101,2146.474,81.4870446864438,73.67,215,1.146,235,1006,299.565,1.999,9742.627,8633169,2,56.02,89.58646949,1994.1835
"11",67.856,11.572171,538.85,1.33,23.6,0,3,NA,160426221650.639,5.19,24.4,5.3,8.316148363,11.22187567,69.48001549,NA,NA,NA,NA,936.67621,3196.537872,3.238,7.496,519.766,50.6575185820469,58.56,110,1.345,214,688,65.39,0.888,5044.691,8616862,0,61.11,13.49703097,443.4078327
"12",335.666,11.2055637,303.91,1.3,38.1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,471.66946,1062.501087,1.19,61.03,1472.353,-23.8157894736842,136.2,64,2.03,96,132,91.545,0,16534.096,355891,1,57.41,29.46859903,433.5051546
"13",185.709,12.006818,249.93,0.82,36.8,NA,4,NA,62559305437.2192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,615.72601,533.1194641,0.409,17.631,1175.376,-11.5435647943388,163.23,NA,0.392,232,316,0,0,47328.282,1360880,1,53.7,16.01343785,291.9389978
"14",35.449,10.2542749,313.8,0.98,5,77.60098,2,NA,686521749312.877,NA,21.1,41.3,0.396651362,0.908196083,97.81296397,NA,NA,NA,NA,63.223766,3186.298445,1.417,1.585,60.702,-3.07349234050804,208.27,194,1.454,204,5838,8.106,0.121,2438.445,97687737,0,35.19,74.09145402,2301.744043
"15",24.359,10.5051944,198.43,1.35,31.3,NA,4,NA,3516161101.8708,NA,0,0.9,NA,NA,NA,NA,NA,NA,NA,557.15704,1116.610777,0,0,38.278,-8.33333333333334,13.49,NA,3.004,NA,7,0,0,810.799,273417,1,50,7.56302521,190.4929577
"16",102.124,8.0120648,527.78,0.53,26.3,1.027703,3,NA,178435259131.19,7.59,16.6,0,7.597193224,14.77494701,45.85111337,NA,NA,NA,NA,374.66376,488.1843388,0.774,6.244,603.218,29.9885974914481,166.18,129,1.02,210,965,95.457,0.423,10012.254,8948708,0,43.52,99.94986751,3233.729992
"17",942.309,5.6681222,141.99,0.35,21,0.292606,4,-14.5,454384314204.564,26.85,NA,NA,4.700652608,20.63709549,82.61066723,10,11.76,1.36,3.51,840.12659,296.4014971,1.091,61.003,8360.76,35.8275277197606,84.98,223,3.189,236,10921,359.719,7.679,29553.093,11217825,1,47.22,81.07501228,1722.833879
"18",128.263,9.9988558,313.61,1.43,31.5,38.11414,3,NA,NA,NA,41,4.6,NA,NA,NA,NA,NA,NA,NA,118.64302,1652.2555,1.942,30.179,870.175,14.9501661129568,34.3,NA,1.578,81,51,80.479,0,8128.343,325156,2,66.67,40.31007752,433.1476323
"19",3.382,7.3902467,327.29,23.04,14.2,89.63388,1,NA,26682033534.9148,1.44,41.7,62.2,1.794186452,14.01966423,88.56086681,NA,NA,NA,NA,34.203602,5390.388716,0,0,5.032,-28.2352941176471,84.21,NA,1.603,173,41,0,0,210.918,2083463,1,38.89,25.60830861,967.6655301
"20",742.909,6.950181,215.4,1.88,25.6,25.54418,2,NA,75704710886.7386,7.63,19.8,20.5,1.777991454,13.10435207,79.09922514,NA,NA,NA,NA,115.56576,2118.418775,10.174,27.499,93.121,-2.51121076233184,399.69,173,6.145,202,8672,14.735,1.199,12089.75,5394527,2,56.48,79.61899791,870.7505828
