"","income_support","containment_index"
"1",0,42.8
"2",1,43.21
"3",1,57.56
"4",2,59.52
"5",0,51.61
"6",NA,NA
"7",1,74.17
"8",NA,NA
"9",0,74.17
"10",2,68.15
"11",0,64.29
"12",1,71.43
"13",2,66.43
"14",0,39.76
"15",1,57.5
"16",0,46.9
"17",2,61.9
"18",1,71.55
"19",1,45.6
"20",1,67.56
"21",1,62.26
"22",1,40
"23",0,57.62
"24",1,56.61
"25",0,82.14
"26",2,57.14
"27",0,28.69
"28",1,14.29
"29",0,69.7
"30",0,39.29
"31",1,62.5
"32",1,57.26
"33",0,28.45
"34",0,32.98
"35",1,69.7
"36",1,75.89
"37",1,53.57
"38",NA,NA
"39",0,54.17
"40",0,61.67
"41",1,35.71
"42",1,45.89
"43",0,71.13
"44",2,57.74
"45",0,33.57
"46",2,56.55
"47",1,48.93
"48",0,74.4
"49",1,73.21
"50",1,67.38
"51",1,44.17
"52",1,43.21
"53",NA,NA
"54",0,58.33
"55",0,34.52
"56",0,70
"57",0,52.14
"58",1,80.36
"59",2,50.3
"60",2,68.45
"61",0,63.57
"62",0,42.26
"63",1,66.55
"64",2,67.86
"65",0,43.57
"66",2,58.99
"67",NA,NA
"68",0,57.5
"69",0,67.62
"70",NA,NA
"71",1,68.81
"72",1,63.21
"73",1,72.38
"74",0,44.05
"75",2,51.79
"76",0,72.68
"77",1,72.44
"78",1,67.08
"79",1,69.35
"80",2,62.5
"81",2,61.31
"82",1,81.55
"83",0,75.36
"84",2,50.65
"85",1,53.33
"86",0,51.79
"87",1,64.76
"88",1,33.63
"89",1,58.33
"90",1,58.33
"91",2,56.31
"92",0,45.83
"93",0,68.81
"94",0,60
"95",1,59.29
"96",0,63.21
"97",0,52.5
"98",2,48.81
"99",1,51.79
"100",0,51.79
"101",1,56.55
"102",1,80.71
"103",NA,NA
"104",0,30.71
"105",2,80.12
"106",NA,NA
"107",0,43.57
"108",2,61.07
"109",0,64.88
"110",1,48.93
"111",2,53.57
"112",0,61.67
"113",NA,NA
"114",1,64.17
"115",0,57.26
"116",1,66.13
"117",0,57.26
"118",NA,NA
"119",1,69.52
"120",2,51.79
"121",1,35.48
"122",0,21.55
"123",0,33.1
"124",0,39.52
"125",NA,NA
"126",NA,NA
"127",2,51.49
"128",0,47.38
"129",1,68.45
"130",NA,NA
"131",1,74.76
"132",0,54.17
"133",1,57.86
"134",1,69.4
"135",0,68.27
"136",2,46.43
"137",1,64.05
"138",2,64.05
"139",2,52.08
"140",1,43.75
"141",1,60
"142",NA,NA
"143",NA,NA
"144",NA,NA
"145",NA,NA
"146",1,45.83
"147",NA,NA
"148",2,63.69
"149",0,39.64
"150",2,55.36
"151",0,85.12
"152",0,54.23
"153",2,66.07
"154",2,49.7
"155",1,44.4
"156",0,19.88
"157",0,45.36
"158",1,61.07
"159",1,64.29
"160",1,36.07
"161",2,54.46
"162",0,83.93
"163",0,28.93
"164",1,80.71
"165",2,40.48
"166",2,53.57
"167",0,29.05
"168",0,39.29
"169",1,23.93
"170",1,69.05
"171",2,59.82
"172",1,50.71
"173",0,35.36
"174",1,69.17
"175",1,69.76
"176",2,62.62
"177",0,59.82
"178",NA,NA
"179",1,72.14
"180",1,54.52
"181",0,71.13
"182",2,51.79
"183",1,67.86
"184",1,63.1
"185",1,59.29
"186",0,29.52
"187",1,78.21
"188",0,78.39
"189",0,41.79
"190",0,50.95
"191",0,69.05
"192",1,52.38
"193",NA,NA
