"","share_of_people_who_disagree_vaccines_are_important_for_children_to_have","share_of_people_who_disagree_vaccines_are_safe","share_of_people_who_agree_vaccines_are_effective","general_hospitals_per_million_population_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"1",2.09669366,4.470985575,95.97216632,NA,NA,NA,NA,144.16689
"2",1.670224002,15.84816122,73.89177299,NA,NA,NA,NA,440.42001
"3",3.702127351,11.27569803,64.46481095,NA,NA,NA,NA,289.74506
"4",NA,NA,NA,NA,NA,NA,NA,2164.9558
"5",NA,NA,NA,NA,NA,NA,NA,65.277954
"6",NA,NA,NA,NA,NA,NA,NA,268.01904
"7",1.212598334,4.845372479,89.458929,NA,NA,NA,NA,245.00212
"8",12.17313418,20.57026165,55.14177206,NA,NA,NA,NA,720.97192
"9",3.276187107,6.906214946,90.24709053,38.77,4.71,0.42,28.73,838.4942
"10",11.78723186,21.05363097,68.44639721,13.19,4.43,0.61,16.71,920.96967
"11",8.316148363,11.22187567,69.48001549,NA,NA,NA,NA,936.67621
"12",NA,NA,NA,NA,NA,NA,NA,471.66946
"13",NA,NA,NA,NA,NA,NA,NA,615.72601
"14",0.396651362,0.908196083,97.81296397,NA,NA,NA,NA,63.223766
"15",NA,NA,NA,NA,NA,NA,NA,557.15704
"16",7.597193224,14.77494701,45.85111337,NA,NA,NA,NA,374.66376
"17",4.700652608,20.63709549,82.61066723,10,11.76,1.36,3.51,840.12659
"18",NA,NA,NA,NA,NA,NA,NA,118.64302
"19",1.794186452,14.01966423,88.56086681,NA,NA,NA,NA,34.203602
"20",1.777991454,13.10435207,79.09922514,NA,NA,NA,NA,115.56576
"21",5.866728907,8.300703246,76.4682,NA,NA,NA,NA,315.49902
"22",3.825546888,9.001017043,85.24354003,NA,NA,NA,NA,51.02795
"23",0.504578666,9.042356185,80.66170174,NA,NA,NA,NA,393.65927
"24",NA,NA,NA,NA,NA,NA,NA,125.25507
"25",6.922498454,15.61304414,56.86154774,NA,NA,NA,NA,711.14771
"26",2.869976837,20.75256443,83.90067419,NA,NA,NA,NA,34.698746
"27",0.661125647,6.529531228,91.08010345,NA,NA,NA,NA,12.152169
"28",1.821170138,13.10581138,82.47290506,NA,NA,NA,NA,113.57147
"29",5.370012878,8.322632874,82.25039568,16.05,NA,0.34,19.48,670.91956
"30",NA,NA,NA,NA,NA,NA,NA,71.923409
"31",NA,NA,NA,NA,NA,NA,NA,12.615376
"32",4.344118015,10.0500689,84.99356568,NA,NA,NA,NA,56.241741
"33",3.98514653,11.37743281,77.73035681,13.44,NA,0.1,11.43,613.57904
"34",1.868376767,8.290823545,78.84430858,NA,NA,NA,NA,246.86253
"35",0.582169118,10.70378513,81.89031228,NA,NA,NA,NA,156.01645
"36",1.308382738,7.505970773,93.11858028,NA,NA,NA,NA,90.556938
"37",2.207636832,17.50763411,91.48989263,NA,NA,NA,NA,88.853043
"38",1.037113384,5.810229365,86.75535083,NA,NA,NA,NA,276.40625
"39",1.484182932,16.35067072,87.80202892,NA,NA,NA,NA,68.291847
"40",4.352767471,6.794648185,65.43009934,NA,NA,NA,NA,251.05083
"41",NA,NA,NA,NA,NA,NA,NA,NA
"42",6.016327191,9.859631777,70.76774244,NA,NA,NA,NA,937.77203
"43",NA,NA,NA,NA,NA,NA,NA,12.715207
"44",2.36310731,8.979714929,85.26314262,NA,NA,0.47,NA,697.55823
"45",NA,NA,NA,NA,NA,NA,NA,29.903355
"46",0.12714161,4.905058752,91.57457995,NA,NA,NA,NA,381.37183
"47",0.895799755,5.392728845,86.18514637,NA,NA,NA,NA,428.47943
"48",0.309066032,0.588238907,96.04877244,NA,NA,NA,NA,306.79916
"49",0.827741254,11.38611622,82.106565,NA,NA,NA,NA,161.16724
"50",NA,NA,NA,NA,NA,NA,NA,568.37732
"51",5.720150799,13.48992364,61.8998173,15.94,2.28,0.53,15.18,429.6655
"52",0.14044208,2.54309192,97.06544075,NA,NA,NA,NA,24.804361
"53",NA,NA,NA,NA,NA,NA,NA,70.953873
"54",1.680263603,7.991680632,83.40066361,23.6,NA,0.39,30.5,794.92712
"55",9.758586958,33.29384552,67.9628897,28.65,10.17,0.84,20.4,308.73276
"56",2.645818692,25.85800036,79.14494466,NA,NA,NA,NA,124.56293
"57",2.818174006,4.782896295,87.22423468,NA,NA,NA,NA,23.163185
"58",3.634566646,9.573974821,77.59259553,NA,NA,NA,NA,411.42606
"59",4.291943979,12.87886921,83.00843987,19.26,11.74,1.28,9.5,671.1239
"60",2.763845301,3.492985667,88.1140543,NA,NA,NA,NA,90.020622
"61",1.679683227,3.587050176,84.70523902,16.18,0.46,0.74,11.62,781.69025
"62",0.842762166,7.285190797,86.70960649,NA,NA,NA,NA,247.54504
"63",3.588067094,14.05135618,86.72317424,NA,NA,NA,NA,31.166372
"64",NA,NA,NA,NA,NA,NA,NA,37.274281
"65",NA,NA,NA,NA,NA,NA,NA,136.16254
"66",1.717215017,20.39307286,84.26116016,NA,NA,NA,NA,43.579815
"67",0.262917427,5.889666745,89.09822901,NA,NA,NA,NA,173.59322
"68",1.274012043,2.632851949,78.28436887,14.64,2.91,0.87,13.24,555.2157
