"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","cost_of_calorie_sufficient_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017"
"1",39.277,NA,NA,NA,2.375,11.565728,830.19,17.89,7.6,74.52,201.65
"2",169.226,42.00774,0.759638581,357.7005729,5.365,7.6878707,374.06,0.98,21.8,11.15,19.79
"3",44.035,25.60362,0.772870191,335.598812,4.745,12.2647583,287.77,1.04,34.9,29.4,71.2
"4",931.858,NA,NA,NA,NA,8.0856197,130.3,0.46,25.3,4.11,14.78
"5",8.215,90.50985,1.401920388,382.8369353,3.795,8.5194139,353.12,14.06,12.1,13.32,58.81
"6",30.635,NA,NA,NA,NA,9.9233293,225.66,1.38,25.9,27.82,100.36
"7",657.805,8.5967,0.652093819,292.1371512,5.901,9.8786283,224.34,1.12,29,22.12,53.78
"8",419.474,36.6346,1.013010424,297.4988182,5.488,10.986533,353.31,0.34,23,10.56,60.53
"9",35.49,0.7444149,0.313935579,189.7005539,7.137,6.7891865,128.73,0.2,28.4,10.17,28.35
"10",111.698,0.5476114,0.349012635,242.7134934,7.213,5.4147456,178.03,0.28,18.3,12.79,33.58
"11",67.856,0,0.788297947,234.4126092,5.173,11.572171,538.85,1.33,23.6,15.29,45.09
"12",335.666,NA,NA,NA,NA,11.2055637,303.91,1.3,38.1,30.54,102.35
"13",185.709,NA,NA,NA,6.173,12.006818,249.93,0.82,36.8,33.35,188.6
"14",35.449,77.60098,0.643520024,287.5123744,5.28,10.2542749,313.8,0.98,5,20.86,72.27
"15",24.359,NA,NA,NA,NA,10.5051944,198.43,1.35,31.3,22.01,106.04
"16",102.124,1.027703,0.799425284,339.3174596,5.821,8.0120648,527.78,0.53,26.3,4.24,10.93
"17",942.309,0.292606,0.266243314,240.3239807,6.839,5.6681222,141.99,0.35,21,8.6,23.44
"18",128.263,38.11414,1.12991063,243.3597648,5.956,9.9988558,313.61,1.43,31.5,46.99,156.48
"19",3.382,89.63388,0.651227469,294.3319386,4.408,7.3902467,327.29,23.04,14.2,23.47,80.79
"20",742.909,25.54418,1.467199081,314.0132814,5.559,6.950181,215.4,1.88,25.6,45.48,90.18
"21",336.502,3.633199,0.705741816,357.9414101,5.516,7.9595233,319.89,0.38,18.4,10.77,53.65
"22",8.93,60.1921,0.505090038,330.6657282,3.471,7.5742542,343.14,5.06,29.3,24.71,140.84
"23",743.068,12.98858,0.84750795,234.5645918,6.11,7.7976249,222.15,1.25,25.4,19.62,69.08
"24",6.857,NA,NA,NA,NA,9.2080746,220.47,0.92,15.7,26.52,106.26
"25",167.088,9.337595,0.514931565,348.1629338,5.598,8.4220956,508.75,0.62,24.3,10.98,29.14
"26",3.205,89.96324,0.573611327,295.9095012,4.741,7.3630174,350.79,30.89,8.1,16.09,76.38
"27",0.084,97.167,0.707986131,287.321067,3.775,4.2383366,383.29,24.8,8.6,12.68,65.71
"28",16.048,66.43285,0.893473526,300.892604,5.241,6.5496373,320.24,22.12,16.4,24.89,99.53
"29",264.982,0.4973831,0.678612354,248.6426666,7.025,6.2295715,126.84,0.27,29.3,8.99,27.85
"30",169.068,32.42308,0.619501806,281.0429223,NA,9.0616702,284.41,4.74,16.3,19.48,60.2
"31",12.837,93.04771,1.020846914,272.9352377,3.476,7.9801102,506.18,24.66,10.9,16.31,77.6
"32",5.844,83.21726,0.708813159,268.7256318,4.251,7.893766,328.47,30,8.9,22.88,72.58
"33",733.723,1.807866,0.622463862,256.8955987,6.151,10.1604348,138.67,0.67,31,18.62,43.92
"34",3.293,17.94347,0.847186882,301.5002801,5.771,9.8981826,307.9,0.61,6.5,12.13,25.64
"35",600.693,22.39919,1.024257877,272.856847,5.709,8.3281758,185.27,1.09,26.6,22.02,50.39
"36",8.05,60.2145,1.100676758,280.4729195,4.609,7.863303,312.61,19.82,12.2,12.07,64.6
"37",16.672,90.04419,0.986611486,323.8801868,5.213,7.7231127,374.62,13.14,13.5,15.38,69.02
"38",260.889,10.59034,0.942631128,324.069996,6.998,8.8486617,130.93,0.85,30.4,24.85,39.65
"39",4.625,68.84484,0.814961923,241.3577406,5.257,7.3379487,422.34,21.59,15.2,27.81,101.94
"40",114.487,5.311003,0.673078637,365.3334068,6.508,8.3590648,325.58,0.31,24.5,8.95,27.81
"41",11.301,NA,NA,NA,5.418,7.2850055,214.01,0.8,30.3,13.13,28.74
"42",28.542,0.05130247,0.581570659,254.9310472,6.26,8.2802862,187.14,0.32,21.6,17.83,63.02
"43",3.394,95.51018,0.560192577,271.1929958,4.311,6.2299002,353.13,16.71,9.7,11.47,55.64
"44",122.406,0.1710614,0.303741478,199.6569721,7.515,5.3713457,137.43,0.44,17,8.07,28.41
"45",61.741,66.70957,0.615534816,295.8092388,4.369,8.6408121,305.33,19.55,18.3,13.97,65.77
"46",205.201,18.58065,1.180382518,336.1897358,5.168,8.6348075,272.57,2.52,34.1,22.63,53.27
"47",713.482,17.05914,1.345774261,265.8805063,5.354,7.4656134,141.95,0.89,24.7,40.64,80.2
"48",60.801,75.18362,0.987348298,346.5376876,4.472,15.9915285,436.74,1.27,41.1,31.43,66.91
"49",148.315,41.0972,1.459323301,391.5220784,5.462,9.3025743,179.53,1.83,28.9,69.3,116.48
"50",59.16,NA,NA,NA,NA,9.4867882,238.66,9.17,12.6,11.01,60.57
"51",55.03,0.7833411,0.424691275,274.6628285,6.453,7.7077688,326.4,0.41,21.8,8.79,19.43
"52",12.569,87.36121,0.720331215,304.7147757,4.549,5.7992061,360.35,23.59,6.9,17.09,70.74
"53",2.231,28.74499,0.848623732,330.4274271,NA,15.946039,482.67,3.64,35.3,83.75,459.95
"54",63.891,0.09872849,0.281521543,215.0627693,7.889,6.4035424,179.76,0.22,20.6,4.09,11.61
"55",544.493,0.0396873,0.319270299,250.1477672,6.714,7.4588522,109.08,0.3,21.1,6.13,21.03
"56",24.262,32.0472,0.9553951,314.0855085,4.914,10.0069996,308.36,11.49,20.3,16.72,77.36
"57",49.241,73.06253,0.98305743,321.6312408,5.164,9.4400826,320.01,22.42,14.8,19.24,61.6
"58",63.422,NA,NA,NA,5.123,13.278765,490.35,0.84,23.8,12.9,35.78
"59",121.539,0.2406784,0.266420584,232.1149325,7.312,6.0163501,186.93,0.24,20.4,12.41,30.6
"60",10.17,60.90227,0.823971445,355.1017527,5.319,6.4065812,362.74,23.06,16.6,18.77,86.46
"61",56.893,2.895735,0.677560681,257.7997503,5.788,7.2485658,215.53,0.34,25.4,11.93,21.49
"62",204.571,NA,NA,NA,6.262,8.933383,165.83,2.16,26.4,50.47,118.24
"63",5.406,90.28445,0.903217626,346.5059072,4.768,6.7504811,382.26,28.13,11.5,19.77,83.14
"64",20.833,92.62132,0.925029393,315.651056,NA,7.3624409,495.16,33.15,13.7,32.36,112.28
"65",151.292,39.30348,0.726962015,398.6339337,5.993,9.0633936,495.73,1.54,27.1,36.09,159.01
"66",20.346,82.16744,1.094127898,392.515182,3.615,8.5517711,544.45,8.02,26.9,38.25,134.81
"67",266.442,48.85315,1.145273549,304.8500762,5.93,8.4891994,315.58,2.61,26.9,58.97,104.03
"68",163.348,3.021302,0.45006955,310.8679202,6.038,8.9001676,361.76,0.51,24.6,8.6,27.37
"69",32.234,0.01792546,0.382420976,199.3888126,7.575,7.6316878,147.84,0.39,19.4,5.54,15.54
"70",86.963,71.48567,0.788195593,268.9312061,4.225,9.053893,344.27,5.71,5.1,27.09,80.67
"71",49.4,71.30388,1.020366482,422.4718158,5.347,7.4193282,384.93,1.84,8.9,20.78,83.27
"72",396.45,10.49139,0.870882295,289.0106306,4.865,11.3852069,352.24,1.41,32.2,20.78,59.15
"73",266.617,50.81578,1.164338457,327.4819287,4.785,17.2299941,613.13,3.37,37,50.48,142.58
"74",382.762,0.3353735,0.577231411,206.3962812,7.035,7.3088405,159.45,0.32,25.5,9.19,22.99
"75",286.868,0.9977683,0.508129071,223.5212365,7.195,7.0922374,119.21,0.37,26.2,22.52,56.8
"76",623.534,2.472911,0.316287353,258.4407102,6.488,7.0540891,144.02,0.22,19.5,8.78,26.86
"77",66.19,52.39908,1.014786055,459.2750456,6.309,9.2817333,248.65,1.73,33.4,30.32,147.02
"78",13.678,1.616443,3.034385921,434.3462374,6.118,8.3588827,94.69,0.2,3.7,9.7,16.2
"79",65.47,19.90089,0.643548024,345.0795845,4.094,16.510798,297.16,0.78,43.1,40.39,95.57
"80",118.285,1.16534,0.652794041,233.6312211,6.168,12.3560972,534.53,1.06,22.7,11.76,25.93
"81",17.37,78.95827,0.766345623,257.6809474,4.547,5.8172238,225.89,17.21,11.1,8.37,41.49
"82",177.026,NA,NA,NA,6.106,19.6593654,245.7,0.55,45.6,19.5,48.74
"83",174.428,57.584,0.964181593,304.2461928,6.25,9.9323155,574.47,1.08,18.6,11.18,26.46
"84",33.4,2.62944,0.448210108,278.071027,6.229,7.8315259,423.55,0.43,25.1,6.1,22.42
"85",86.441,NA,NA,NA,4.024,14.4658527,217.53,0.64,37,11.09,37.54
"86",20.072,76.94296,0.607529939,349.9884516,3.512,7.3050801,501.31,8.64,26.7,33.31,197.82
"87",16.213,97.57058,0.970414826,423.2618395,5.121,7.7892159,346.06,19.99,14.2,26.69,87.07
"88",118.173,NA,NA,NA,5.33,15.1971092,310.43,0.98,39.6,43.25,87.13
"89",26.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"90",51.795,2.856601,0.512512295,268.5988427,6.391,8.9232895,382.11,0.57,27.8,4.51,13.75
"91",234.833,0.4126038,0.334489337,208.1221882,7.404,6.9729089,150.35,0.19,20.7,8.54,20.95
"92",8.812,96.73974,1.07819951,289.0422163,4.339,6.3172086,505.29,21.16,7.5,10.56,55.94
"93",9.566,92.84431,0.28486552,225.8655657,3.869,6.6198552,312.91,25.65,9.1,14.34,64.29
"94",7.353,2.754231,0.908167921,331.0328026,5.428,11.4416249,320.97,2,17.9,19.58,57.6
"95",68.45,2.729918,0.422614866,303.9718019,5.198,11.063976,239.27,0.53,11.4,36.26,68.04
"96",6.716,90.62164,0.599600045,272.2387853,4.988,8.3645204,318.64,28.3,12.4,19.54,70.88
"97",124.564,0.3113678,0.763473885,328.5045863,6.157,9.0493557,181.96,0.32,28.5,10.76,30.21
"98",35.056,68.03631,0.87682579,370.0824451,4.153,8.4635263,288.87,15.9,18.5,20.46,67.83
"99",7.863,12.04238,0.813268366,310.7602209,6.015,12.8618866,271.8,0.91,15.7,67.1,222.12
"100",696.596,17.93763,0.661079505,272.9306122,5.964,10.869791,158.3,0.64,32.8,62.13,139.43
"101",423.901,4.655106,0.801924017,240.434778,5.812,7.7593317,543.97,0.75,21.1,4.48,17.44
"102",25.482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103",437.855,14.87213,0.560815752,314.3971323,5.722,7.5727608,412.62,0.26,23.1,13.84,33.47
"104",93.334,13.70442,0.607821254,241.386196,4.803,14.0416698,319.37,2.28,32.2,37.14,91.46
"105",2.848,90.62317,0.382520329,291.419903,4.932,6.5621686,338.52,18.32,10.5,13.58,65.91
"106",21.081,51.92937,0.909689542,306.2327242,4.431,6.9114952,285.17,3.28,7.3,29.02,82.14
"107",52.343,45.98487,1.008157292,266.2691713,4.451,7.3191306,330.6,5.68,25.4,21.52,105.85
"108",30.065,72.0897,0.986364173,320.5217644,5.449,11.6872047,330.7,4.62,5.4,26.46,80.96
"109",416.227,0.3128131,0.300922706,231.2824932,7.504,5.1717566,127.71,0.41,20,7.93,26.32
"110",5.184,NA,NA,NA,7.257,7.9042936,155.77,0.34,31.4,10.75,26.13
"111",23.549,27.84136,1.43555517,294.0000802,6.113,9.2258635,180.52,1.44,29,58.52,99.69
"112",2.85,91.94135,0.608233806,301.3851715,5.004,5.9408535,334.07,33.31,8.7,19.47,70.73
"113",5.506,89.12486,1.3811754,283.0679239,5.503,6.299279,197.62,18.9,13.1,6.72,41.12
"114",51.649,0.4563593,1.084304198,288.9047876,7.29,6.2257413,137.75,0.3,22.5,6.14,20.58
"115",235.576,NA,NA,NA,6.853,14.3323602,314.92,0.9,33.7,21.32,103.46
"116",30.599,75.2726,0.767463234,319.7952892,4.443,12.5771361,479.9,8.52,11.3,29.37,93.89
"117",614.17,19.78807,1.127964567,407.3911578,6.086,8.9030156,154.03,1.38,27.6,27.31,67.45
"118",0.782,NA,NA,NA,NA,15.357027,591.54,6.95,25.8,59.11,183.05
"119",186.049,15.44793,0.949812696,301.0380898,5.653,8.0133105,271.74,1.96,23.4,38.59,109.31
"120",1038.977,22.43048,0.91506283,300.0001146,5.999,7.2325752,108.51,1.05,24.2,24.06,48.66
"121",64.363,64.24689,1.157734234,340.4633893,5.08,7.0508844,427.92,2.83,7.5,50.55,111.57
"122",121.94,0.449238,0.397012866,258.748219,6.139,8.394709,283.08,0.35,22.2,7.6,22.3
"123",232.526,0.9322764,0.417757991,224.6360157,5.768,8.4291863,155.11,0.34,21.2,12.82,39.07
"124",79.832,NA,NA,NA,6.375,18.9393887,187.72,0.43,43.1,25.77,108.6
"125",341.725,11.02077,0.508367756,276.2681386,6.13,7.2931016,430.29,0.42,21.6,8.67,17.24
"126",182.198,2.541048,0.621210643,283.9289799,5.495,7.4159878,562.81,0.96,26.9,5.21,16.04
"127",2.702,91.14971,0.762956708,301.3968674,3.268,4.2869468,268.13,19.02,9.3,10.84,60.85
"128",1237.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",68.443,81.26451,0.895221716,267.4178864,NA,8.3453454,293.65,5.23,16.9,43.5,81
"130",153.071,NA,NA,NA,6.56,17.6139625,301.43,0.69,42.3,44.64,85.1
"131",19.231,77.24802,0.744343569,265.5712745,5.489,7.5161234,356.79,25.53,12.9,26.55,90.21
"132",117.274,23.87022,0.613036548,362.283357,6.042,7.2703366,398.67,0.41,21.8,14.08,38.43
"133",9.277,85.57656,1.241975289,231.4302156,3.447,7.1035396,386.95,31.04,13.3,23.09,86.5
"134",4.786,NA,NA,NA,6.378,9.3643048,111.1,0.16,6.3,13.66,22.56
"135",32.237,2.348883,0.387426943,278.4835241,6.519,8.1699695,356.91,0.5,19.9,9.5,24.19
"136",92.355,0.01920434,0.440995618,254.0748829,6.462,7.2928867,190.44,0.23,21,5.36,18.47
"137",6.544,NA,NA,NA,4.668,7.4372867,473.9,33.84,12.3,17.59,86.18
"138",321.251,61.10259,1.264708811,357.2355313,4.947,9.666581,249.35,5.62,39.6,27.55,130.7
"139",8.992,1.228063,0.68144879,406.0827773,5.793,9.3042505,123.61,0.26,4.8,9.74,36.6
"140",5.003,NA,NA,NA,2.817,NA,326.17,32.47,NA,12.64,66.45
