"","case_fatality_rate_of_covid_19_short_term","biweekly_deaths_per_million_people","weekly_cases_per_million_people","weekly_case_growth","doubling_days_of_total_confirmed_deaths_3_day_period","days_since_10_daily_new_confirmed_deaths_recorded","case_fatality_rate_of_covid_19_only_observations_with_100_cases","days_since_30_daily_new_confirmed_cases_recorded","total_confirmed_deaths_due_to_covid_19","daily_new_confirmed_cases_of_covid_19_per_million_people","daily_new_confirmed_deaths_due_to_covid_19_per_million_people","total_confirmed_cases_of_covid_19_per_million_people","population_with_access_to_improved_sanitation_x","debt_relief","stringency_index"
"1",7.317,1.259,19.78,102.099737532808,175.6,184,3.716,216,1529,2.903,0.18,1056.942,10761942,0,52.31
"2",2.367,20.154,722.079,9.42601369141654,71.29,NA,2.468,185,487,98.686,2.432,6855.584,2684815,1,37.96
"3",6.203,2.577,42.576,29.6527777777778,166.27,209,3.405,220,1931,6.545,0.205,1293.151,34927459,1,50.46
"4",1.608,194.137,10185.724,25.3184713375796,48.86,NA,1.633,223,72,1100.11,0,57076.296,78014,1,46.3
"5",2.304,1.552,55.224,35.3467561521253,111.25,21,2.8,122,270,8.002,0.061,293.432,14375401,0,56.94
"6",0,0,51.058,-37.5,5.13,NA,2.419,125,3,0,0,1266.236,87487,NA,NA
"7",2.888,114.126,2159.715,-4.27013455729473,54.3,201,2.663,222,29730,316.578,9.492,24705.76,41854725,1,75.93
"8",2.916,68.844,5384.995,97.732342007435,39.98,153,1.504,224,1243,756.268,7.087,27892.161,2610670,NA,NA
"9",0,0.235,4.353,-1.76991150442478,1880.85,93,3.286,229,905,0.549,0,1080.044,23789338,0,71.76
"10",0.989,14.101,2146.474,81.4870446864438,73.67,215,1.146,235,1006,299.565,1.999,9742.627,8633169,2,56.02
"11",3.238,7.496,519.766,50.6575185820469,58.56,110,1.345,214,688,65.39,0.888,5044.691,8616862,0,61.11
"12",1.19,61.03,1472.353,-23.8157894736842,136.2,64,2.03,96,132,91.545,0,16534.096,355891,1,57.41
"13",0.409,17.631,1175.376,-11.5435647943388,163.23,NA,0.392,232,316,0,0,47328.282,1360880,1,53.7
"14",1.417,1.585,60.702,-3.07349234050804,208.27,194,1.454,204,5838,8.106,0.121,2438.445,97687737,0,35.19
"15",0,0,38.278,-8.33333333333334,13.49,NA,3.004,NA,7,0,0,810.799,273417,1,50
"16",0.774,6.244,603.218,29.9885974914481,166.18,129,1.02,210,965,95.457,0.423,10012.254,8948708,0,43.52
"17",1.091,61.003,8360.76,35.8275277197606,84.98,223,3.189,236,10921,359.719,7.679,29553.093,11217825,1,47.22
"18",1.942,30.179,870.175,14.9501661129568,34.3,NA,1.578,81,51,80.479,0,8128.343,325156,2,66.67
"19",0,0,5.032,-28.2352941176471,84.21,NA,1.603,173,41,0,0,210.918,2083463,1,38.89
"21",10.174,27.499,93.121,-2.51121076233184,399.69,173,6.145,202,8672,14.735,1.199,12089.75,5394527,2,56.48
"22",3.372,47.854,1898.004,47.6992409867173,68.52,112,2.653,220,1104,6.096,0,12684.653,3352091,0,35.19
