"","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","yll_rates_from_anthropogenic_air_pollution_per_100_000"
"1",17.27616646,600.0922311
"2",53.4965035,1087.400759
"3",8.750778816,185.7236494
"4",NA,NA
"5",57.20160096,2494.512829
"6",8.333333333,119.5652174
"7",70.32230806,560.9692315
"8",30.47024952,890.3909874
"9",25.11755151,212.2491463
"10",89.58646949,1994.1835
"11",13.49703097,443.4078327
"12",29.46859903,433.5051546
"13",16.01343785,291.9389978
"14",74.09145402,2301.744043
"15",7.56302521,190.4929577
"16",99.94986751,3233.729992
"17",81.07501228,1722.833879
"18",40.31007752,433.1476323
"19",25.60830861,967.6655301
"21",79.61899791,870.7505828
"22",65.84408301,1815.275591
"23",91.00609756,845.3138815
"24",63.80366899,814.5922808
"25",60.86956522,373.286052
"26",68.60118061,2877.468531
"27",6.724023825,220.1535524
"28",49.55974843,1255.917233
"30",17.71051989,641.3211653
"31",96.70466424,986.1600476
"32",8.910891089,187.3320537
"33",29.5468463,1498.204082
"34",10.22387668,666.502814
"35",33.00630694,320.6931313
"36",78.71937382,3506.376444
"37",60.49580168,237.9398386
"38",31.20300752,522.715736
"39",47.35553379,779.8051948
"40",36.48468708,259.1930116
"41",23.7221805,1111.34692
"42",72.64658419,2325.754717
"43",30.43176294,477.1378402
"44",40.34334764,736.223176
"45",40.271989,1180.506509
"46",68.09815951,1338.119598
"47",10.8045977,349.7747748
"49",16.45330535,197.093465
"50",98.7425546,476.4680081
"51",17.15816574,609.1521986
"52",53.83116883,705.8593112
"53",35.90844063,1265.680473
"55",97.3943662,2064.280274
"57",21.4936408,569.0666558
"58",6.230529595,71.30044843
"59",96.75648703,1215.518808
"60",72.48142645,1281.663033
"61",48.35924007,969.3913043
"62",11.60391955,414.8669011
"63",35.21671827,1108.175
"64",93.14442929,2441.070004
"65",29.56331524,940.0548274
"66",46.47921612,1122.391602
"68",61.23502304,666.0160721
"69",11.14393566,431.8581623
"70",17.43805517,718.8720174
"71",17.9138322,329.0743155
"72",20,457.7163664
"73",48.95833333,353.993808
"74",86.93919319,3310.542872
"75",19.01408451,136.7781155
"76",61.48630531,2508.087441
"77",50.66606263,1032.765989
"78",16.78711879,320.4970438
"79",10.95190415,249.087129
"80",38.57002296,448.8481229
"81",29.09900471,482.5272817
"82",61.08894971,1265.656169
"83",25.94936709,310.132474
"84",57.9184561,1398.224685
"85",26.16902617,431.9947334
"86",51.08357124,1134.660993
"87",35.65176407,493.250825
"89",14.23935091,264.696814
"90",29.90368804,588.8888889
"92",96.24305782,2943.683409
"93",39.07493369,875.3715817
"94",94.43016281,1997.002342
"95",23.38470658,647.7681546
"96",9.951612903,251.8636508
"97",NA,NA
"98",97.2419557,3154.725504
"99",93.69747899,1420.811287
"100",49.06757084,700.3878688
"101",51.21985418,869.5962823
"102",64.04720998,717.4573632
"103",48.14814815,451.0989011
"104",3.635938505,135.9715755
"105",31.25,713.1264916
"107",3.361870954,127.1386431
"108",7.57020757,124.9018068
"109",78.80968429,869.6985032
"110",85.74077508,2675.620546
"111",NA,NA
"113",NA,NA
"114",16.39722092,340.0721491
"115",47.9776848,1190.424534
"116",56.87301923,2193.448615
"117",54.74642393,624.2374949
"119",65.53924697,1699.554664
"120",72.60744131,1483.946824
"121",12.20546654,102.5391919
"122",39.99094203,433.7717856
"123",5.721958273,228.4687788
"124",18.04928825,796.7058058
"127",82.6006192,857.6472846
"128",7.417131605,151.2358049
"129",31.53699994,1188.872222
"131",37.99086758,268.4143548
"132",35.82363748,309.1743918
"133",99.82973893,726.4949541
"134",47.38201689,385.7985148
"135",52.48948633,921.0279502
"136",97.36062808,3001.313219
"137",48.53433836,1126.521848
"138",13.97058824,149.8881432
"139",82.07828388,3068.551074
"140",81.51069935,2454.513451
"141",46.34245187,798.6908526
"146",NA,NA
"147",38.75,677.8947368
"148",11.37661142,203.0881485
"149",9.318529862,256.1967083
"150",NA,NA
"152",19.28866094,1098.062916
"153",66.79413639,800.3925767
"154",92.3744174,2768.779948
"155",79.42835653,1825.048356
"157",18.41296121,886.9472513
"158",75.62212322,1675.268887
"159",72.83592225,1704.010465
"160",NA,NA
"161",44.18014,742.8515998
"162",43.20226864,935.2690835
"163",NA,NA
"164",15.69767442,272.7440147
"165",83.91837726,1103.671019
"166",87.58459743,1452.355706
"167",26.70908553,531.5533169
"168",25.00497711,519.2879038
"169",45.00638718,621.3951284
"170",64.99577409,1868.444154
"172",26.98711907,928.5420945
"174",10.48839071,248.4558824
"175",12.84639881,371.2280078
"176",52.06202837,1004.69701
"179",35.29226241,787.2335923
"180",85.4879611,3141.442295
"181",14.23066336,204.0624436
"182",62.97180554,1057.588639
"183",81.32952957,1434.863426
"184",50.73431242,631.7016317
"185",19.55964005,527.0263589
"187",27.61032969,310.1613633
"188",69.92881546,1629.387484
"189",12.02697342,385.8005367
"190",69.17115178,940.6858536
"191",59.11879532,952.2078477
"192",97.44997344,2939.742009
