"","randomForest_ful_included_vars_bootstrap","Freq"
"1","age_standardised_diabetes_prevalence_male",537
"2","all_causes_disability_adjusted_life_years_who_2015",2
"3","death_rates_from_all_air_pollution_per_100_000",52
"4","gdp_per_capita",436
"5","gini_index",286
"6","hospital_beds_per_1_000_population_oecd",684
"7","hospitals_per_million_population_oecd",171
"8","income_classification_world_bank_2017",863
"9","income_support",601
"10","life_expectancy",704
"11","life_satisfaction_in_cantril_ladder_world_happiness_report_2019",536
"12","nurses_per_1_000_population_oecd",296
"13","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure",986
"14","physicians_per_1_000_population_oecd",336
"15","population_with_access_to_improved_sanitation_y",110
"16","prevalence_of_obesity_both_sexes_who_2019",1000
"17","share_of_population_covered_by_health_insurance_ilo_2014",1
