"","randomForest_imp_included_vars_bootstrap","Freq"
"1","age_standardised_diabetes_prevalence_female",769
"2","all_causes_disability_adjusted_life_years_who_2015",788
"3","current_health_expenditure_per_capita_ppp_current_international",10
"4","death_rates_from_all_air_pollution_per_100_000",30
"5","gdp_per_capita",466
"6","gini_index",140
"7","healthy_diet_cost_percent_cannot_afford",211
"8","hospital_beds_per_1_000_population_oecd",335
"9","hospitals_per_million_population_oecd",120
"10","income_classification_world_bank_2017",233
"11","income_support",1000
"12","life_expectancy",208
"13","national_poverty_lines_jolliffe_and_prydz_2016",30
"14","nurses_per_1_000_population_oecd",162
"15","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure",309
"16","physicians_per_1_000_population_oecd",615
"17","population_with_access_to_improved_sanitation_y",34
"18","prevalence_of_obesity_both_sexes_who_2019",1000
"19","stringency_index",26
