"stringency_index","income_support","containment_index"
52.31,"0",42.8
37.96,"1",43.21
50.46,"1",57.56
46.3,"2",59.52
56.94,"0",51.61
55.8509140077004,"1",60.5818164425084
75.93,"1",74.17
56.2746091236545,"1",60.893457808113
71.76,"0",74.17
56.02,"2",68.15
61.11,"0",64.29
57.41,"1",71.43
53.7,"2",66.43
35.19,"0",39.76
50,"1",57.5
43.52,"0",46.9
47.22,"2",61.9
66.67,"1",71.55
38.89,"1",45.6
56.48,"1",62.26
35.19,"1",40
53.7,"0",57.62
60.65,"1",56.61
79.63,"0",82.14
62.96,"2",57.14
13.89,"0",28.69
15.74,"1",14.29
30.56,"0",39.29
60.65,"1",62.5
59.26,"1",57.26
24.07,"0",28.45
25,"0",32.98
59.72,"1",69.7
79.17,"1",75.89
41.67,"1",53.57
55.5092188738241,"1",60.4161371081409
51.85,"0",54.17
54.63,"0",61.67
20.37,"1",35.71
33.8,"1",45.89
65.28,"0",71.13
40.74,"2",57.74
37.96,"0",33.57
38.89,"2",56.55
54.63,"1",48.93
63.89,"1",73.21
60.19,"1",67.38
43.52,"1",44.17
32.41,"1",43.21
57.2804941506989,"1",61.7230215377045
23.15,"0",34.52
43.52,"0",52.14
86.11,"1",80.36
38.43,"2",50.3
60.65,"2",68.45
67.59,"0",63.57
24.07,"0",42.26
64.81,"1",66.55
59.26,"2",67.86
42.59,"0",43.57
48.61,"2",58.99
52.78,"0",57.5
62.04,"0",67.62
56.2806279206343,"1",60.9113551172823
60.19,"1",68.81
53.7,"1",63.21
76.85,"1",72.38
27.78,"0",44.05
41.67,"2",51.79
70.83,"0",72.68
68.98,"1",72.44
74.54,"1",67.08
75.93,"1",69.35
48.15,"2",62.5
52.78,"2",61.31
75.46,"1",81.55
66.67,"0",75.36
50.46,"2",50.65
51.85,"1",53.33
57.41,"0",51.79
62.96,"1",64.76
49.07,"1",58.33
57.41,"1",58.33
41.67,"0",45.83
65.74,"0",68.81
60.19,"0",60
46.3,"1",59.29
72.22,"0",63.21
44.44,"0",52.5
29.63,"2",48.81
37.96,"1",51.79
53.7,"0",51.79
42.59,"1",56.55
80.56,"1",80.71
56.5012795675622,"1",61.0924105624049
8.33,"0",30.71
75,"2",80.12
36.11,"0",43.57
51.85,"2",61.07
67.13,"0",64.88
33.33,"1",48.93
37.04,"2",53.57
55.1852191873718,"1",60.182495925943
66.67,"1",64.17
53.7,"0",57.26
66.2,"1",66.13
44.44,"0",57.26
68.52,"1",69.52
41.67,"2",51.79
22.22,"1",35.48
2.78,"0",21.55
19.44,"0",33.1
43.52,"0",39.52
38.89,"2",51.49
50,"0",47.38
66.67,"1",68.45
70.37,"1",74.76
49.07,"0",54.17
49.07,"1",57.86
67.59,"1",69.4
63.43,"0",68.27
38.89,"2",46.43
58.33,"1",64.05
50,"2",64.05
38.43,"2",52.08
30.09,"1",43.75
54.63,"1",60
38.89,"1",45.83
56.6699344337253,"1",61.4302688648761
53.7,"2",63.69
19.44,"0",39.64
36.11,"2",55.36
43.98,"0",54.23
47.22,"2",66.07
43.98,"2",49.7
29.63,"1",44.4
35.19,"0",45.36
51.85,"1",61.07
50.93,"1",64.29
25,"1",36.07
47.69,"2",54.46
81.48,"0",83.93
19.44,"0",28.93
81.48,"1",80.71
37.04,"2",40.48
40.74,"2",53.57
25.93,"0",29.05
35.19,"0",39.29
16.67,"1",23.93
72.22,"1",69.05
42.59,"1",50.71
74.07,"1",69.17
71.3,"1",69.76
50,"2",62.62
78.7,"1",72.14
50.93,"1",54.52
65.28,"0",71.13
43.98,"2",51.79
61.57,"1",67.86
55.56,"1",63.1
63.89,"1",59.29
86.11,"1",78.21
79.17,"0",78.39
37.96,"0",41.79
50.93,"0",50.95
73.15,"0",69.05
35.19,"1",52.38
