"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
157.954600237171,"1",40.2373865664116,1934.555,1298.14123089636,2.65902597134452,66.2,39.7,28.6,31.7,146.549480656266,17.9164126043298,-0.000336790631596735
225.27,"3",33.17109,11104.1665,4.0223,3.8,1.4,32,44.9,23,225.28,16.9208314478086,-0.00143696585719053
247.73,"3",27.61573,14228.025,90.2063792764784,10.763639244974,1.5,46,32.7,21.3,618.518530837157,11.9642818392555,-0.00187884081735906
858.042801597724,"4",37.3096284704227,40217.3874957955,119.53674151053,11.8171802756466,10.9607696216138,31.2437538220837,33.4547154440676,35.2921900318812,829.9293684065,13.5630561587615,-0.000560098031833056
120.76,"2",51.27211,7771.4418,1392.07642,2.17,37.9325788025117,23.0545605356153,36.1603745774554,40.7894379763821,120.74,19.937343578394,-8.19920095161818e-05
716.205788015181,"4",34.8624055027961,24679.8686649041,186.362607677119,10.5436695247415,3.47640323066178,25.572891767901,58.8404227431611,15.5845562413218,677.976030537915,13.6714544201696,-0.00170968358942184
958.338078502384,"3",34.4946914182707,18556.3831,256.282925,16.6837033245886,2.9,41.9,12.9,45.2,982.35628803134,11.8512345673467,-0.000562485186958283
211.11,"2",29.87821,11454.4251,11.611964,3.87,0.3,25.8,64.8,9.4,192.27,16.2841225103892,-0.00152295976355913
1765.88,"4",34.39943,49830.7993,56.1857910081373,28.14,4.18790772155067,15.9353198452546,66.5235734990166,17.5343594641302,1655.85,13.939,-0.000634599170391346
1681.71,"4",30.84879,42988.0709,31.1876636019772,27.02,1.98706541056302,40.5844699240418,35.550787871623,23.8647387246552,1634.26,8.778,-0.00147073947232522
315.14001,"3",26.55491,16628.0553,8.492601,5.19,5.3,24.4,49.4,26.2,312.41,10.8026849218388,-0.00107541338475298
1056.9611861686,"4",37.2680988886463,46075.5824019446,120.691843018118,15.5100645262043,7.02457818986883,30.6203389733746,32.580401164091,36.7960346001503,1002.5880613629,13.2398632897206,-0.000717355852311535
801.852853555479,"4",30.0684858033525,39498.7672,10.3000465156171,12.0121908452535,2.59963834273595,13.6884002223536,75.5584174061822,10.7607697553625,726.559907832392,11.0882254841703,-0.00179438787950194
117.31,"2",32.38527,4099.253,2016.32351,2.39866383488427,41.3,21.1,32.5,46.4,109.03,19.6559985585601,-7.60929905090149e-05
804.434932632164,"4",38.4686937020955,11995.1868,548.423293792483,12.0267999933495,0.9,0,97.4,2.6,834.809609052433,16.4291221295606,-0.000688632170319084
571.14001,"3",25.27785,18727.3176,0,7.59,0,16.6,61.8,21.7,646.27,10.5905940678254,-0.00182500001529163
1490.91,"4",27.21441,39756.2031,47.1196846493034,26.85,4.18212902600044,41.2724454670259,22.4122674335082,36.3152854386897,1457.53,8.078,-0.0012465262751405
268.57999,"3",53.26277,18646.6636795038,13.157082,6.97424151026485,4.6,41,31.2,27.8,264.03,15.1604048597085,-0.000704031952152073
82.610001,"1",47.75591,2220.1766,1233.853008,1.44,62.2,41.7,13.4,45,82.42,22.7392562182861,-1.5417138281079e-05
406.41,"2",41.64937,6695.7746,274.0712,7.63,20.5,19.8,27.5,52.6,416.29,18.8879078015275,-0.000555180039262463
585.77002,"3",33.03019,10460.5201,0.529834,9.79,0.5,26.7,55.8,17.5,605.42,11.9751897776834,-0.00340410334564959
232.69,"3",53.32503,15842.1301,57.903089,1.97,16.4260107570327,24.0531603522191,40.0771928488422,35.8612499456142,290.39,18.5783520918441,-0.000140486548058577
