"income_support","containment_index"
"0",20.24
"1",61.31
"0",66.67
"2",60.12
"0",56.55
"2",61.5377096745626
"1",74.7
"2",48.4620257484519
"1",60.71
"2",67.26
"2",61.01
"1",68.15
"2",63.1
"0",66.96
"1",39.29
"0",38.69
"2",57.14
"1",62.5
"2",45.24
"1",68.45
"0",43.45
"0",60.12
"1",58.63
"0",42.86
"2",40.18
"0",32.14
"1",17.26
"0",45.24
"2",59.52
"1",68.75
"1",30.36
"0",64.29
"2",75.3
"1",77.98
"1",58.33
"1",54.1955270064825
"0",38.1
"1",51.79
"1",36.9
"1",47.02
"0",56.55
"2",65.48
"0",24.7
"2",42.26
"1",43.45
"1",64.29
"1",52.38
"1",66.07
"1",54.76
"2",56.8521780993492
"0",35.12
"0",55.36
"1",54.17
"2",41.07
"2",53.57
"2",70.83
"1",53.57
"1",55.95
"2",61.61
"0",50
"2",66.07
"1",45.54
"0",43.15
"1",52.57857222833
"0",70.83
"1",41.67
"1",68.45
"0",41.67
"2",52.98
"0",61.31
"1",46.73
"0",57.14
"1",51.19
"2",75
"1",53.57
"1",73.51
"1",70.24
"2",39.88
"1",70.83
"0",58.63
"0",45.83
"1",64.29
"0",52.68
"0",48.21
"0",52.98
"0",43.45
"0",48.21
"0",64.58
"0",50.6
"1",53.57
"2",52.98
"1",36.9
"1",50
"1",68.45
"2",58.7024271113143
"1",39.29
"2",57.74
"0",28.57
"2",29.17
"1",60.71
"1",53.57
"2",63.1
"2",56.3023160793743
"1",64.29
"0",55.36
"1",71.73
"0",43.45
"1",54.17
"2",57.74
"2",30.36
"0",12.5
"0",21.13
"0",54.76
"2",42.56
"0",50
"1",57.44
"1",61.31
"0",43.15
"1",58.93
"1",69.64
"1",65.18
"2",64.29
"1",65.48
"2",61.9
"2",55.65
"1",52.68
"1",65.48
"1",42.26
"2",62.5060434077683
"2",58.93
"1",36.9
"2",49.4
"0",39.88
"2",52.98
"2",75.6
"2",66.67
"0",35.71
"1",57.74
"1",52.68
"0",38.1
"2",63.69
"0",47.02
"1",28.57
"1",57.14
"2",51.19
"2",44.94
"0",33.04
"1",38.69
"0",16.37
"2",49.11
"1",49.4
"0",61.31
"1",60.71
"2",68.75
"0",57.14
"1",63.39
"0",54.76
"2",67.86
"2",61.9
"2",47.02
"1",41.07
"0",69.05
"1",54.17
"0",13.1
"0",44.05
"1",57.14
"2",71.43
