"all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
68970,17.6410125364622,5.12225249340067,2.11716788992514,144.16689
29903,23.6,5.57114259926605,5.99989372236881,440.42001
34790,85.2,4.78264301384448,3.49119291124258,289.74506
22191.0154115193,91.3596973353321,5.80165088669655,4.27516576683715,2164.9558
93709,0,6.5499975765009,2.32259502540722,65.277954
32510.9004884847,51.1,4.79263674566162,2.70893895463776,268.01904
26808,96.8,5.11026694033964,4.53952838011248,245.00212
35083,100,5.67144133001473,4.40379721951295,720.97192
17696,100,4.49,3.84,838.4942
19763,99.3,5.04715545153068,7.37,920.96967
33879,2.9,5.21330044759409,5.73785758567341,936.67621
30459,100,5.42233517235209,5.97435324622536,471.66946
25533,100,4.97698107026867,4.71213169457658,615.72601
38814,1.4,5.36753456778525,4.54792738527784,63.223766
26768,100,5.88600548545313,4.82487213105924,557.15704
33783,100,5.41313164242353,4.57578110204241,374.66376
19878,99,5.84,5.64,840.12659
31420,25,5.22478330943391,3.35675767115841,118.64302
65706,9,5.23040594275318,2.27340879782094,34.203602
44087,42.7,4.79613923345514,2.59390588830239,115.56576
24000,59.2,4.60648039997299,5.94431262376754,315.49902
61513,56.9743462241224,5.49545140234581,2.28376131075777,51.02795
31632,100,4.83425601684142,2.3,393.65927
22941,100,5.12813470430862,6.0439857070327,125.25507
28771,87,5.41981691629267,6.20598785395993,711.14771
70891,1,0,0,34.698746
80027,28.4,0,1.78430631302812,12.152169
77369,2,0,0,113.57147
18838,100,2.93,2.5,670.91956
31195,58.0803710483354,5.61754198574504,3.25686088905197,71.923409
97115,6,0,0,12.615376
94563,6.74924478035625,0,2.31999900240043,56.241741
21333,93.1,2.62,2.11,613.57904
24811,96.9,5.24580158723452,4.34,246.86253
27188,87.7,4.13956596428828,1.71,156.01645
59673,34.3381251114394,4.05032206324918,2.6880863546857,90.556938
70611,19.9442675446726,2.61999937120015,1.72395138593411,88.853043
23017,100,4.45038095897365,1.13,276.40625
88856,1.2,2.6199989782004,1.77505844888766,68.291847
24063,97,4.448972824299,3.72960848981872,251.05083
25180,100,5.23897766129947,4.44596391329306,455.675425008669
15789,65,5.54367151372313,6.37132348812154,937.77203
92831,10,5.27999730720137,1.49210845363619,12.715207
20451,100,6.22,2.5,697.55823
64677,30,0,3.8615412718799,29.903355
29597,26.5,3.95913560208972,2.05549963434273,381.37183
29357,22.8,4.36312510594038,2.74404036388352,428.47943
35784,51.1,5.21175264383873,4.50684121258073,306.79916
36007,21.6,4.59753767747459,2.92286166951512,161.16724
82201,47.3373310122796,4.557831820742,2.14356799728721,568.37732
26242,92.9,5.15,4.69,429.6655
54964,12.0020840033866,0,1.44999979239686,24.804361
39681,100,5.75571479260424,2.97870410982914,70.953873
19843,100,3.84,3.28,794.92712
19104,99.9,4.81697131300098,5.98,308.73276
58498,57.6,5.53965961924005,2.34267667004425,124.56293
62697,99.9,4.22304606502092,2.61605748564772,23.163185
29323,25,5.25374202531889,3.88305558972313,411.42606
19224,100,6.1,8,671.1239
58375,73.9,5.21419647515034,3.0848129280047,90.020622
19627,100,6.07,4.21,781.69025
37079,30,5.10362659307334,2.50038107535107,247.54504
72518,0.2,0,0,31.166372
83441,1.6,0,0,37.274281
55470,23.8,5.16771340794125,1.62653439215635,136.16254
61717,3.1,0,0,43.579815
33106,12,5.82438732500448,2.92373483245781,173.59322
28707,100,5.68,7.02,555.2157
17257,100,7.74,2.91,700.42822
47950,12.5,5.6383713491079,0.53,154.66501
36015,59,4.31661230617569,1.04,189.93916
30911,90,5.35369205296089,6.18324238176359,500.40799
38798,70.5205816562776,4.74232436109608,4.93749841844409,367.85107
19319,100,4.82,2.96,809.01556
17719,100,4.37,2.99,686.99359
16957,100,6.55,3.18,765.02649
32646,20.1,5.29923986020582,4.77814270699474,121.21803
15700,100,5.28414012081844,13.05,576.96307
30626,75,4.7616199362912,5.21337288724579,142.87909
42084,70,5.02293765529051,4.35313798421914,350.55191
62578,39.4,6.5499973145011,1.38125494777981,52.449409
22687,100,4.90829317427835,5.53118039602744,428.12521
39969,83,4.91918355969053,3.18060604347874,138.24355
29932,70,6.18,5.57,594.9317
20828,48.3,4.80298225133227,4.6223387640818,358.2995
99421,17.6,5.50894485672415,3.70870475263909,42.327137
62373,40.5614071450074,4.56370382400449,1.89409336843441,25.088203
28906,79.8074662738689,5.00181215764643,5.2551655981769,230.01372
29282.7024097093,95,5.54379736992882,5.8914451520906,453.450421238714
30215,95,5.28,6.56,601.2337
18648,97.6,4.19,4.51,679.28198
54971,3.7,0,1.71222187597291,16.622654
70678,8.79409104375418,0,0.529999777400093,11.881274
29765,100,4.65105682948274,4.79588214396457,370.69351
25036,30,5.08729672850387,3.52796583552206,247.58975
75910,1.9,0,0.810140702668226,54.852081
19507,100,4.93322768382118,4.54426980653761,1287.7975
58285,6,5.03740658897985,2.44382141750948,85.419205
30076,100,4.8517353306362,3.92741152507068,556.64081
26763,85.6,3.83625876304259,1.38,417.28952
35472,75.7,5.20377099398123,6.09758122722713,238.01622
26704.9144672523,85.716854750161,4.84992111771202,4.07093541833637,206.57016
26702,95,5.50251365781417,3.65319461398423,304.52347
38061,42.3,5.2533837755031,5.01504891917156,231.06967
88491,5.44254882605191,0,0,4.3641877
48793,39.4754758323879,5.37992226381149,1.79444071398236,197.51004
48404,28,4.7682575346832,3.59102991809012,78.47451
43324,0.1,5.17337621025909,1.9158917866177,90.96965
18770,98.9,4.54,3.32,650.96637
18742,100,3.5,2.61,422.60583
33239,12.2,4.71675539536647,3.42741834930094,146.10959
70093,3.1,0,0,35.789703
84764,2.2,6.17999802240063,2.19499943613619,155.4747
19615,100,6.46,3.6,887.98853
27260,97,4.46924724083456,3.30423933885887,104.14493
50534,26.6,3.88203208680607,1.64380903032508,89.383614
27476,51.8,5.31016729857389,5.45359818190399,470.90369
59322,8.27123634827306,0,0.529999835700051,5.6810246
30862,23.6,4.12935927782935,2.27867602412707,264.27051
26911,64.4,5.16018317714718,3.45718106490943,207.45259
41446,82,3.80033578447227,2.0203439960425,172.83017
25415,97.5,3.85,6.62,396.16248
19815,100,4.97,3.39,735.89484
22923,100,5.00948793972444,3.85949058552174,242.92445
28496,94.3,5.59732214227576,4.9318289771008,232.00484
39906,88,5.77497309003758,8.05,515.22107
54160,91,4.47921170766451,2.55317750610052,37.179249
26386.1160216645,87.939526106421,4.81072394887546,4.72064187337856,673.5119
51815.7642152671,2.1,5.90560335551985,3.25641610887097,35.996059
27174,83.5803772405932,4.98611909722073,5.00846413216083,467.57504
53970,20.1,6.17999814600056,2.0076511142155,42.894653
28151,92.1,5.0267819546613,4.44201866902379,537.25604
117683,0,0,1.03999969840009,98.019753
14354,100,5.00639639284656,6.01242517744959,1161.4761
25991,94.8,4.82710743328842,5.82,380.29736
21200,100,4.9285919126937,4.5,342.3797
89247,45.7218547709161,4.61398796610832,2.45723620078464,247.845395499483
67514,100,5.54387249905323,2.32,83.637741
17921,100,5.35348102220675,5.75587220745262,940.44543
80319,5.0723272359198,0,0,43.657784
16984,99.2,5.45,2.97,771.09918
28527,100,4.90791170214044,3.39917093033669,135.6982
59210,29.7,4.79200795251539,2.00152617072513,175.13531
29901,59.8521115786709,4.41048053347108,2.43005057597415,103.195
18308,100,6.64,2.22,804.94183
17679,100,5.56744938087513,4.53,2149.3345
43178,90,4.28202455407865,3.09852614026258,85.753609
42752,0.3,5.41602941608233,2.49789384562808,121.52
63043,13,0,0.999402819501921,25.233082
28993,98,4.36743796480129,5.16863310346404,75.361549
71808,4,5.39911341557717,3.40644951738816,48.73756
38360,72.858494335868,4.8191463875027,4.68940283030445,822.86584
26814,80,5.30850436734472,4.01631227401657,307.94397
29027,86,4.56600340994808,2.81,168.79961
74116,2,0,0.529999788000085,56.105515
35121,100,5.61126999390194,4.3868538334605,224.43942
25546,100,5.07055860059145,5.58288720440586,431.54056
20376,100,3.67,2.54,613.17255
22775,84,3.46,2.77,1056.9528
24820,97.2,5.03990626379145,5.83942289091234,282.98938
40253,100,5.78907998828604,5.01715730790984,163.58907
29410,100,4.69774679828188,2.97865745135058,265.49927
29226,61,5.18916919303158,3.60929202861222,145.36028
55241,42,4.76658566866589,4.69603606764612,116.98312
76189,8.4,0,2.31999897920045,55.894348
72784,1,0,0,47.00177
22380,100,4.14,6.63,366.23938
