"","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
"1",NA,1,NA,1934.555,NA,NA,66.2,NA,NA,NA
"2",225.27,3,33.17109,11104.1665,4.0223,3.8,1.4,225.28,NA,NA
"3",247.73,3,27.61573,14228.025,NA,NA,1.5,NA,NA,NA
"4",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"5",120.76,2,51.27211,7771.4418,1392.07642,2.17,NA,120.74,NA,NA
"6",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"7",NA,3,NA,18556.3831,256.282925,NA,2.9,NA,NA,NA
"8",211.11,2,29.87821,11454.4251,11.611964,3.87,0.3,192.27,NA,NA
"9",1765.88,4,34.39943,49830.7993,NA,28.14,NA,1655.85,13.939,NA
"10",1681.71,4,30.84879,42988.0709,NA,27.02,NA,1634.26,8.778,-0.00147073947232522
"11",315.14001,3,26.55491,16628.0553,8.492601,5.19,5.3,312.41,NA,NA
"12",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
"13",NA,4,NA,39498.7672,NA,NA,NA,NA,NA,NA
"14",117.31,2,32.38527,4099.253,2016.32351,NA,41.3,109.03,NA,NA
"15",NA,4,NA,11995.1868,NA,NA,0.9,NA,NA,NA
"16",571.14001,3,25.27785,18727.3176,0,7.59,0,646.27,NA,NA
"17",1490.91,4,27.21441,39756.2031,NA,26.85,NA,1457.53,8.078,-0.0012465262751405
"18",268.57999,3,53.26277,NA,13.157082,NA,4.6,264.03,NA,NA
"19",82.610001,1,47.75591,2220.1766,1233.853008,1.44,62.2,82.42,NA,NA
"20",406.41,2,41.64937,6695.7746,274.0712,7.63,20.5,416.29,NA,NA
"21",585.77002,3,33.03019,10460.5201,0.529834,9.79,0.5,605.42,NA,NA
"22",232.69,3,53.32503,15842.1301,57.903089,1.97,NA,290.39,NA,NA
"23",602.28998,3,53.42883,14033.5656,3923.824387,3.05,5.3,563.57,19.038,NA
"24",NA,4,NA,NA,NA,NA,NA,NA,NA,NA
