"","indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","death_rates_from_all_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
"1",2024,6948,1635,5156,25376,78.01518738,3764.205122,7182,18203,5793,14841
"2",336,13,507,10,2860,98.72281671,2036.762168,57,597,75,830
"3",34,2,4121,180,32100,80.92368972,2230.249326,13,62,1368,7305
"4",0,0,15,0,8797.88,96.0004349039,1945.74098474,0,0,0,12
"5",712,2399,718,1962,18239,72.89185517,4349.176724,1146,3645,1037,3610
"6",0,0,6,0,60,65.2173913,1451.086957,0,0,1,12
"7",540,7,6776,68,16568,38.16016943,799.6775825,69,587,882,8080
"8",238,11,813,26,4168,138.1047051,2949.337309,36,364,113,1197
"9",33,0,1790,1,11697,48.80053199,853.2938023,2,25,105,1202
"10",44,0,1872,1,11293,132.1591419,2226.892659,1,41,76,1505
"11",390,150,1562,424,12462,127.762969,3401.322534,216,1094,748,4152
"12",3,0,24,1,207,53.35051546,1454.381443,0,6,12,59
"13",1,0,52,4,893,64.85112564,1909.949165,0,6,58,194
"14",23742,7190,26503,7213,175170,108.8039407,3162.141158,16625,59314,17334,64439
"15",0,0,44,1,357,125.7042254,2467.253521,0,0,6,52
"16",76,0,3180,4,13963,147.0408593,3235.225358,16,153,529,5943
"17",31,0,2883,2,14251,126.1262059,2126.612975,1,23,109,2235
"18",7,2,17,3,129,35.93314763,1092.479109,5,17,9,47
"19",655,1735,526,1390,10110,92.92280266,4222.178697,1098,3568,909,2911
"21",800,272,1410,368,3832,35.72960373,1093.519814,204,875,346,1626
"22",659,1,1136,2,5349,140.3937008,2760.839895,88,1314,139,2153
"23",69,11,99,13,656,29.00088417,925.9062776,89,279,115,400
"24",2417,174,15849,453,102317,49.22683198,1280.895476,877,4539,5155,31286
