"","entity","total_confirmed_deaths_due_to_covid_19_per_million_people","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"1","Afghanistan",39.277,NA,68970,NA,183.9278576,32.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.46,144.16689,1.6701e+11
"2","Albania",169.226,NA,29903,23.6,773.6782919,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83,440.42001,2.01e+09
"3","Algeria",44.035,NA,34790,85.2,1031.16964,63.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.34,289.74506,3e+08
"4","Andorra",931.858,NA,NA,NA,5948.635486,94.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.33,2164.9558,NA
"5","Angola",8.215,NA,93709,0,195.5144172,40.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.34,65.277954,4.999e+10
"6","Antigua and Barbuda",30.635,NA,NA,51.1,1105.111025,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.83,268.01904,2.6e+08
"7","Argentina",657.805,NA,26808,96.8,1389.840341,68.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.48,245.00212,8.1e+08
"8","Armenia",419.474,NA,35083,100,883.2206519,67.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.38,720.97192,5.41e+09
"9","Australia",35.49,NA,17696,100,4491.629858,89.8,0.72,0.56,2.55,NA,0.69,22.45,38.77,55.89,NA,103.67,4.71,15.25,4.49,0.42,0.17,28.73,0.65,3.84,10.99,838.4942,NA
"10","Austria",111.698,1.920911789,19763,99.3,5138.184731,88.2,1.01,1.22,5.14,5.45,NA,9.66,13.19,30.8,0.66,27.58,4.43,NA,NA,0.61,0.19,16.71,1.03,7.37,10.6,920.96967,NA
"11","Azerbaijan",67.856,NA,33879,2.9,1191.289459,64.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63,936.67621,5.29e+09
"12","Bahamas",335.666,NA,30459,100,1699.052483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.98,471.66946,NA
"13","Bahrain",185.709,NA,25533,100,2453.155914,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.41,615.72601,NA
"14","Bangladesh",35.449,NA,38814,1.4,88.03535581,51.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.85,63.223766,2.2242e+11
"15","Barbados",24.359,NA,26768,100,1233.55044,66.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.7,557.15704,1e+07
"16","Belarus",102.124,NA,33783,100,1084.619757,74.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.51,374.66376,1.24e+09
"17","Belgium",942.309,2.134913683,19878,99,4782.361046,87.9,NA,4.18,1.46,4.98,1.06,NA,10,15.27,0.1,103.74,11.76,18.47,5.84,1.36,0.17,3.51,0.6,5.64,10.8,840.12659,NA
"18","Belize",128.263,NA,31420,25,523.7288925,58.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.79,118.64302,3.19e+09
"19","Benin",3.382,NA,65706,9,84.46045434,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.48,34.203602,4.702e+10
"20","Bolivia",742.909,NA,44087,42.7,445.8226242,59.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.24,115.56576,2.114e+10
"21","Bosnia and Herzegovina",336.502,NA,24000,59.2,1101.792914,78.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25,315.49902,5.03e+09
"22","Botswana",8.93,NA,61513,NA,969.9563729,51.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63,51.02795,3.52e+09
