"","total_confirmed_deaths_due_to_covid_19_per_million_people","cost_of_calorie_sufficient_diet_2017_usd_per_day","cost_of_nutrient_adequate_diet_2017_usd_per_day","cost_of_healthy_diet_2017_usd_per_day","calorie_sufficient_diet_cost_percent_of_1_20_poverty_line","nutrient_adequate_diet_cost_percent_of_1_20_poverty_line","healthy_diet_cost_percent_of_1_20_poverty_line","calorie_sufficient_diet_cost_percent_of_average_food_expenditure","nutrient_adequate_diet_cost_percent_of_average_food_expenditure","healthy_diet_cost_percent_of_average_food_expenditure","calorie_sufficient_diet_cost_percent_cannot_afford","nutrient_adequate_diet_cost_percent_cannot_afford","healthy_diet_cost_percent_cannot_afford","calorie_sufficient_diet_cost_number_cannot_afford","nutrient_adequate_diet_cost_number_cannot_afford","healthy_diet_cost_number_cannot_afford","population_with_access_to_improved_sanitation_y","population_without_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","crude_diabetes_prevalence_male","crude_diabetes_prevalence_female","ratio_of_diabetes_to_obesity_prevalence","ratio_of_diabetes_to_overweight_prevalence","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","deaths_unsafe_sanitation_sex_both_age_70_number","deaths_unsafe_water_source_sex_both_age_70_number","deaths_no_access_to_handwashing_facility_sex_both_age_70_r_ate","deaths_unsafe_sanitation_sex_both_age_70_rate","deaths_unsafe_water_source_sex_both_age_70_rate","male_lung_cancer_deaths_per_100_000_who_iarc_2016","dementia_ihme_2017","cardiovascular_diseases_ihme_2017","stroke_ihme_2017","kidney_disease_ihme_2017","respiratory_disease_ihme_2017","liver_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","digestive_disease_ihme_2017","hepatitis_ihme_2017","meningitis_ihme_2017","cancers_ihme_2017","parkinsons_disease_ihme_2017","prevalence_of_obesity_both_sexes_who_2019","prevalence_of_obesity_male_who_2019","prevalence_of_obesity_female_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean","income_classification_world_bank_2017","gini_index","gini_coefficient_world_bank_2016","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","median_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","stringency_index","income_support","debt_relief","containment_index","standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","healthy_life_expectancy_ihme","life_expectancy_ihme","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un"
"1",39.277,0.99628346522,2.65040961706,3.84134638137,81.199408776,214.281351097,323.795148807,33.3773088312,90.9231272343,134.5820987939,13.259252515,45.44008788,71.3525342,2716116.437874,16393412.064401,32245836.56045,10761942,22974552,11.565728,12.2499833,8.8120829,8.8120829,2.05,0.46,21.46226904,39.57352779,54.68133576,4.669467218,8.609867408,11.89681782,11.3,60.61,830.19,245.88,74.52,103.76,32.19,201.65,37.47,2.18,17.89,159.11,3.3,5.5,3.2,7.6,2.375,146.53060014,1,42.5964588,45.2561,1934.555,1350.14137662,2.7518,66.2,39.7,28.6,31.7,144.4163,92.9137000000001,19.32147,52.31,0,0,42.8,1.75252194762,68970,29.443,183.9278576,32.5,0.8061,0.9724,3.6116,3.5604,1.1333,16.3484,28.6363,40.9342,0.9311,90.1811,4.3469,9.92470000000001,4.7298,0.8422,0.1236,15.0266,0.531099999999999,2.0353,49.49,57.95,8.46,144.16689,1.6701e+11,9.3,91.1,55.77,28.4,45.4,5616.784475,6.75217048728,64.833,59.8,22.68245614,24.23413457,35.5,87,71861,36983,39835428
"2",169.226,0.759638581,2.588742379,4.281675858,63.46186972,216.2692046,357.7005729,8.162351323,27.81615538,46.0068031,0,14.59719,42.00774,0,419443.9779,1207074.346,2684815,195888,7.6878707,7.081062,8.0693345,8.0693345,0.47,0.18,0.1504723,0.703497643,1.804095769,0.059673811,0.278990789,0.715462385,29.44,28.82,374.06,136.5,11.15,21.85,8.57,19.79,5.47,0.08,0.98,122.34,4.21,21.7,21.6,21.8,5.365,225.27,3,33.17109,28.96,11104.1665,4.0223,3.8,1.4,32,44.9,23,225.28,195.06,15.61991,37.96,1,1,43.21,1.70755704527,29903,23.6,773.6782919,78.2,0.6031,0.1649,4.0188,3.5726,1.193,8.5244,16.6999,26.2114,0.7354,57.472,1.2179,9.1883,5.2735,0.6552,0.1252,14.562,0.7057,4.2937,67.77,77.59,9.83,440.42001,2.01e+09,14.011,14,13.99,9.2,8.5,1089.713154,5.073224387,78.573,77.5,27.17447081,26.50751203,6.2,0,392,251,2872934
"3",44.035,0.772870191,2.324307773,4.01711778,64.56726742,194.1777588,335.598812,12.42962964,37.38051374,64.60500976,0.1079367,3.01498,25.60362,44674.13448,1247876.042,10597132.98,34927459,4944069,12.2647583,12.5937459,10.7245025,10.7245025,0.29,0.13,16.07761847,19.68895834,63.68725223,1.019307132,1.248262963,4.037716813,16.4,52.78,287.77,66.88,29.4,24.27,13.86,71.2,9.59,0.86,1.04,67.53,3.98,27.4,19.9,34.9,4.745,247.73,3,27.61573,35.33,14228.025,207.767558255,4.2574,1.5,46,32.7,21.3,331.1735,250.8409,18.29583,50.46,1,1,57.56,1.72942943932,34790,85.2,1031.16964,63.7,0.7074,0.344,3.6028,3.1663,1.1275,10.0197,19.9092,26.9229,0.7195,69.0761,1.3604,8.90830000000001,4.3647,0.4833,0.0825999999999999,13.6898,0.529799999999999,2.5762,66.07,77.41,11.34,289.74506,3e+08,18.9,24,24.11,15.1,33.7,1398.36594,7.19691267401,76.88,74.4,24.86538555,26.56116565,15.5,15,13121,9039,44616626
"4",931.858,0.66719328444,2.37124146608,3.04066869135,54.7010198958,200.995225533,250.968239912,9.36064799704,33.3754266818,40.6165099274,0.919350077390001,1.440068644,2.5403503079,119526.204878533,274951.163721723,349744.027285108,78014,0,8.0856197,5.8184757,8.2099398,8.2099398,0.31,0.13,0.026552733,0.016817825,0.024597875,0.339328944,0.214922313,0.314346969,32.8044,45.37,130.3,25.24,4.11,23.83,7.45,14.78,11.03,0.08,0.46,133.38,4.19,25.6,25.9,25.3,6.6885,1589.2457883,4,32.6030137,32.5204,63518.928101,169.65620334,23.1169,3.552,36.284,54.804,24.889,1488.038,1226.3742,11.58928,46.3,2,1,59.52,1.69819328557,19126.36,93.711,5948.635486,94.6,0.4338,0.5897,2.6527,3.0831,1.117,4.9527,14.7893,22.9764,0.3777,87.6659,4.2475,17.8945,5.2982,0.6782,0.2166,14.4128,0.7534,3.4624,71.2,82.52,11.33,2164.9558,6873600000,10.874,2.8,2.11,3.629,9.4,174.268463,7.99484618068,83.732,81.3510000000001,27.47839497,26.27166071,1.4,0,1,1,77354
"5",8.215,1.401920388,3.230905193,4.582558116,117.1194977,269.9168916,382.8369353,31.49182841,72.57695431,102.9396071,48.10549,81.65487,90.50985,14343492.73,24346826.82,26987093.89,14375401,13483904,8.5194139,7.825495,5.4878877,5.4878877,0.63,0.18,952.7827003,1205.661598,1839.901489,270.1794406,341.8880044,521.738645,7,50.43,353.12,118.6,13.32,49.81,41.6,58.81,45.36,3.27,14.06,133.57,2.07,8.2,4,12.1,3.795,120.76,2,51.27211,42.72,7771.4418,1392.07642,2.17,56.218,24.489,29.972,47.007,120.74,87.02,19.59688,56.94,0,0,51.61,1.78573141695,93709,0,195.5144172,40.7,0.788100000000001,1.1271,3.6605,3.9783,1.169,15.9009,29.7332,39.3749,1.0089,86.1907,4.6349,10.1927,4.9059,1.0749,0.1197,14.3833,0.522799999999999,2.0366,56.29,64.64,8.34,65.277954,4.999e+10,13.769,156.9,71.04,33.8,34.3,4544.832134,6.56232778491,61.147,51.7,22.43653817,24.37650146,48.7,68,46002,24251,33933611
"6",30.635,0.90943991838,2.78523620672,4.04088134983,76.3095163743,230.382172184,332.450053049,16.97559863545,54.94552776,78.1186045172001,1.30047613582,7.169513094,15.325731038,38209.4829594747,353661.20133968,915164.010726169,87487,8232,9.9233293,13.0083446,13.5797672,13.5797672,0.73,0.29,0.132457059,0.168376437,0.533396037,2.533395448,3.220395365,10.20182013,18.4977,30.35,225.66,61.17,27.82,11.31,13.74,100.36,11.03,0.19,1.38,130.33,2.81,18.9,11.6,25.9,5.88898,403.83559681,4,43.5713317,41.4115,18556.287157,74.74831496,5.7596,2.818,23.888,58.755,17.612,411.2147,308.9841,18.71165,60.9633,0.96,0.81,66.4578,1.75987548113,27622.71,51.1,1105.111025,66.7,0.6798,0.3378,3.7689,3.8999,1.2345,8.1521,22.3692,27.8222,0.836399999999999,89.9886,1.8067,9.6589,5.0613,0.6848,0.1222,15.9374,0.6211,3.0004,67.53,77.36,9.83,268.01904,2.6e+08,12.219,8.1,12.81,7.5,12.457,879.2413213,7.03337160555,77.016,75.8,25.82569643,27.96185992,4.9,0,9,7,98728
"7",657.805,0.652093819,2.624991673,3.4968817,54.47734498,219.2975499,292.1371512,7.704990358,31.01629693,41.31834865,0.2028175,4.592546,8.5967,89330.58455,2022778.206,3786400.267,41854725,1563040,9.8786283,9.4600896,10.5125892,10.5125892,0.21,0.1,28.11222577,41.8137066,162.742742,0.859084543,1.277789575,4.973273025,31.87,28.54,224.34,44.52,22.12,40.59,16.37,53.78,15.63,0.31,1.12,154.12,5.43,28.3,27.3,29,5.901,502.5499984,3,39.8033653,42.28,18556.3831,256.282925,5.7952,2.9,41.9,12.9,45.2,490.1369,360.7757,19.06095,75.93,1,1,74.17,1.71736976616,26808,96.8,1389.840341,68.4,0.6642,0.5319,2.6979,2.407,1.0538,11.2493,18.8058,25.8428,0.6157,54.5403,1.6662,8.35370000000001,3.6818,0.2561,0.0846,13.2786,0.5205,2.4987,67.22,76.71,9.48,245.00212,8.1e+08,6.2,12.5,12.06,9.5,6.2,949.6708534,7.587625835,76.667,76,28.01768234,27.79858856,6.3,8,7030,4776,45605823
"8",419.474,1.013010424,2.207774099,3.561060854,84.62910807,184.4422806,297.4988182,8.819695812,19.22181205,31.00409706,0.2203957,8.268263,36.6346,6490.232409,243484.553,1078818.998,2610670,306280,10.986533,11.9752651,13.4786177,13.4786177,0.32,0.12,0.329858187,1.116599713,0.775209212,0.148641327,0.503164297,0.349326257,45.62,27.85,353.31,62.36,10.56,32.55,26.6,60.53,15.63,0.19,0.34,147.98,3.64,20.2,17.1,23,5.488,211.11,2,29.87821,31.54,11454.4251,11.611964,3.87,0.3,25.8,64.8,9.4,192.27,161.59,14.74058,51.0234,1.19,0.99,55.6208,1.81232705357,35083,100,883.2206519,67.5,0.5765,0.262,5.0009,4.0276,1.1874,8.1703,17.0092,29.4287,0.912999999999999,52.3453,1.2393,9.8785,5.4065,0.8776,0.1346,15.7879,0.7356,4.7269,66.47,75.85,9.38,720.97192,5.41e+09,4.8,14.2,10.55,9,2.9,791.1301337,11.28872206085,75.087,74.4,25.74388941,27.19451321,7.4,0,308,207,2968128
"9",35.49,0.313935579,1.630688031,2.270715631,26.2268654,136.2312474,189.7005539,4.624948464,24.02355328,33.45254083,0.2439287,0.4984838,0.7444149,60010.99727,122636.2866,183139.9115,23789338,0,6.7891865,4.9997449,6.4767592,6.4767592,0.17,0.08,7.74940969,4.750517175,22.35798455,0.298839333,0.183193487,0.862187633,30.4,34.03,128.73,31.99,10.17,26.43,6.49,28.35,9.43,0.37,0.2,136.09,4.37,29,29.6,28.4,7.137,1765.88,4,34.39943,34.94,49830.7993,1951.424545475,28.14,7.871,35.624,52.395,25.348,1655.85,1329.87,13.939,71.76,0,0,74.17,1.70008944281,17696,100,4491.629858,89.8,0.72,0.56,2.55,2.7321,0.69,22.45,38.77,55.89,0.3486,103.67,4.71,15.25,4.49,0.42,0.17,28.73,0.65,3.84,71.53,82.52,10.99,838.4942,54083500000,4.5,3.5,4.17,3.6,2.6,335.9743509,6.411221076,83.436,82.1,27.71849093,26.87308177,2.2,1,1025,714,25788217
"10",111.698,0.349012635,2.273825511,2.905280516,29.15727948,189.9603602,242.7134934,4.912528162,32.00523628,40.89328266,0.1970276,0.4091946,0.5476114,17333.63315,35999.165,48176.47434,8633169,0,5.4147456,3.2164117,5.0037759,5.0037759,0.32,0.12,2.487738508,5.641363856,2.160686078,0.210688759,0.47777206,0.182990402,35.92,41.07,178.03,21.47,12.79,19.26,13.49,33.58,8.4,0.04,0.28,133.71,3.97,20.1,21.9,18.3,7.213,1681.71,4,30.84879,30.48,42988.0709,1460.11390191,27.02,6.315,28.28,56.568,22.952,1634.26,1423.73,8.778,56.02,2,2,68.15,1.920911789,19763,99.3,5138.184731,88.2,1.01,1.22,5.14,5.45,1.1977,9.66,13.19,30.8,0.66,27.58,4.43,16.261,6.0974,0.61,0.19,16.71,1.03,7.37,70.94,81.54,10.6,920.96967,5.3889e+10,11.6,3.5,3.81,3,2.6,281.0260831,9.201562236,81.544,81.1,26.67288696,24.74923974,2.1,0,247,178,9043072
