"","age_standardised_diabetes_prevalence_male","deaths_no_access_to_handwashing_facility_sex_both_age_70_number","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019"
"1",11.565728,21.46226904,74.52,201.65,17.89,7.6
"2",7.6878707,0.1504723,11.15,19.79,0.98,21.8
"3",12.2647583,16.07761847,29.4,71.2,1.04,34.9
"4",8.0856197,0.026552733,4.11,14.78,0.46,25.3
"5",8.5194139,952.7827003,13.32,58.81,14.06,12.1
"6",9.9233293,0.132457059,27.82,100.36,1.38,25.9
"7",9.8786283,28.11222577,22.12,53.78,1.12,29
"8",10.986533,0.329858187,10.56,60.53,0.34,23
"9",6.7891865,7.74940969,10.17,28.35,0.2,28.4
"10",5.4147456,2.487738508,12.79,33.58,0.28,18.3
"11",11.572171,0.485528189,15.29,45.09,1.33,23.6
"12",11.2055637,0.227348358,30.54,102.35,1.3,38.1
"13",12.006818,0.428260015,33.35,188.6,0.82,36.8
"14",10.2542749,6966.326443,20.86,72.27,0.98,5
"15",10.5051944,0.47216115,22.01,106.04,1.35,31.3
"16",8.0120648,0.470023218,4.24,10.93,0.53,26.3
"17",5.6681222,17.26590116,8.6,23.44,0.35,21
"18",9.9988558,0.574202406,46.99,156.48,1.43,31.5
"19",7.3902467,470.4756371,23.47,80.79,23.04,14.2
"20",6.950181,28.2497269,45.48,90.18,1.88,25.6
"21",7.9595233,0.165359132,10.77,53.65,0.38,18.4
"22",7.5742542,58.12570008,24.71,140.84,5.06,29.3
"23",7.7976249,462.3082374,19.62,69.08,1.25,25.4
"24",9.2080746,0.063669409,26.52,106.26,0.92,15.7
"25",8.4220956,0.269395188,10.98,29.14,0.62,24.3
"26",7.3630174,794.4770944,16.09,76.38,30.89,8.1
"27",4.2383366,322.0412056,12.68,65.71,24.8,8.6
"28",6.5496373,705.0311431,24.89,99.53,22.12,16.4
"29",6.2295715,35.60457069,8.99,27.85,0.27,29.3
"30",9.0616702,5.760243668,19.48,60.2,4.74,16.3
"31",7.9801102,211.3721932,16.31,77.6,24.66,10.9
"32",7.893766,758.6749847,22.88,72.58,30,8.9
"33",10.1604348,19.78179495,18.62,43.92,0.67,31
"34",9.8981826,268.3886976,12.13,25.64,0.61,6.5
"35",8.3281758,53.91300802,22.02,50.39,1.09,26.6
"36",7.863303,36.55028147,12.07,64.6,19.82,12.2
"37",7.7231127,214.3269584,15.38,69.02,13.14,13.5
"38",8.8486617,11.65821886,24.85,39.65,0.85,30.4
"39",7.3379487,486.8208205,27.81,101.94,21.59,15.2
"40",8.3590648,0.634493705,8.95,27.81,0.31,24.5
"41",7.2850055,26.79787593,13.13,28.74,0.8,30.3
"42",8.2802862,0.561848339,17.83,63.02,0.32,21.6
"43",6.2299002,2637.781537,11.47,55.64,16.71,9.7
"44",5.3713457,8.074058217,8.07,28.41,0.44,17
"45",8.6408121,19.31481957,13.97,65.77,19.55,18.3
"46",8.6348075,42.48574207,22.63,53.27,2.52,34.1
"47",7.4656134,20.70483616,40.64,80.2,0.89,24.7
"48",15.9915285,29.55839364,31.43,66.91,1.27,41.1
"49",9.3025743,28.81949485,69.3,116.48,1.83,28.9
"50",9.4867882,17.85461943,11.01,60.57,9.17,12.6
"51",7.7077688,0.079756048,8.79,19.43,0.41,21.8
"52",5.7992061,4641.117043,17.09,70.74,23.59,6.9
"53",15.946039,3.306182604,83.75,459.95,3.64,35.3
"54",6.4035424,1.141119764,4.09,11.61,0.22,20.6
"55",7.4588522,29.55886606,6.13,21.03,0.3,21.1
"56",10.0069996,45.21394737,16.72,77.36,11.49,20.3
"57",9.4400826,60.67364177,19.24,61.6,22.42,14.8
"58",13.278765,0.536494789,12.9,35.78,0.84,23.8
"59",6.0163501,94.47881279,12.41,30.6,0.24,20.4
"60",6.4065812,584.1093525,18.77,86.46,23.06,16.6
"61",7.2485658,0.826121662,11.93,21.49,0.34,25.4
"62",8.933383,157.2738973,50.47,118.24,2.16,26.4
"63",6.7504811,475.096115,19.77,83.14,28.13,11.5
"64",7.3624409,74.40035852,32.36,112.28,33.15,13.7
"65",9.0633936,3.6719118,36.09,159.01,1.54,27.1
"66",8.5517711,92.30855875,38.25,134.81,8.02,26.9
