"","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018"
"1",537.066803900001,-0.00036409240194432,66.2,18.15483
"2",225.27,-0.0044518901794786,1.4,16.13296
"3",247.73,-0.000305014644989724,1.5,16.6962
"4",707.0755944,-0.169960209669705,7.562,12.89868
"5",120.76,-0.000337883235706428,45.004,18.29249
"6",593.4834025,-0.0970737234809737,11.689,12.95118
"7",526.825202500001,-0.000382707991057984,2.9,18.39809
"8",211.11,-0.00423049504923475,0.3,15.8657
"9",1765.88,-0.000424620814585267,12.769,13.939
"10",1681.71,-0.00147073947232522,6.142,8.778
"11",315.14001,-0.00122855098225218,5.3,13.03698
"12",593.079803900001,-0.0241282793206572,7.953,12.49933
"13",722.8092926,-0.00589065452303271,6.474,11.4142
"14",117.31,-6.05186194880881e-05,41.3,18.15537
"15",547.782004100001,-0.0378034168384247,0.9,16.007
"16",571.14001,-0.00129304160677134,0,11.05086
"17",1490.91,-0.0012465262751405,6.682,8.078
"18",268.57999,-0.0338751276517977,4.6,17.66256
"19",82.610001,-0.000897524669505519,62.2,17.72637
"20",406.41,-0.00152737159066132,20.5,20.27881
"21",585.77002,-0.00394752379893034,0.5,13.13537
"22",232.69,-0.00463750079320352,25.869,18.74869
"23",602.28998,-6.32535153309398e-05,5.3,19.038
"24",714.5421929,-0.0228909458431099,13.343,12.92902
"25",569.5,-0.00118898081579454,15.713,16.18019
"26",83.839996,-0.000515149445394857,84,17.80062
"27",54.34,-0.000938329250871838,80.8,17.91375
"28",161.66,-0.0004388021104702,46,18.06989
"29",1745.0699,-0.000354490159334492,8.824,13.688
"30",243.34,-0.0235964486650602,8.747,16.8378
"31",73.720001,-0.00256320947662196,77.6,17.98024
"32",98.139999,-0.000751293222193221,87.1,17.87764
"33",727.16998,-0.000712185920304121,15.786,16.94523
"34",332.12,2.21573487824284e-06,5.2,25.015
"35",431.25,-0.000306246786847009,5.4,19.592
"36",180.10001,-0.0148584966835537,36,17.03821
"37",117.42,-0.000684283690603736,39.7,17.90263
"38",731.75,-0.00231871938404204,18.933,19.50302
"39",116.93,-0.000385161408639234,58.7,18.48755
"40",569.42999,-0.00257440622189403,8.445,12.01311
"41",549.160707400001,-0.00112162531220441,29.839,18.6468
"42",1319.55,-0.00978953326137889,10.739,11.87089
