"","income_support","stringency_index","debt_relief"
"1","0",52.31,"0"
"2","1",37.96,"1"
"3","1",50.46,"1"
"4","2",46.3,"1"
"5","0",56.94,"0"
"6","0",47.2305786798186,"0"
"7","1",75.93,"1"
"8","2",42.7208668831169,"0"
"9","0",71.76,"0"
"10","2",56.02,"2"
"11","0",61.11,"0"
"12","1",57.41,"1"
"13","2",53.7,"1"
"14","0",35.19,"0"
"15","1",50,"1"
"16","0",43.52,"0"
"17","2",47.22,"1"
"18","1",66.67,"2"
"19","1",38.89,"1"
"21","1",56.48,"2"
"22","1",35.19,"0"
"23","0",53.7,"2"
"24","1",60.65,"0"
"25","0",79.63,"0"
"26","2",62.96,"1"
"27","0",13.89,"2"
"28","1",15.74,"1"
"30","0",30.56,"0"
"31","1",60.65,"1"
"32","1",59.26,"2"
"33","0",24.07,"0"
"34","0",25,"1"
"35","1",59.72,"0"
"36","1",79.17,"2"
"37","1",41.67,"2"
"38","0",50.0728679655329,"0"
"39","0",51.85,"0"
"40","0",54.63,"1"
"41","1",20.37,"2"
"42","1",33.8,"1"
"43","0",65.28,"2"
"44","2",40.74,"2"
"45","0",37.96,"1"
"46","2",38.89,"0"
"47","1",54.63,"0"
"49","1",63.89,"0"
"50","1",60.19,"2"
"51","1",43.52,"2"
"52","1",32.41,"0"
"53","1",51.0098736813187,"1"
"55","0",23.15,"0"
"57","0",43.52,"0"
"58","1",86.11,"2"
"59","2",38.43,"1"
"60","2",60.65,"0"
"61","0",67.59,"1"
"62","0",24.07,"1"
"63","1",64.81,"0"
"64","2",59.26,"0"
"65","0",42.59,"0"
"66","2",48.61,"2"
"68","0",52.78,"2"
"69","0",62.04,"0"
"70","0",46.6434246321996,"0"
"71","1",60.19,"1"
"72","1",53.7,"1"
"73","1",76.85,"2"
"74","0",27.78,"1"
"75","2",41.67,"2"
"76","0",70.83,"1"
"77","1",68.98,"1"
"78","1",74.54,"1"
"79","1",75.93,"1"
"80","2",48.15,"2"
"81","2",52.78,"1"
"82","1",75.46,"2"
"83","0",66.67,"0"
"84","2",50.46,"2"
"85","1",51.85,"0"
"86","0",57.41,"0"
"87","1",62.96,"0"
"89","1",49.07,"1"
"90","1",57.41,"2"
"92","0",41.67,"0"
"93","0",65.74,"1"
"94","0",60.19,"0"
"95","1",46.3,"0"
"96","0",72.22,"0"
"97","0",44.44,"0"
"98","2",29.63,"2"
"99","1",37.96,"0"
"100","0",53.7,"0"
"101","1",42.59,"1"
"102","1",80.56,"2"
"103","2",50.98041,"0"
"104","0",8.33,"0"
"105","2",75,"1"
"107","0",36.11,"0"
"108","2",51.85,"2"
"109","0",67.13,"1"
"110","1",33.33,"1"
"111","2",37.04,"0"
"113","2",42.8366668831169,"2"
"114","1",66.67,"0"
"115","0",53.7,"0"
"116","1",66.2,"2"
"117","0",44.44,"0"
"119","1",68.52,"1"
"120","2",41.67,"0"
"121","1",22.22,"2"
"122","0",2.78,"0"
"123","0",19.44,"2"
"124","0",43.52,"0"
"127","2",38.89,"0"
"128","0",50,"0"
"129","1",66.67,"2"
"131","1",70.37,"2"
"132","0",49.07,"0"
"133","1",49.07,"0"
"134","1",67.59,"1"
"135","0",63.43,"0"
"136","2",38.89,"2"
"137","1",58.33,"2"
"138","2",50,"0"
"139","2",38.43,"1"
"140","1",30.09,"0"
"141","1",54.63,"2"
"146","1",38.89,"2"
"147","0",54.3999638095238,"0"
"148","2",53.7,"1"
"149","0",19.44,"0"
"150","2",36.11,"1"
"152","0",43.98,"0"
"153","2",47.22,"2"
"154","2",43.98,"2"
"155","1",29.63,"1"
"157","0",35.19,"1"
"158","1",51.85,"1"
"159","1",50.93,"1"
"160","1",25,"0"
"161","2",47.69,"2"
"162","0",81.48,"2"
"163","0",19.44,"0"
"164","1",81.48,"0"
"165","2",37.04,"1"
"166","2",40.74,"0"
"167","0",25.93,"0"
"168","0",35.19,"0"
"169","1",16.67,"1"
"170","1",72.22,"2"
"172","1",42.59,"2"
"174","1",74.07,"0"
"175","1",71.3,"2"
"176","2",50,"0"
"179","1",78.7,"0"
"180","1",50.93,"1"
"181","0",65.28,"2"
"182","2",43.98,"2"
"183","1",61.57,"1"
"184","1",55.56,"1"
"185","1",63.89,"2"
"187","1",86.11,"2"
"188","0",79.17,"0"
"189","0",37.96,"0"
"190","0",50.93,"1"
"191","0",73.15,"0"
"192","1",35.19,"1"
