"","yll_rates_from_all_air_pollution_per_100_000","death_rates_from_all_air_pollution_per_100_000"
"1",3764.205122,78.01518738
"2",2036.762168,98.72281671
"3",2230.249326,80.92368972
"4",1945.74098474,96.0004349039
"5",4349.176724,72.89185517
"6",1451.086957,65.2173913
"7",799.6775825,38.16016943
"8",2949.337309,138.1047051
"9",853.2938023,48.80053199
"10",2226.892659,132.1591419
"11",3401.322534,127.762969
"12",1454.381443,53.35051546
"13",1909.949165,64.85112564
"14",3162.141158,108.8039407
"15",2467.253521,125.7042254
"16",3235.225358,147.0408593
"17",2126.612975,126.1262059
"18",1092.479109,35.93314763
"19",4222.178697,92.92280266
"21",1093.519814,35.72960373
"22",2760.839895,140.3937008
"23",925.9062776,29.00088417
"24",1280.895476,49.22683198
"25",621.749409,21.74940898
"26",4198.181818,210.8671329
"27",3793.135082,83.45300361
"28",2514.348107,49.78083462
"30",3976.91518,87.75274912
"31",1019.852305,55.89592523
"32",2357.581574,96.92898273
"33",5851.306122,133.3061224
"34",7924.570777,135.8766118
"35",982.8727982,47.70448227
"36",4470.598062,202.2828099
"37",399.1229509,15.55703065
"38",1626.142132,33.75634518
"39",1653.073593,44.1991342
"40",724.0224626,31.23960067
"41",5049.576685,111.4307011
"42",3205.613208,175.3773585
"43",1583.371378,75.84723442
"44",1832.532189,100
"45",3014.548138,60.24046254
"46",1968.724643,109.2608926
"47",3577.59009,97.97297297
"49",1212.091565,45.26025836
"50",482.600317,18.71902758
"51",3677.334182,130.7361091
"52",1314.068875,50.26929982
"53",3607.455621,82.72189349
"55",2119.421173,108.1492765
"57",2853.959815,68.58669779
"58",1177.017937,35.98654709
"59",1256.351081,72.83300018
"60",1771.213411,104.5112085
"61",2018.608696,67.13043478
"62",4120.793571,97.38824711
"63",3160.375,161.5
"64",2621.396936,153.605818
"65",3385.14083,90.06203102
"66",2426.21634,149.9863076
"68",1084.084996,33.19464194
"69",4556.911368,96.64524573
"70",4966.64859,115.9978308
"71",1838.461538,57.49674055
"72",2292.437681,59.09812342
"73",727.2198142,26.15479876
"74",3809.518011,188.4018265
"75",707.2948328,43.16109422
"76",4197.1737,141.3716697
"77",2047.758529,67.7047358
"78",1982.833862,85.17994375
"79",2528.138952,79.51844052
"80",1171.906997,65.0383959
"81",1675.868056,94.69246032
"82",2077.96101,136.2470453
"83",1208.77193,56.56999642
"84",2422.696688,160.2324287
"85",1706.34628,61.38248848
"86",2241.095035,87.44397163
"87",1375.87408,32.25190081
"89",1891.341213,63.33504625
"90",1998.164983,71.66666667
"92",3059.512938,155.3018772
"93",2259.425353,103.0934707
"94",2108.52459,54.66042155
"95",3174.46147,74.92782589
"96",2609.971328,98.7575661
"97",2956.50853021,100.5420049134
"98",3244.440584,166.2960389
"99",1516.931217,83.95061728
"100",1414.355271,34.07468537
"101",1694.371188,41.42898635
"102",1124.367771,44.13636068
"103",925,37.08791209
"104",4670.454015,97.19885259
"105",2280.190931,137.4701671
"107",4527.851524,117.7236971
"108",1685.781618,64.33621367
"109",1106.267613,43.21704764
"110",3120.496436,132.5387073
"111",2964.37950225,100.6834544704
"113",1872.611764195,99.5491808411
"114",2137.163364,87.08476604
"115",2489.934771,53.81728116
"116",3949.238362,131.7234725
"117",1138.755592,31.27287515
"119",2608.413502,93.42428608
"120",2046.310192,118.7828656
"121",849.2603224,46.85361007
"122",1085.662611,36.30384742
"123",5173.637126,97.31142757
"124",4996.74452,99.12678735
"127",1039.224717,61.98426406
"128",2055.644623,67.84680472
"129",4172.776211,123.1292756
"131",714.9656401,27.86968694
"132",864.9690425,21.43325614
"133",727.7602049,26.54014159
"134",819.922236,32.07763649
"135",1760.234835,52.89426538
"136",3082.725737,150.4247462
"137",2330.212786,138.434796
"138",1062.192394,30.42505593
"139",3739.818564,183.9731434
"140",3012.02954,129.715501
"141",1726.167246,42.50646361
"146",2543.75463658,99.5327478579001
"147",1682.631579,42.10526316
"148",1829.13132,68.8649356
"149",3217.192148,86.32427788
"150",2569.86045406,118.0482529647
"152",6394.793119,138.9896172
"153",1200.124911,55.99571734
"154",2998.212311,142.3516403
"155",2299.806576,128.5783366
"157",4964.716789,78.39065542
"158",2216.562713,74.55863598
"159",2346.404025,117.1236531
"160",3514.39599923,92.3450738058
"161",1690.284536,105.0019559
"162",2179.09234,88.52039158
"163",2937.82537522,82.4371973616
"164",1715.101289,63.35174954
"165",1315.983095,84.19060393
"166",1659.139655,103.2654537
"167",2014.717219,73.05155804
"168",2154.185334,59.2195237
"169",1365.805022,32.20871276
"170",2886.400539,118.3890252
"172",3799.000684,87.14579055
"174",2341.617647,91.83823529
"175",2938.777324,131.144482
"176",1938.688764,79.67990748
"179",2288.004831,48.7394983
"180",3675.792232,170.6719729
"181",1453.073992,39.67456157
"182",1681.976792,98.37599033
"183",1766.364066,88.02077411
"184",1248.222611,65.47202797
"185",2745.870087,87.36158382
"187",1133.534746,43.19467522
"188",2348.54039,93.65529593
"189",3519.063059,93.95497913
"190",1347.310551,28.65161432
"191",1596.359572,34.47413738
"192",3016.835815,160.6848146
