"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"1",39.277,68970,13.814,0.8365,13.9502,9.6782,19.1622,0.7381,1.5716,144.16689
"2",169.226,29903,23.6,0.4477,6.9042,8.9776,14.7073,0.6827,2.38,440.42001
"3",44.035,34790,85.2,0.4972,9.27880000000001,11.17,15.6533,0.6143,2.1057,289.74506
"4",931.858,19187.61,99.204,0.7454,10.9326,20.9504,12.5258,0.729,3.8513,2164.9558
"5",8.215,93709,0,0.6933,9.55980000000001,9.7574,16.2931,0.7082,2.2409,65.277954
"6",30.635,34017.49,51.1,0.5798,9.20790000000001,9.1504,15.8893,0.6357,1.8951,268.01904
"7",657.805,26808,96.8,0.5481,9.41770000000001,7.79340000000001,13.0136,0.5671,1.7819,245.00212
"8",419.474,35083,100,0.4998,8.61660000000001,8.9906,13.5543,0.6766,2.0076,720.97192
"9",35.49,17696,100,0.72,22.45,15.25,28.73,0.65,3.84,838.4942
"10",111.698,19763,99.3,1.01,9.66,15.3864,16.71,1.03,7.37,920.96967
"11",67.856,33879,2.9,0.5214,9.65310000000001,10.8274,14.738,0.6255,2.21,936.67621
"12",335.666,30459,100,0.5372,7.21090000000001,9.7841,14.439,0.7635,3.3759,471.66946
"13",185.709,25533,100,0.3109,5.9503,12.4139,13.8394,0.7157,3.5733,615.72601
"14",35.449,38814,1.4,0.8267,11.6777,9.5542,19.1899,0.7312,1.7138,63.223766
"15",24.359,26768,100,0.4899,7.83120000000001,9.3107,14.6285,0.6739,2.1529,557.15704
"16",102.124,33783,100,0.4988,7.64030000000001,9.0268,14.0064,0.6699,2.1053,374.66376
"17",942.309,19878,99,0.955700000000001,9.52070000000001,18.47,3.51,0.6,5.64,840.12659
"18",128.263,31420,25,0.5895,10.5424,8.4873,14.5978,0.6146,1.5672,118.64302
"19",3.382,65706,9,0.6815,9.55130000000001,9.7691,16.0625,0.7082,2.2409,34.203602
"20",742.909,44087,42.7,0.6338,9.64690000000001,8.8259,13.8293,0.6715,1.7711,115.56576
"21",336.502,24000,59.2,0.4997,6.9714,8.4579,12.5819,0.6421,2.5227,315.49902
