"","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018"
"1",NA,NA,66.2,NA
"2",225.27,NA,1.4,NA
"3",247.73,NA,1.5,NA
"4",NA,NA,NA,NA
"5",120.76,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,2.9,NA
"8",211.11,NA,0.3,NA
"9",1765.88,NA,NA,13.939
"10",1681.71,-0.00147073947232522,NA,8.778
"11",315.14001,NA,5.3,NA
"12",NA,NA,NA,NA
"13",NA,NA,NA,NA
"14",117.31,NA,41.3,NA
"15",NA,NA,0.9,NA
"16",571.14001,NA,0,NA
"17",1490.91,-0.0012465262751405,NA,8.078
"18",268.57999,NA,4.6,NA
"19",82.610001,NA,62.2,NA
"20",406.41,NA,20.5,NA
"21",585.77002,NA,0.5,NA
"22",232.69,NA,NA,NA
"23",602.28998,NA,5.3,19.038
"24",NA,NA,NA,NA
"25",569.5,-0.00118898081579454,NA,NA
"26",83.839996,NA,84,NA
"27",54.34,NA,80.8,NA
"28",161.66,NA,46,NA
"29",1745.0699,-0.000354490159334492,NA,13.688
"30",243.34,NA,NA,NA
"31",73.720001,NA,77.6,NA
"32",98.139999,NA,87.1,NA
"33",727.16998,-0.000712185920304121,NA,NA
"34",332.12,2.21573487824284e-06,5.2,25.015
"35",431.25,-0.000306246786847009,5.4,19.592
"36",180.10001,NA,36,NA
"37",117.42,NA,39.7,NA
"38",731.75,NA,NA,NA
"39",116.93,NA,58.7,NA
"40",569.42999,NA,NA,NA
"41",NA,NA,NA,NA
"42",1319.55,-0.00978953326137889,NA,NA
"43",46.470001,NA,75.1,NA
"44",1588.9,-0.00146216485031388,NA,5.672
"45",154.5,NA,29.3,NA
"46",471.82001,NA,8.8,20.767
"47",421.89999,NA,3.5,NA
"48",183.12,NA,3.6,17.677
"49",311.87,NA,NA,NA
"50",NA,NA,NA,NA
"51",885.83002,NA,NA,14.866
"52",110.12,NA,87.3,NA
"53",227.06,NA,NA,NA
"54",1501.48,-0.00093721387941662,NA,6.802
"55",1621.01,-0.000290403631855071,NA,9.124
"56",295.5,NA,16.5,NA
"57",149.91,NA,60.4,NA
"58",237.52,NA,0.8,16.893
"59",1637.79,-0.000139450942070374,NA,9.165
"60",199.55,NA,33.7,NA
"61",662.25,NA,NA,14.168
"62",259.89999,NA,NA,14.606
"63",87.300003,NA,75.1,NA
"64",69.18,NA,77.5,NA
"65",202.89,NA,3.2,NA
"66",104.7,NA,49.4,NA
"67",239.57001,NA,15.8,NA
"68",650.71997,-0.00140126325439343,NA,10.427
"69",1527.02,NA,NA,6.068
"70",111.83,NA,53.7,19.656
"71",190.66,-1.94231993357779e-05,15.5,NA
"72",493.39001,NA,NA,NA
"73",178.81,NA,11.6,NA
"74",1408.09,NA,NA,9.403
"75",1097.22,-0.000883535458363321,NA,19.317
"76",1227.58,-0.000286578152007247,NA,12.9
"77",366.34,NA,1.8,NA
"78",1212.01,-7.93440397254428e-05,NA,10.938
"79",331.66,NA,1.7,NA
"80",340.60999,NA,0.2,NA
"81",100.36,NA,39.9,NA
"82",NA,NA,NA,NA
"83",161.92,NA,0.5,NA
"84",706.84998,-0.00514209868330136,NA,NA
"85",705.17999,NA,NA,NA
"86",75.699997,NA,32,NA
"87",83.059998,NA,71.2,NA
"88",NA,NA,1.5,NA
"89",NA,NA,NA,NA
"90",756.90002,-0.00137553525050728,NA,12.39
"91",2113.2,NA,NA,8.736
"92",46.939999,NA,66.9,NA
"93",61.68,NA,56,NA
"94",850.15997,-0.000521720124063215,NA,NA
"95",198.52,NA,5.2,NA
"96",72.610001,NA,77.7,NA
"97",1294.25,NA,NA,NA
"98",174.63,NA,52.2,NA
"99",351.48999,NA,NA,NA
"100",415.89999,-0.000145610036297862,2.8,19.664
"101",286.64999,NA,0.8,NA
"102",NA,NA,NA,NA
"103",441.22,NA,0.3,NA
"104",305.10001,NA,15.4,NA
"105",81.559998,NA,69.6,NA
"106",172.39,NA,NA,NA
"107",342.70999,NA,42,NA
"108",119.01,NA,28.6,NA
"109",1585.92,-0.000524075474088864,NA,6.184
"110",NA,NA,NA,NA
"111",329.39001,NA,16.1,NA
"112",78.699997,NA,89.3,NA
"113",75.860001,-2.88551540707234e-05,53.2,NA
"114",2162.8799,-0.000975421131690217,NA,7.662
"115",NA,NA,NA,NA
"116",150.3,NA,44.2,NA
"117",747.06,NA,NA,22.666
"118",96.879997,NA,NA,NA
"119",520.39001,NA,NA,21.394
"120",401.73999,-0.000906364922193787,10.5,24.442
"121",227.03,-0.000148585850378389,11,NA
"122",543.27002,-0.000209011269543711,NA,10.587
"123",816.5,-0.00160308027449062,NA,NA
"124",NA,NA,NA,NA
"125",305.64999,-0.000548939986430203,NA,8.465
"126",680.21002,NA,NA,12.506
"127",78.540001,NA,53.8,NA
"128",NA,NA,NA,NA
"129",86.949997,NA,19.3,NA
"130",NA,NA,NA,NA
"131",95.980003,NA,56.9,NA
"132",360,NA,0.2,14.137
"133",70.980003,NA,81,NA
"134",NA,-0.00223854551522669,NA,NA
"135",678.90997,-0.00221582461363618,NA,8.421
"136",1026.3199,NA,NA,9.989
"137",NA,NA,81.2,NA
"138",337.70999,NA,11.1,23.751
"139",1181.66,-5.76516377895989e-05,NA,14.62
"140",98.300003,NA,91.1,NA
"141",1115.37,-0.000472775652592984,NA,15.562
"142",268.32999,NA,NA,NA
"143",138.89,NA,53.4,NA
"144",217.83,NA,5.9,NA
