"","total_confirmed_deaths_due_to_covid_19_per_million_people","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
"1",39.277,68970,NA,NA,NA,NA,NA,NA,NA,144.16689
"2",169.226,29903,23.6,NA,NA,NA,NA,NA,NA,440.42001
"3",44.035,34790,85.2,NA,NA,NA,NA,NA,NA,289.74506
"4",931.858,NA,NA,NA,NA,NA,NA,NA,NA,2164.9558
"5",8.215,93709,0,NA,NA,NA,NA,NA,NA,65.277954
"6",30.635,NA,51.1,NA,NA,NA,NA,NA,NA,268.01904
"7",657.805,26808,96.8,NA,NA,NA,NA,NA,NA,245.00212
"8",419.474,35083,100,NA,NA,NA,NA,NA,NA,720.97192
"9",35.49,17696,100,0.72,22.45,15.25,28.73,0.65,3.84,838.4942
"10",111.698,19763,99.3,1.01,9.66,NA,16.71,1.03,7.37,920.96967
"11",67.856,33879,2.9,NA,NA,NA,NA,NA,NA,936.67621
"12",335.666,30459,100,NA,NA,NA,NA,NA,NA,471.66946
"13",185.709,25533,100,NA,NA,NA,NA,NA,NA,615.72601
"14",35.449,38814,1.4,NA,NA,NA,NA,NA,NA,63.223766
"15",24.359,26768,100,NA,NA,NA,NA,NA,NA,557.15704
"16",102.124,33783,100,NA,NA,NA,NA,NA,NA,374.66376
"17",942.309,19878,99,NA,NA,18.47,3.51,0.6,5.64,840.12659
"18",128.263,31420,25,NA,NA,NA,NA,NA,NA,118.64302
"19",3.382,65706,9,NA,NA,NA,NA,NA,NA,34.203602
"20",742.909,44087,42.7,NA,NA,NA,NA,NA,NA,115.56576
"21",336.502,24000,59.2,NA,NA,NA,NA,NA,NA,315.49902
"22",8.93,61513,NA,NA,NA,NA,NA,NA,NA,51.02795
"23",743.068,31632,100,NA,NA,NA,NA,NA,2.3,393.65927
"24",6.857,22941,100,NA,NA,NA,NA,NA,NA,125.25507
"25",167.088,28771,87,NA,NA,NA,NA,NA,NA,711.14771
"26",3.205,70891,1,NA,NA,NA,NA,NA,NA,34.698746
"27",0.084,80027,28.4,NA,NA,NA,NA,NA,NA,12.152169
"28",16.048,77369,2,NA,NA,NA,NA,NA,NA,113.57147
"29",264.982,18838,100,0.02,0.19,11.6,19.48,0.43,2.5,670.91956
"30",169.068,31195,NA,NA,NA,NA,NA,NA,NA,71.923409
"31",12.837,97115,6,NA,NA,NA,NA,NA,NA,12.615376
"32",5.844,94563,NA,NA,NA,NA,NA,NA,NA,56.241741
"33",733.723,21333,93.1,0.55,8.05,2.99,11.43,0.45,2.11,613.57904
"34",3.293,24811,96.9,NA,NA,NA,NA,NA,4.34,246.86253
"35",600.693,27188,87.7,NA,NA,NA,NA,NA,1.71,156.01645
"36",8.05,59673,NA,NA,NA,NA,NA,NA,NA,90.556938
"37",16.672,70611,NA,NA,NA,NA,NA,NA,NA,88.853043
"38",260.889,23017,100,NA,NA,NA,NA,NA,1.13,276.40625
"39",4.625,88856,1.2,NA,NA,NA,NA,NA,NA,68.291847
"40",114.487,24063,97,NA,NA,NA,NA,NA,NA,251.05083
"41",11.301,25180,100,NA,NA,NA,NA,NA,NA,NA
"42",28.542,15789,65,NA,NA,NA,NA,NA,NA,937.77203
"43",3.394,92831,10,NA,NA,NA,NA,NA,NA,12.715207
"44",122.406,20451,100,0.05,NA,18.23,NA,0.63,2.5,697.55823
"45",61.741,64677,30,NA,NA,NA,NA,NA,NA,29.903355
"46",205.201,29597,26.5,NA,NA,NA,NA,NA,NA,381.37183
"47",713.482,29357,22.8,NA,NA,NA,NA,NA,NA,428.47943
"48",60.801,35784,51.1,NA,NA,NA,NA,NA,NA,306.79916
"49",148.315,36007,21.6,NA,NA,NA,NA,NA,NA,161.16724
"50",59.16,82201,NA,NA,NA,NA,NA,NA,NA,568.37732
"51",55.03,26242,92.9,0.24,5.31,10.45,15.18,0.85,4.69,429.6655
"52",12.569,54964,NA,NA,NA,NA,NA,NA,NA,24.804361
"53",2.231,39681,100,NA,NA,NA,NA,NA,NA,70.953873
"54",63.891,19843,100,0.15,14.34,19.69,30.5,0.56,3.28,794.92712
"55",544.493,19104,99.9,1.45,14.99,NA,20.4,0.48,5.98,308.73276
"56",24.262,58498,57.6,NA,NA,NA,NA,NA,NA,124.56293
"57",49.241,62697,99.9,NA,NA,NA,NA,NA,NA,23.163185
"58",63.422,29323,25,NA,NA,NA,NA,NA,NA,411.42606
"59",121.539,19224,100,2.43,16.08,NA,9.5,1.18,8,671.1239
"60",10.17,58375,73.9,NA,NA,NA,NA,NA,NA,90.020622
"61",56.893,19627,100,1.38,13.67,NA,11.62,1.32,4.21,781.69025
"62",204.571,37079,30,NA,NA,NA,NA,NA,NA,247.54504
"63",5.406,72518,0.2,NA,NA,NA,NA,NA,NA,31.166372
"64",20.833,83441,1.6,NA,NA,NA,NA,NA,NA,37.274281
"65",151.292,55470,23.8,NA,NA,NA,NA,NA,NA,136.16254
"66",20.346,61717,3.1,NA,NA,NA,NA,NA,NA,43.579815
"67",266.442,33106,12,NA,NA,NA,NA,NA,NA,173.59322
"68",163.348,28707,100,0.02,1.2,11.8,13.24,0.68,7.02,555.2157
"69",32.234,17257,100,0,0,29.55,22.96,0.74,2.91,700.42822
