"","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","nurses_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
"1",68970,20.59775,0.193,5.1263,12.8214,1.0759,21.2141,0.8111,144.16689,1.6701e+11
"2",29903,23.6,0.1703,4.342,10.6039,0.5561,17.0248,0.5579,440.42001,2.01e+09
"3",34790,85.2,0.2034,4.2865,10.8613,0.5549,20.6426,0.5818,289.74506,3e+08
"4",20905.79,92.38,1.0186,2.9644,18.4376,0.6549,14.1717,0.6123,2164.9558,8399400000
"5",93709,0,0.2516,4.7472,12.4219,0.8963,19.201,0.7467,65.277954,4.999e+10
"6",45969.35,51.1,0.2273,4.3179,11.8715,0.5717,20.313,0.582,268.01904,2.6e+08
"7",26808,96.8,0.3685,3.1097,9.74750000000001,0.4546,16.0026,0.5679,245.00212,8.1e+08
"8",35083,100,0.4942,3.8053,15.7124,0.5959,17.626,0.6586,720.97192,5.41e+09
"9",17696,100,0.56,2.55,15.25,0.42,28.73,0.65,838.4942,6208300000
"10",19763,99.3,1.22,5.14,19.7234,0.61,16.71,1.03,920.96967,72264918750
"11",33879,2.9,0.7471,4.1962,17.5443,0.5924,20.1147,0.6391,936.67621,5.29e+09
"12",30459,100,0.2271,4.1732,11.8187,0.5983,16.2297,0.6249,471.66946,2670200000
"13",25533,100,0.1747,3.9807,12.1246,0.5708,15.9856,0.6308,615.72601,2732100000
"14",38814,1.4,0.193,5.1263,12.8214,1.0759,21.2141,0.8123,63.223766,2.2242e+11
"15",26768,100,0.1851,3.9657,12.7216,0.5796,18.632,0.6109,557.15704,1e+07
"16",33783,100,0.104,4.5512,10.754,0.5944,17.0594,0.6216,374.66376,1.24e+09
"17",19878,99,4.18,1.46,18.47,1.36,3.51,0.6,840.12659,61649200000
"18",31420,25,0.1666,4.2191,11.1013,0.5642,17.2634,0.5802,118.64302,3.19e+09
"19",65706,9,0.2159,4.734,12.4646,0.8762,19.201,0.7387,34.203602,4.702e+10
"20",44087,42.7,0.3347,3.9065,10.1168,0.5767,16.0987,0.6239,115.56576,2.114e+10
"21",24000,59.2,0.3303,3.1431,12.023,0.4668,15.8239,0.5493,315.49902,5.03e+09
"22",61513,25.557,0.2067,4.3727,12.8863,0.703,20.6477,0.6148,51.02795,3.52e+09
"23",31632,100,0.3605,3.96,10.2064,0.5759,16.4547,0.6291,393.65927,2.44e+09
"24",22941,100,0.242,4.1525,14.1793,0.9195,17.4744,0.7925,125.25507,56525518750
"25",28771,87,0.3277,3.8871,14.3128,0.5354,15.791,0.5932,711.14771,2790700000
"26",70891,1,0.9949,5.0338,14.8391,1.3552,19.8571,0.8218,34.698746,1.0803e+11
"27",80027,28.4,0.2758,4.7472,12.4219,0.8963,19.201,0.7467,12.152169,4.981e+10
"28",77369,2,0.994700000000001,5.03,14.8217,1.3453,19.4564,0.8053,113.57147,9.525e+10
"29",18838,100,0.8116,2.49,11.6,0.34,19.48,0.43,670.91956,3608300000
"30",31195,62.893,0.2015,5.2488,11.4051,1.0297,18.6082,0.8154,71.923409,134313200000
"31",97115,6,0.2356,4.6339,12.1818,0.83,19.3812,0.6312,12.615376,2.319e+10
"32",94563,6.53928571428572,0.2125,4.6126,12.1818,0.83,19.4325,0.6312,56.241741,2.234e+10
"33",21333,93.1,0.6032,1.56,2.99,0.1,11.43,0.45,613.57904,3.4e+08
"34",24811,96.9,0.7926,4.5093,14.6068,1.2965,17.6953,0.8277,246.86253,7.943e+10
"35",27188,87.7,0.3774,3.0518,11.018,0.4242,16.1624,0.552,156.01645,4.45e+09
"36",59673,34.025,0.1641,4.3464,11.6486,0.6883,20.0893,0.6114,90.556938,2.28e+09
"37",70611,29.979,0.16,4.6514,12.0982,0.7977,19.6438,0.6081,88.853043,9.32e+09
"38",23017,100,0.2686,3.6781,11.5936,0.5316,15.7425,0.5937,276.40625,3.3e+08
"39",88856,1.2,0.2432,4.7472,12.4219,0.9026,19.201,0.7542,68.291847,5.166e+10
"40",24063,97,0.1849,3.979,10.6828,0.543,16.0018,0.5739,251.05083,8e+07
"41",25180,100,0.1022,4.0794,12.3864,0.7112,18.164,0.628,363.57909646,2.01e+09
"42",15789,65,1.7008,3.7428,22.3522,1.4488,18.2211,0.8461,937.77203,78052285416.6667
"43",92831,10,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,12.715207,5.183e+11
"44",20451,100,0.11,2.34,18.23,0.47,14.5924,0.63,697.55823,3060400000
"45",64677,30,0.1227,4.3286,11.5209,0.635,18.7996,0.6077,29.903355,6.23e+09
"46",29597,26.5,0.2043,4.3461,10.9727,0.5803,17.0314,0.555,381.37183,3.73e+09
"47",29357,22.8,0.3701,3.0335,10.5471,0.4445,15.6294,0.5472,428.47943,2.73e+09
"48",35784,51.1,0.0921,4.5445,10.858,0.6663,17.7552,0.6227,306.79916,1.337e+10
"49",36007,21.6,0.1727,4.3747,10.9932,0.5841,17.436,0.5794,161.16724,3.15e+09
"50",82201,57.377,0.1245,4.2304,10.9224,0.5767,18.5892,0.6086,568.37732,8.8e+08
"51",26242,92.9,0.12,4.34,10.45,0.53,15.18,0.85,429.6655,40823800000
"52",54964,37.9205,0.9704,5.0249,15.0122,1.3685,20.458,0.8087,24.804361,3.9209e+11
"53",39681,100,0.1795,4.7295,13.3985,0.8673,19.516,0.6537,70.953873,1.428e+10
"54",19843,100,0.6935,3.13,19.69,0.39,30.5,0.56,794.92712,3.367e+09
"55",19104,99.9,0.84,3.68,14.8441,0.84,20.4,0.48,308.73276,7769750000
"56",58498,57.6,0.2338,4.2642,13.0176,0.5932,20.5922,0.608,124.56293,3.29e+09
"57",62697,99.9,0.1545,4.90549999999999,12.6118,0.7787,19.5811,0.6689,23.163185,2.127e+10
"58",29323,25,0.1739,4.2217,11.2043,0.5862,17.5391,0.5888,411.42606,3.98e+09
"59",19224,100,2.31,3.26,18.2801,1.28,9.5,1.18,671.1239,78907985416.6667
"60",58375,73.9,0.9704,5.0249,15.0122,1.3685,20.458,0.8087,90.020622,1.4816e+11
"61",19627,100,0.08,2.74,17.317,0.74,11.62,1.32,781.69025,55330518750
"62",37079,30,0.1594,4.6449,10.6218,0.7149,16.5652,0.7475,247.54504,4.64e+10
"63",72518,0.2,0.9718,4.9716,15.0296,1.3733,20.4983,0.8199,31.166372,1.3984e+11
"64",83441,1.6,0.196,4.6321,12.2606,0.8326,19.3651,0.623,37.274281,1.847e+10
"65",55470,23.8,0.1732,4.3711,10.2013,0.55,17.278,0.5765,136.16254,1.79e+09
"66",61717,3.1,0.2611,4.7234,12.6336,0.9446,19.5959,0.7737,43.579815,5.685e+10
"67",33106,12,0.1779,4.2559,11.1619,0.6782,16.3175,0.6532,173.59322,3.594e+10
"68",28707,100,0.21,6.96,11.8,0.87,13.24,0.68,555.2157,3.8886e+10
"69",17257,100,0,2.91,29.55,0.37,22.96,0.74,700.42822,61057426666.6667
"70",47950,12.5,0.1825,5.1262,11.8376,1.0219,18.8983,0.8214,154.66501,3.9127e+11
"71",36015,59,0.1841,5.1558,12.7603,1.0415,20.1975,0.8364,189.93916,9.857e+10
"72",30911,90,0.3536,3.7976,11.4088,0.5698,16.9451,0.6087,500.40799,3.48e+09
"73",38798,61.866,0.2279,4.3048,10.7125,0.6413,16.1668,0.5896,367.85107,1.166e+10
"74",19319,100,0.5594,2.5135,14.76,0.34,16.0078,0.47,809.01556,4012600000
"75",17719,100,0.59,2.03,7.41,0.4,4.17,0.61,686.99359,2226100000
"76",16957,100,0.13,2.12,7.44,0.09,7.12,0.99,765.02649,45279600000
"77",32646,20.1,0.2019,4.1796,10.7324,0.5649,18.9532,0.5847,121.21803,1.8e+08
"78",15700,100,1.1581,3.55,18.5445,2.62,12.14,0.9355,576.96307,81295285416.6667
"79",30626,75,0.0991,4.6681,10.9682,0.7134,17.8562,0.7176,142.87909,3.763e+10
"80",42084,70,0.1542,4.29,10.8968,0.581,17.4454,0.5868,350.55191,4.23e+09
"81",62578,39.4,0.9704,5.0249,15.0122,1.3685,20.458,0.8087,52.449409,1.9222e+11
"82",22687,100,0.1766,3.9511,11.7476,0.5664,15.1638,0.6071,428.12521,2176600000
"83",39969,83,0.1123,4.7212,10.635,0.639,16.4664,0.6283,138.24355,2.132e+10
