"","stringency_index","income_support","debt_relief","containment_index"
"1",52.31,"0","0",42.8
"2",37.96,"1","1",43.21
"3",50.46,"1","1",57.56
"4",46.3,"2","1",59.52
"5",56.94,"0","0",51.61
"6",NA,NA,NA,NA
"7",75.93,"1","1",74.17
"8",NA,NA,NA,NA
"9",71.76,"0","0",74.17
"10",56.02,"2","2",68.15
"11",61.11,"0","0",64.29
"12",57.41,"1","1",71.43
"13",53.7,"2","1",66.43
"14",35.19,"0","0",39.76
"15",50,"1","1",57.5
"16",43.52,"0","0",46.9
"17",47.22,"2","1",61.9
"18",66.67,"1","2",71.55
"19",38.89,"1","1",45.6
"21",56.48,"1","2",62.26
"22",35.19,"1","0",40
"23",53.7,"0","2",57.62
"24",60.65,"1","0",56.61
"25",79.63,"0","0",82.14
"26",62.96,"2","1",57.14
"27",13.89,"0","2",28.69
"28",15.74,"1","1",14.29
"30",30.56,"0","0",39.29
"31",60.65,"1","1",62.5
"32",59.26,"1","2",57.26
"33",24.07,"0","0",28.45
"34",25,"0","1",32.98
"35",59.72,"1","0",69.7
"36",79.17,"1","2",75.89
"37",41.67,"1","2",53.57
"38",NA,NA,NA,NA
"39",51.85,"0","0",54.17
"40",54.63,"0","1",61.67
"41",20.37,"1","2",35.71
"42",33.8,"1","1",45.89
"43",65.28,"0","2",71.13
"44",40.74,"2","2",57.74
"45",37.96,"0","1",33.57
"46",38.89,"2","0",56.55
"47",54.63,"1","0",48.93
"49",63.89,"1","0",73.21
"50",60.19,"1","2",67.38
"51",43.52,"1","2",44.17
"52",32.41,"1","0",43.21
"53",NA,NA,NA,NA
"55",23.15,"0","0",34.52
"57",43.52,"0","0",52.14
"58",86.11,"1","2",80.36
"59",38.43,"2","1",50.3
"60",60.65,"2","0",68.45
"61",67.59,"0","1",63.57
"62",24.07,"0","1",42.26
"63",64.81,"1","0",66.55
"64",59.26,"2","0",67.86
"65",42.59,"0","0",43.57
"66",48.61,"2","2",58.99
"68",52.78,"0","2",57.5
"69",62.04,"0","0",67.62
"70",NA,NA,NA,NA
"71",60.19,"1","1",68.81
"72",53.7,"1","1",63.21
"73",76.85,"1","2",72.38
"74",27.78,"0","1",44.05
"75",41.67,"2","2",51.79
"76",70.83,"0","1",72.68
"77",68.98,"1","1",72.44
"78",74.54,"1","1",67.08
"79",75.93,"1","1",69.35
"80",48.15,"2","2",62.5
"81",52.78,"2","1",61.31
"82",75.46,"1","2",81.55
"83",66.67,"0","0",75.36
"84",50.46,"2","2",50.65
"85",51.85,"1","0",53.33
"86",57.41,"0","0",51.79
"87",62.96,"1","0",64.76
"89",49.07,"1","1",58.33
"90",57.41,"1","2",58.33
"92",41.67,"0","0",45.83
"93",65.74,"0","1",68.81
"94",60.19,"0","0",60
"95",46.3,"1","0",59.29
"96",72.22,"0","0",63.21
"97",44.44,"0","0",52.5
"98",29.63,"2","2",48.81
"99",37.96,"1","0",51.79
"100",53.7,"0","0",51.79
"101",42.59,"1","1",56.55
"102",80.56,"1","2",80.71
"103",NA,NA,NA,NA
"104",8.33,"0","0",30.71
"105",75,"2","1",80.12
"107",36.11,"0","0",43.57
"108",51.85,"2","2",61.07
"109",67.13,"0","1",64.88
"110",33.33,"1","1",48.93
"111",37.04,"2","0",53.57
"113",NA,NA,NA,NA
"114",66.67,"1","0",64.17
"115",53.7,"0","0",57.26
"116",66.2,"1","2",66.13
"117",44.44,"0","0",57.26
"119",68.52,"1","1",69.52
"120",41.67,"2","0",51.79
"121",22.22,"1","2",35.48
"122",2.78,"0","0",21.55
"123",19.44,"0","2",33.1
"124",43.52,"0","0",39.52
"127",38.89,"2","0",51.49
"128",50,"0","0",47.38
"129",66.67,"1","2",68.45
"131",70.37,"1","2",74.76
"132",49.07,"0","0",54.17
"133",49.07,"1","0",57.86
"134",67.59,"1","1",69.4
"135",63.43,"0","0",68.27
"136",38.89,"2","2",46.43
"137",58.33,"1","2",64.05
"138",50,"2","0",64.05
"139",38.43,"2","1",52.08
"140",30.09,"1","0",43.75
"141",54.63,"1","2",60
"146",38.89,"1","2",45.83
"147",NA,NA,NA,NA
"148",53.7,"2","1",63.69
"149",19.44,"0","0",39.64
"150",36.11,"2","1",55.36
"152",43.98,"0","0",54.23
"153",47.22,"2","2",66.07
"154",43.98,"2","2",49.7
"155",29.63,"1","1",44.4
"157",35.19,"0","1",45.36
"158",51.85,"1","1",61.07
"159",50.93,"1","1",64.29
"160",25,"1","0",36.07
"161",47.69,"2","2",54.46
"162",81.48,"0","2",83.93
"163",19.44,"0","0",28.93
"164",81.48,"1","0",80.71
"165",37.04,"2","1",40.48
"166",40.74,"2","0",53.57
"167",25.93,"0","0",29.05
"168",35.19,"0","0",39.29
"169",16.67,"1","1",23.93
"170",72.22,"1","2",69.05
"172",42.59,"1","2",50.71
"174",74.07,"1","0",69.17
"175",71.3,"1","2",69.76
"176",50,"2","0",62.62
"179",78.7,"1","0",72.14
"180",50.93,"1","1",54.52
"181",65.28,"0","2",71.13
"182",43.98,"2","2",51.79
"183",61.57,"1","1",67.86
"184",55.56,"1","1",63.1
"185",63.89,"1","2",59.29
"187",86.11,"1","2",78.21
"188",79.17,"0","0",78.39
"189",37.96,"0","0",41.79
"190",50.93,"0","1",50.95
"191",73.15,"0","0",69.05
"192",35.19,"1","1",52.38
