"Religious.compatibility..Larson.et.al..2016..","Child.mortality.estimates..Gapminder..2015..","Child.mortality.1950.2017..IHME..2018..x","Inequality.in.life.expectancy..2015.2020.","Inequality.in.education..2017.","Infant.mortality.rate","International.Historical.Statistics..Deaths.per.1.000...Brian.Mitchell..2013..","Life.expectancy","Life.Expectancy..1950.2015...UN.Population.Division..2015..","Mean.BMI..male.","Mean.BMI..female.","Neonatal.Mortality.Rate..via.Childmortality.org..2015..","Number.of.child.deaths.1950.2017..IHME..2017.","Number.of.infant.deaths..IHME...2017.","Number.of.neonatal.deaths..IHME...2017.","Total.population..Gapminder..HYDE...UN."
9.3,91.1,55.77,28.4,45.4,5616.784475,NA,64.833,59.8,22.68245614,24.23413457,35.5,87,71861,36983,39835428
NA,14,13.99,9.2,8.5,1089.713154,5.073224387,78.573,77.5,27.17447081,26.50751203,6.2,0,392,251,2872934
18.9,24,24.11,15.1,33.7,1398.36594,NA,76.88,74.4,24.86538555,26.56116565,15.5,15,13121,9039,44616626
NA,2.8,2.11,NA,9.4,174.268463,NA,83.732,NA,27.47839497,26.27166071,1.4,0,1,1,77354
NA,156.9,71.04,33.8,34.3,4544.832134,NA,61.147,51.7,22.43653817,24.37650146,48.7,68,46002,24251,33933611
NA,8.1,12.81,7.5,NA,879.2413213,NA,77.016,75.8,25.82569643,27.96185992,4.9,0,9,7,98728
6.2,12.5,12.06,9.5,6.2,949.6708534,7.587625835,76.667,76,28.01768234,27.79858856,6.3,8,7030,4776,45605823
4.8,14.2,10.55,9,2.9,791.1301337,NA,75.087,74.4,25.74388941,27.19451321,7.4,0,308,207,2968128
4.5,3.5,4.17,3.6,2.6,335.9743509,6.411221076,83.436,82.1,27.71849093,26.87308177,2.2,1,1025,714,25788217
11.6,3.5,3.81,3,2.6,281.0260831,9.201562236,81.544,81.1,26.67288696,24.74923974,2.1,0,247,178,9043072
