"","total_confirmed_deaths_due_to_covid_19_per_million_people"
"1",39.277
"2",169.226
"3",44.035
"4",931.858
"5",8.215
"6",30.635
"7",657.805
"8",419.474
"9",35.49
"10",111.698
"11",67.856
"12",335.666
"13",185.709
"14",35.449
"15",24.359
"16",102.124
"17",942.309
"18",128.263
"19",3.382
"20",742.909
"21",336.502
"22",8.93
"23",743.068
"24",6.857
"25",167.088
"26",3.205
"27",0.084
"28",16.048
"29",264.982
"30",169.068
"31",12.837
"32",5.844
"33",733.723
"34",3.293
"35",600.693
"36",8.05
"37",16.672
"38",260.889
"39",4.625
"40",114.487
"41",11.301
"42",28.542
"43",3.394
"44",122.406
"45",61.741
"46",205.201
"47",713.482
"48",60.801
"49",148.315
"50",59.16
"51",55.03
"52",12.569
"53",2.231
"54",63.891
"55",544.493
"56",24.262
"57",49.241
"58",63.422
"59",121.539
"60",10.17
"61",56.893
"62",204.571
"63",5.406
"64",20.833
"65",151.292
"66",20.346
"67",266.442
"68",163.348
"69",32.234
"70",86.963
"71",49.4
"72",396.45
"73",266.617
"74",382.762
"75",286.868
"76",623.534
"77",66.19
"78",13.678
"79",65.47
"80",118.285
"81",17.37
"82",177.026
"83",174.428
"84",33.4
"85",86.441
"86",20.072
"87",16.213
"88",118.173
"89",26.221
"90",51.795
"91",234.833
"92",8.812
"93",9.566
"94",7.353
"95",68.45
"96",6.716
"97",124.564
"98",35.056
"99",7.863
"100",696.596
"101",423.901
"102",25.482
"103",437.855
"104",93.334
"105",2.848
"106",21.081
"107",52.343
"108",30.065
"109",416.227
"110",5.184
"111",23.549
"112",2.85
"113",5.506
"114",51.649
"115",235.576
"116",30.599
"117",614.17
"118",0.782
"119",186.049
"120",1038.977
"121",64.363
"122",121.94
"123",232.526
"124",79.832
"125",341.725
"126",182.198
"127",2.702
"128",1237.551
"129",68.443
"130",153.071
"131",19.231
"132",117.274
"133",9.277
"134",4.786
"135",32.237
"136",92.355
"137",6.544
"138",321.251
"139",8.992
"140",5.003
"141",754.96
"142",0.887
"143",19.088
"144",189.215
"145",585.983
"146",222.887
"147",15.714
"148",8.493
"149",0.352
"150",0.845
"151",6.523
"152",75.742
"153",83.174
"154",117.976
"155",2.252
"156",150.685
"157",48.734
"158",668.253
"159",684.958
"160",15.545
"161",16.642
"162",27.43
"163",0.36
"164",20.117
"165",18.93
"166",16.282
"167",237.838
