"","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
"1",2.375
"2",5.365
"3",4.745
"4",NA
"5",3.795
"6",NA
"7",5.901
"8",5.488
"9",7.137
"10",7.213
"11",5.173
"12",NA
"13",6.173
"14",5.28
"15",NA
"16",5.821
"17",6.839
"18",5.956
"19",4.408
"20",5.559
"21",5.516
"22",3.471
"23",6.11
"24",NA
"25",5.598
"26",4.741
"27",3.775
"28",5.241
"29",7.025
"30",NA
"31",3.476
"32",4.251
"33",6.151
"34",5.771
"35",5.709
"36",4.609
"37",5.213
"38",6.998
"39",5.257
"40",6.508
"41",5.418
"42",6.26
"43",4.311
"44",7.515
"45",4.369
"46",5.168
"47",5.354
"48",4.472
"49",5.462
"50",NA
"51",6.453
"52",4.549
"53",NA
"54",7.889
"55",6.714
"56",4.914
"57",5.164
"58",5.123
"59",7.312
"60",5.319
"61",5.788
"62",6.262
"63",4.768
"64",NA
"65",5.993
"66",3.615
"67",5.93
"68",6.038
"69",7.575
"70",4.225
"71",5.347
"72",4.865
"73",4.785
"74",7.035
"75",7.195
"76",6.488
"77",6.309
"78",6.118
"79",4.094
"80",6.168
"81",4.547
"82",6.106
"83",6.25
"84",6.229
"85",4.024
"86",3.512
"87",5.121
"88",5.33
"89",NA
"90",6.391
"91",7.404
"92",4.339
"93",3.869
"94",5.428
"95",5.198
"96",4.988
"97",6.157
"98",4.153
"99",6.015
"100",5.964
"101",5.812
"102",NA
"103",5.722
"104",4.803
"105",4.932
"106",4.431
"107",4.451
"108",5.449
"109",7.504
"110",7.257
"111",6.113
"112",5.004
"113",5.503
"114",7.29
"115",6.853
"116",4.443
"117",6.086
"118",NA
"119",5.653
"120",5.999
"121",5.08
"122",6.139
"123",5.768
"124",6.375
"125",6.13
"126",5.495
"127",3.268
"128",NA
"129",NA
"130",6.56
"131",5.489
"132",6.042
"133",3.447
"134",6.378
"135",6.519
"136",6.462
"137",4.668
"138",4.947
"139",5.793
"140",2.817
"141",6.502
"142",4.213
"143",4.139
"144",6.269
"145",7.314
"146",7.508
"147",3.462
"148",5.373
"149",3.786
"150",5.885
"151",4.179
"152",6.192
"153",4.731
"154",4.862
"155",4.641
"156",5.27
"157",6.458
"158",6.798
"159",7.028
"160",6.31
"161",6.154
"162",4.574
"163",5.467
"164",4.197
"165",4.838
"166",3.16
"167",6.897
