"","mis_included_vars_bootstrap","Freq"
"1","age_standardised_diabetes_prevalence_female",1000
"2","all_causes_disability_adjusted_life_years_who_2015",693
"3","hospital_beds_per_1_000_population_oecd",926
"4","hospitals_per_million_population_oecd",19
"5","income_classification_world_bank_2017",970
"6","income_support",988
"7","life_expectancy",277
"8","life_satisfaction_in_cantril_ladder_world_happiness_report_2019",30
"9","nurses_per_1_000_population_oecd",353
"10","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure",988
"11","prevalence_of_obesity_both_sexes_who_2019",1000
"12","share_of_population_covered_by_health_insurance_ilo_2014",4
