,missForest_ful_included_vars_bootstrap,Freq
1,age_standardised_diabetes_prevalence_male,968
2,all_causes_disability_adjusted_life_years_who_2015,3
3,gdp_per_capita,23
4,gini_index,1
5,hospital_beds_per_1_000_population_oecd,490
6,hospitals_per_million_population_oecd,14
7,income_classification_world_bank_2017,303
8,income_support,1000
9,life_satisfaction_in_cantril_ladder_world_happiness_report_2019,997
10,nurses_per_1_000_population_oecd,999
11,out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure,1000
12,physicians_per_1_000_population_oecd,121
13,population_with_access_to_improved_sanitation_y,694
14,prevalence_of_obesity_both_sexes_who_2019,1000
15,share_of_population_covered_by_health_insurance_ilo_2014,247
16,yll_rates_from_all_air_pollution_per_100_000,171
