"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","population_with_access_to_improved_sanitation_y","age_standardised_diabetes_prevalence_male","age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","national_poverty_lines_jolliffe_and_prydz_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","stringency_index","income_support","debt_relief","containment_index","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors","child_mortality_1950_2017_ihme_2018_x","life_expectancy","total_population_gapminder_hyde_un"
"1",39.277,65.7106645,10761942,11.565728,12.2499833,5.5,2.375,149.52820071,"1",38.247648,1934.555,2.6715,133.8647,52.31,"0","0",42.8,68970,29.559,183.9278576,32.5,40.3264,11.0051,5.0959,2.8249,144.16689,1.6701e+11,55.77,64.833,39835428
"2",169.226,42.00774,2684815,7.6878707,7.081062,21.7,5.365,225.27,"3",33.17109,11104.1665,3.8,225.28,37.96,"1","1",43.21,29903,23.6,773.6782919,78.2,25.767,8.9741,5.206,4.4558,440.42001,2.01e+09,13.99,78.573,2872934
"3",44.035,25.60362,34927459,12.2647583,12.5937459,27.4,4.745,247.73,"3",27.61573,14228.025,4.3964,371.1799,50.46,"1","1",57.56,34790,85.2,1031.16964,63.7,28.3225,8.4231,4.4471,3.2918,289.74506,3e+08,24.11,76.88,44616626
"4",931.858,1.2310056842,78014,8.0856197,5.8184757,25.6,6.84041,1482.7141927,"4",32.687888,53536.523138,21.9143,1387.8141,46.3,"2","1",59.52,18445.73,94.907,5948.635486,94.6,22.6447,16.4175,5.1436,3.6569,2164.9558,1.6992e+10,2.11,83.732,77354
"5",8.215,90.50985,14375401,8.5194139,7.825495,8.2,3.795,120.76,"2",51.27211,7771.4418,2.17,120.74,56.94,"0","0",51.61,93709,0,195.5144172,40.7,38.741,11.7674,5.1995,2.7477,65.277954,4.999e+10,71.04,61.147,33933611
"6",30.635,17.226156731,87487,9.9233293,13.0083446,18.9,5.87762,424.1318955,"4",43.5294767,19029.278908,5.4649,422.5942,61.8846999999999,"1","0",67.1914,28075.13,51.1,1105.111025,66.7,28.5712,9.8554,5.0647,3.4441,268.01904,2.6e+08,12.81,77.016,98728
"7",657.805,8.5967,41854725,9.8786283,9.4600896,28.3,5.901,504.4790986,"3",39.5536918,18556.3831,5.8248,477.3217,75.93,"1","1",74.17,26808,96.8,1389.840341,68.4,24.4564,7.883,4.0196,2.6467,245.00212,8.1e+08,12.06,76.667,45605823
"8",419.474,36.6346,2610670,10.986533,11.9752651,20.2,5.488,211.11,"2",29.87821,11454.4251,3.87,192.27,50.9446,"1","2",56.4844,35083,100,883.2206519,67.5,26.9041,8.7888,5.1709,4.796,720.97192,5.41e+09,10.55,75.087,2968128
"9",35.49,0.7444149,23789338,6.7891865,4.9997449,29,7.137,1765.88,"4",34.39943,49830.7993,28.14,1655.85,71.76,"0","0",74.17,17696,100,4491.629858,89.8,55.89,15.25,4.49,3.84,838.4942,98511200000,4.17,83.436,25788217
"10",111.698,0.5476114,8633169,5.4147456,3.2164117,20.1,7.213,1681.71,"4",30.84879,42988.0709,27.02,1634.26,56.02,"2","2",68.15,19763,99.3,5138.184731,88.2,30.8,16.0392,5.8189,7.37,920.96967,40599500000,3.81,81.544,9043072
