"school_closures","workplace_closures","cancel_public_events","close_public_transport","public_information_campaigns","restrictions_internal_movements","international_travel_controls","fiscal_measures","emergency_investment_healthcare","investment_vaccines","contact_tracing","stringency_index","restriction_gatherings","stay_home_requirements","income_support","debt_relief","international_support","testing_policy","containment_index","facial_coverings","vaccination_policy","effectiveness_larson_et_al_2016","population_with_access_to_improved_sanitation_x","population_without_access_to_improved_sanitation_x","daily_icu_occupancy","daily_icu_occupancy_per_million","daily_hospital_occupancy","daily_hospital_occupancy_per_million","weekly_new_icu_admissions_per_million","weekly_new_hospital_admissions_per_million","importance_larson_et_al_2016","safety_larson_et_al_2016"
"2","2","2","0","0","1","4","0","0","0","0",52.31,"4","0","0","0","0","1",42.8,"3","1",5.8,10761942,22974552,1772.44,52.14784,3901.55,545.669085,51.53027,238.11622,3.6,8.5
"2","1","1","0","1","0","0","0","0","0","0",37.96,"3","2","1","1","0","3",43.21,"2","4",10.244,2684815,195888,957.953333333333,37.77528,2620.14,272.0976,28.6234,196.41232,6.611,15.0165
"1","1","2","1","2","0","2","0","0","0","2",50.46,"4","2","1","1","0","2",57.56,"3","3",7.8,34927459,4944069,14,0.314,2472.49,99.4429966666667,11.39549,56.6161,1.2,4.6
"1","1","1","1","2","0","2","0","0","0","2",46.3,"4","0","2","1","0","3",59.52,"2","5",6.2115,78014,0,123.096666666667,13.51082,481.95,68.5051833333333,7.436544,39.00094,4.852,9.389
"0","2","1","1","2","2","3","0","0","0","0",56.94,"3","1","0","0","0","2",51.61,"2","3",7.505,14375401,13483904,1724.07,22.675135,4671.96,171.42055,19.55083,61.4749,4.04,10.6645
"1","1","1","0","2","0","2","0","0","0","2",43.3573,"4","0","2","2","0","3",53.58784,"2","5",8.069,87487,8232,345.18,15.31736,1880.2,105.84731,9.459034,38.61622,5.44833333333334,9.987
"1","2","2","2","2","2","4","0","0","0","2",75.93,"4","2","1","1","0","2",74.17,"3","4",1.3,41854725,1563040,1483.41,18.2199,8586.39,132.53886,9.96969,58.89121,0.5,1.2
"1","1","1","0","2","0","1","0","0","0","2",34.9696,"1","0","0","0","0","3",43.0931,"2","5",13.9,2610670,306280,592.42,47.36016,2190.91,557.707305,72.07381,284.94326,7.6,21.6
"2","3","2","1","2","2","4","0","0","0","2",71.76,"4","2","0","0","0","2",74.17,"3","4",4.3,23789338,0,2080.25,24.66906,7213.25,151.41906,17.765814,75.53017,3.5,5.4
"2","2","1","1","2","2","3","0","0","0","2",56.02,"2","0","2","2","0","3",68.15,"2","5",11.8,8633169,0,226,24.992,832,92.004,12.0832,73.09172,9.5,14.5
"2","2","2","1","2","0","4","0","0","0","2",61.11,"3","1","0","0","0","2",64.29,"2","5",13.3,8616862,1032479,1946.46,53.12775,5410.87,547.69059,52.16975,213.59473,13.9,13.7
"2","2","1","0","2","2","1","0","0","0","2",57.41,"4","2","1","1","0","3",71.43,"4","5",7.619,355891,30947,1185.17,26.66066,4213.98,106.95283,13.16745,59.00738,5.076,9.928
"3","2","0","0","2","0","3","0","0","0","2",53.7,"3","2","2","1","0","3",66.43,"4","4",5.768,1360880,10975,337.88,14.91205,1548.95,79.07436,6.794044,56.4027866666667,3.439,9.103
"3","2","0","0","2","0","2","0","0","0","0",35.19,"0","0","0","0","0","3",39.76,"4","2",5.1,97687737,63513149,984.09,35.64618,3521.15,391.547695,25.6692,183.85657,0.3,0.2
"2","2","1","0","2","0","1","0","0","0","2",50,"3","2","1","1","0","3",57.5,"3","4",7.623,273417,10800,836.69,21.2933,2632.25,137.5084,14.462454,74.1461,5.14599999999999,11.135
"0","1","1","0","2","0","3","0","0","0","2",43.52,"4","1","0","0","0","3",46.9,"1","2",7.185,8948708,540908,412.65,16.57911,3150.12,138.75201,19.60075,79.40189,4.782,9.9765
"1","2","1","0","2","0","3","0","0","0","2",47.22,"4","0","2","1","0","3",61.9,"3","5",5.1,11217825,56371,256,22.008,1168,100.41,8.43563,47.907,2.6,14
"3","2","1","1","2","2","1","0","0","0","2",66.67,"3","1","1","2","0","2",71.55,"3","3",7.854,325156,34132,1247.31,21.66158,6379.44,158.4226,12.46141,71.27564,4.354,10.384
"0","0","2","0","2","1","1","0","0","0","2",38.89,"3","0","1","1","0","1",45.6,"3","4",13.019,2083463,8492489,1502.37,60.04774,4239.84,609.655755,50.86044,258.7276,10.332,18.612
"2","1","1","1","2","1","4","0","0","0","1",56.48,"1","2","1","2","0","3",62.26,"4","4",8.79199999999999,5394527,5330178,1420.56,47.60478,3896.5,457.60424,34.16539,195.0375,5.874,14.436
"1","1","1","0","2","0","1","0","0","0","0",35.19,"3","0","1","0","0","3",40,"2","3",26,3352091,183870,876.38,51.36317,2573.68,499.341325,48.47664,228.54027,10.9,36.3
"1","1","1","0","2","2","1","0","0","0","2",53.7,"3","2","0","2","0","3",57.62,"2","2",8.017,1400631,808566,1435.66,33.57743,3804.89,203.39124,24.0746,130.31786,5.219,14.6645
"2","3","2","1","2","2","1","0","0","0","0",60.65,"3","2","1","0","0","1",56.61,"4","4",4.5,170536625,35425483,2444.86,29.72929,5590.89,223.2683,12.53112,87.71043,0.7,6
"3","3","2","1","2","0","4","0","0","0","2",79.63,"4","2","0","0","0","3",82.14,"4","5",7.986,33395853.61,17647170.85,1705.18,28.51856,8259.75,188.72685,23.28261,84.09999,6.276,10.835
"2","2","1","1","2","1","3","0","0","0","1",62.96,"3","1","2","1","0","1",57.14,"2","5",7,6173072,1004919,602,87.289,6792,984.825,36.2939,188.28175,5,12.1
"0","0","0","0","2","0","1","0","0","0","1",13.89,"0","0","0","2","0","2",28.69,"4","3",16.136,3567793,14542831,995.3,56.38253,3213.99,509.226525,52.68458,279.97919,10.6905,21.318
"0","2","0","0","1","0","1","0","0","0","0",15.74,"0","0","1","1","0","1",14.29,"1","0",14.629,4895650,5303620,1075.1,57.63382,3541.28,560.919515,52.37752,242.16722,10.762,19.681
"0","0","1","0","2","0","2","0","0","0","0",30.56,"3","0","0","0","0","3",39.29,"3","5",14.023,10458211,12376311,1059.84,54.75478,3582.95,571.973585,64.53709,285.43057,9.52833333333333,16.0482
"2","2","1","1","2","2","4","0","0","0","1",60.65,"4","1","1","1","0","2",62.5,"3","5",10.5,35776913,71697,593,15.577,1858,48.808,12.5084,52.3632366666667,6.3,12
"1","2","2","0","2","2","1","0","0","0","0",59.26,"4","1","1","2","0","3",57.26,"3","3",7.494,384763,148150,607.81,16.734,2452.57,111.87973,12.81332,53.85689,4.782,10.707
"0","0","0","0","2","0","2","0","0","0","0",24.07,"0","2","0","0","0","2",28.45,"3","2",11.45,991050,3555050,829.44,39.54988,3136.32,501.603285,37.74311,226.43308,6.82533333333333,12.371
"0","0","0","0","2","0","2","0","0","0","1",25,"3","0","0","1","0","2",32.98,"4","1",14.507,1695139,12314274,1016.56,57.09737,2685.09,549.850425,71.76234,348.9731,9.99133333333333,18.236
