"religious_compatibility_larson_et_al_2016","child_mortality_estimates_gapminder_2015","child_mortality_1950_2017_ihme_2018_x","inequality_in_life_expectancy_2015_2020","inequality_in_education_2017","infant_mortality_rate","international_historical_statistics_deaths_per_1_000_brian_mitchell_2013","life_expectancy","population_x","life_expectancy_1950_2015_un_population_division_2015","mean_bmi_male","mean_bmi_female","neonatal_mortality_rate_via_childmortality_org_2015","number_of_child_deaths_1950_2017_ihme_2017","number_of_infant_deaths_ihme_2017","number_of_neonatal_deaths_ihme_2017","total_population_gapminder_hyde_un","population_by_country_and_region_historic_and_projections_gapminder_hyde_un","share_of_world_population"
9.3,91.1,55.77,28.4,45.4,5616.784475,7.46387680233,64.833,38042000,59.8,22.68245614,24.23413457,35.5,87,71861,36983,39835428,74937961,0.0051
15.958,14,13.99,9.2,8.5,1089.713154,5.073224387,78.573,2881000,77.5,27.17447081,26.50751203,6.2,0,392,251,2872934,1088338,4e-04
18.9,24,24.11,15.1,33.7,1398.36594,6.06403540762,76.88,43053000,74.4,24.86538555,26.56116565,15.5,15,13121,9039,44616626,70704619,0.0057
13.24,2.8,2.11,3.29,9.4,174.268463,7.44975893778,83.732,77000,80.8740000000001,27.47839497,26.27166071,1.4,0,1,1,77354,62406,0
9.767,156.9,71.04,33.8,34.3,4544.832134,7.43853775611,61.147,31825000,51.7,22.43653817,24.37650146,48.7,68,46002,24251,33933611,188283132,0.0043
16.433,8.1,12.81,7.5,17.431,879.2413213,7.10882096398,77.016,97000,75.8,25.82569643,27.96185992,4.9,0,9,7,98728,102048,0
6.2,12.5,12.06,9.5,6.2,949.6708534,7.587625835,76.667,44781000,76,28.01768234,27.79858856,6.3,8,7030,4776,45605823,56802493,0.0058
4.8,14.2,10.55,9,2.9,791.1301337,9.76231362805,75.087,2958000,74.4,25.74388941,27.19451321,7.4,0,308,207,2968128,2038613,4e-04
4.5,3.5,4.17,3.6,2.6,335.9743509,6.411221076,83.436,25203000,82.1,27.71849093,26.87308177,2.2,1,1025,714,25788217,42876774,0.0033
11.6,3.5,3.81,3,2.6,281.0260831,9.201562236,81.544,8955000,81.1,26.67288696,24.74923974,2.1,0,247,178,9043072,8676844,0.0011
14.7,31.7,38.24,17,3.8,3196.537872,6.36153018391,73.005,10048000,70.6,26.24688161,28.15375814,18.2,6,5233,3410,10223344,9192141,0.0013
9.834,12.1,13.61,8.7,6.3,1062.501087,9.38354089608,73.918,389000,75.1,27.28640266,29.0596084,6.9,0,50,31,396914,460116,1e-04
17.019,6.2,7.52,5.6,19,533.1194641,7.97916625713,77.292,1641000,76.4,24.895558,24.79195613,1.1,0,107,55,1748295,2251891,2e-04
24.6,37.6,34.26,17.3,37.3,3186.298445,6.28476495113,72.591,163046000,71,21.40108169,22.05260608,23.3,108,90109,68140,166303494,151393018,0.0211
12.301,13,13.59,7,5.5,1116.610777,8.070839579,79.19,287000,75.4,26.51546778,29.41101997,8,0,32,24,287708,214788,0
11.08,4.4,7.34,4.9,3.7,488.1843388,11.53693058201,74.791,9452000,71.1,26.629948,26.91237453,1.9,1,512,351,9442867,7429673,0.0012
18.8,4.1,4.12,3.6,8.7,296.4014971,9.605525429,81.628,11539000,80.5,26.8013405,25.74971353,2.2,0,361,236,11632334,12492831,0.0015
11.435,16.5,19.67,10.1,15.9,1652.2555,8.08897372601,74.623,390000,69.8,27.63242364,30.75287977,8.3,0,126,86,404915,620439,1e-04
10.902,99.5,89.8,35,43.7,5390.388716,7.66407655414,61.771,11801000,59.2,22.66670723,24.57959394,31.8,34,21620,12085,12451031,47208998,0.0016
16.139,38.4,32.44,25.2,20,2118.418775,5.66187793841,71.513,11513000,67.7,25.42187349,27.92672885,19.6,8,6255,3737,11832936,17390956,0.0015
20.2,6,7.04,5.9,19.8,555.5097578,8.96976063247,77.401,3301000,76.3,26.53071356,25.34013918,4,0,159,141,3263459,1641054,4e-04
15.09,53.3,25.14,18.6,22.869,1561.28169,6.53418380726,69.592,2304000,64.1,22.63366824,26.29687711,21.9,1,751,509,2397240,4165861,3e-04
3.1,13.3,20.19,10.8,22,1493.520601,7.7615247894,75.881,211050000,74.1,26.47157714,27.03856248,8.9,51,44940,23677,213993441,180682762,0.0272
12.388,10.3,9.97,5.5,8.75399999999999,777.6068771,9.51668027138,75.86,433000,78.4,27.31810115,27.33141526,4.3,0,52,29,441532,389884,1e-04
6,10.7,8.56,6.7,6.5,627.6093553,14.62181767,75.046,7e+06,74,27.32226907,25.93015482,5.6,0,379,231,6896655,3588337,9e-04
11.778,88.6,115.59,32,39.2,6132.224096,7.44252475244,61.577,20321000,58.1,22.25253512,22.1477769,26.7,87,49380,22392,21497097,83194233,0.0027
12.568,81.7,86.61,38.1,39.5,5247.735039,7.23605885683,61.584,11531000,56.1,21.85867709,21.60407468,28.6,31,20389,10359,12255429,50904072,0.0016
10.404,88.7,78.71,33.7,33,4273.025088,7.50692448675,59.292,25876000,54.9,23.65643975,25.22671897,25.7,55,35507,17820,27224262,90225178,0.0035
9.9,4.9,5.81,4.3,1.4,465.0432088,7.232596158,82.434,37411000,81.8,27.45423618,26.76370753,3.2,2,1819,1178,38067913,56953224,0.0048
15.856,24.3,23.31,13.3,23.7,2002.559261,6.76880563134,72.981,550000,73,23.80060003,25.42787529,12.2,0,196,136,561901,603949,1e-04
12.242,130.5,131.1,41.7,34.5,11915.67596,7.51841582293,53.283,4745000,49.5,22.07918352,23.78232058,42.6,22,14800,7142,4919987,11631410,6e-04
11.959,138.7,122.75,42.4,43,7102.314108,7.30679824344,54.239,15947000,51.1,22.05057441,21.97868164,39.3,80,47731,22314,16914985,61849820,0.0021
13.489,8.1,7.88,6.1,7.5,627.4581196,5.37883863,80.181,18952000,81.2,27.99180302,28.34360496,4.9,2,1519,1118,19212362,17332335,0.0024
26.3,10.7,13.16,7.9,11.5,720.4156658,7.065046376,76.912,1433784064,75.4,24.27643908,23.59199764,5.5,165,132753,65418,1444216102,1064993456,0.1834
18.7,15.9,15.61,13.2,19.4,1160.255384,5.8,77.287,50339000,73.7,25.990732,26.75453166,8.5,12,9769,6117,51265841,45221276,0.0065
13.583,73.5,50.19,28.9,47.6,3404.656635,7.56129277400999,64.321,851000,62.8,23.36117402,25.76026031,34,1,592,383,888456,2186509,1e-04
16.575,45,59.9,25.1,21.5,3457.201389,6.36875874024,64.57,5381000,61.4,22.39378052,24.22026121,18,7,4385,2418,5657017,20961987,7e-04
16.902,9.7,8.8,7.5,11.9,704.711585,4.181638798,80.279,5048000,79.2,26.9095007,28.10500815,6.2,1,491,374,5139053,4797969,7e-04
10.034,94.4,94.67,34.2,47.4,5579.573984,7.43258749684,57.783,25717000,51,23.47829494,24.24784698,37.9,66,45573,25672,27053629,96632721,0.0034
11.933,4.3,4.59,4.1,5,356.288517,7.67764776731,78.488,4130000,77,28.1976285,27.03333448,2.6,0,133,101,4081657,2183314,5e-04
15.91,5.6,5.71,5.3,10.9,381.9394847,7.735580744,78.802,11333000,79.2,25.37309739,26.20142057,2.3,1,432,253,11317498,6671461,0.0014
13.738,3.4,3.2,3.6,11.7,251.0092208,6.708211463,80.982,1199000,79.9,27.73522915,26.22650471,1.5,0,28,19,1215588,1308911,2e-04
9.3,98.3,87.31,36.1,26.3,5794.176295,7.5149493833,60.681,86791000,58.1,21.44356804,22.70869215,30.1,253,160849,80224,92377986,362031082,0.0117
10.5,3.5,4.05,3.4,4.3,322.1204886,9.804800291,80.898,5772000,80,26.27862334,24.55769869,2.5,0,194,130,5813302,6872907,7e-04
