"mean_monthly_income","income_classification_world_bank_2017","gini_index","gdp_per_capita","cost_of_closing_the_poverty_gap_in_int_2011_povcal_net_world_bank_2017","national_poverty_lines_jolliffe_and_prydz_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_health_to_overall_poverty_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","mean_monthly_per_capita_expenditure_in_2011_int_povcal_net_2017","poverty_rate_50_percent_of_median_lis_key_figures_2018","gdp_growth_per_capita_from_previous_year_2020_q2"
124.9457007,"1",38.555632,1934.555,1094.101537235,2.264,66.2,39.7,28.6,31.7,104.0827,16.60556,-0.000254742117058825
225.27,"3",33.17109,11104.1665,4.0223,3.8,1.4,32,44.9,23,225.28,14.63787,-0.00210007402042592
247.73,"3",27.61573,14228.025,10.054383805,4.5386,1.5,46,32.7,21.3,280.1719,13.68057,-0.00187828156087214
1423.5865929,"4",30.7966243,74086.9704333333,6.14681644499996,26.2353,1.079,27.387,57.684,14.694,1438.1268,9.50904000000001,-0.00334480922574609
120.76,"2",51.27211,7771.4418,1392.07642,2.17,41.263,21.207,34.572,42.982,120.74,19.28558,-0.000175756546028332
1423.5865929,"4",30.7966243,74086.9704333333,6.14681644499996,26.2353,1.079,27.387,57.684,14.694,1438.1268,9.50904000000001,-0.00334480922574609
393.618698,"3",42.4482376,18556.3831,256.282925,5.6704,2.9,41.9,12.9,45.2,378.6545,19.50444,-0.000709419544597231
211.11,"2",29.87821,11454.4251,11.611964,3.87,0.3,25.8,64.8,9.4,192.27,14.57187,-0.00323482922401442
1765.88,"4",34.39943,49830.7993,6.56307594999998,28.14,1.204,24.774,60.8540000000001,14.693,1655.85,13.939,-0.00319479179589439
1681.71,"4",30.84879,42988.0709,7.18943821499998,27.02,1.069,25.779,60.3320000000001,14.926,1634.26,8.778,-0.00147073947232522
315.14001,"3",26.55491,16628.0553,8.492601,5.19,5.3,24.4,49.4,26.2,312.41,14.51607,-0.00124338371320492
1423.5865929,"4",30.7966243,74086.9704333333,6.14681644499996,26.2353,1.079,27.387,57.684,14.694,1438.1268,9.50904000000001,-0.00334480922574609
1373.3544948,"4",30.4716608,39498.7672,6.14681644499996,24.0838,1.082,27.387,57.381,14.694,1352.9732,9.42295000000001,-0.00366145349821833
117.31,"2",32.38527,4099.253,2016.32351,2.4384,41.3,21.1,32.5,46.4,109.03,16.62604,-0.000367302898445073
492.58299561,"4",33.1984021,11995.1868,202.377773345,7.6228,0.9,0,97.4,2.6,514.9739,14.46733,-0.0029321959501628
571.14001,"3",25.27785,18727.3176,0,7.59,0,16.6,61.8,21.7,646.27,12.8424,-0.00180857861901622
