"indoor_80_years","indoor_under_5s","outdoor_80_years","outdoor_under_5s","excess_mortality_from_air_pollution_all_sources","excess_mortality_from_fossil_fuels","excess_mortality_from_all_anthropogenic_pollution","total_years_life_lost_from_air_pollution_all_sources","total_years_life_lost_from_fossil_fuels","total_years_life_lost_from_all_anthropogenic_pollution","death_rates_from_all_air_pollution_per_100_000","death_rates_from_air_pollution_from_fossil_fuels_per_100_000","death_rates_from_all_anthropogenic_air_pollution_per_100_000","yll_rates_from_all_air_pollution_per_100_000","yll_rates_from_air_pollution_from_fossil_fuels_per_100_000","yll_rates_from_anthropogenic_air_pollution_per_100_000","deaths_from_fossil_pollution_as_a_share_of_total_air_pollution_deaths","deaths_from_fossil_pollution_as_a_share_of_total_anthropogenic_air_pollution_deaths","deaths_from_anthropogenic_pollution_as_a_share_of_total_air_pollution_deaths","indoor_5_to_49","indoor_50_to_79","outdoor_5_to_49","outdoor_50_to_79"
2024,6948,1635,5156,25376,2494,4384,1224383,107238,195192,78.01518738,7.66747625,13.47803363,3764.205122,329.6891813,600.0922311,9.828184111,56.88868613,17.27616646,7182,18203,5793,14841
336,13,507,10,2860,1308,1530,59005,26908,31502,98.72281671,45.15015533,52.81325509,2036.762168,928.8229203,1087.400759,45.73426573,85.49019608,53.4965035,57,597,75,830
34,2,4121,180,32100,2008,2809,884673,52344,73671,80.92368972,5.062142335,7.081453097,2230.249326,131.958555,185.7236494,6.255451713,71.48451406,8.750778816,13,62,1368,7305
0,0,15,0,3478.57,1632.26,2349.19,80245.54,26873.34,36990.14,91.3809668870001,43.4645681974,65.0001926007,1770.535035588,788.77764574,1221.544200755,46.7354886039,65.6610999635,72.2880999793,0,0,0,12
712,2399,718,1962,18239,622,10433,1088251,36028,624177,72.89185517,2.485812485,41.69530813,4349.176724,143.9852929,2494.512829,3.410274686,5.961851816,57.20160096,1146,3645,1037,3610
0,0,6,0,60,4,5,1335,91,110,65.2173913,4.347826087,5.434782609,1451.086957,98.91304348,119.5652174,6.666666667,80,8.333333333,0,0,1,12
540,7,6776,68,16568,3815,11651,347196,78922,243556,38.16016943,8.78688112,26.83511191,799.6775825,181.7767318,560.9692315,23.02631579,32.74397047,70.32230806,69,587,882,8080
238,11,813,26,4168,1240,1270,89011,26287,26872,138.1047051,41.08681246,42.08084824,2949.337309,871.0072896,890.3909874,29.75047985,97.63779528,30.47024952,36,364,113,1197
33,0,1790,1,11697,1451,2938,204526,24881,50874,48.80053199,6.053652382,12.25749876,853.2938023,103.8049104,212.2491463,12.40489014,49.38733833,25.11755151,2,25,105,1202
44,0,1872,1,11293,7835,10117,190288,131882,170403,132.1591419,91.69103667,118.3967094,2226.892659,1543.381914,1994.1835,69.37926149,77.4439063,89.58646949,1,41,76,1505
390,150,1562,424,12462,1381,1682,331765,35515,43250,127.762969,14.15829403,17.2442075,3401.322534,364.107033,443.4078327,11.08168833,82.10463734,13.49703097,216,1094,748,4152
3,0,24,1,207,44,61,5643,1213,1682,53.35051546,11.34020619,15.72164948,1454.381443,312.628866,433.5051546,21.25603865,72.13114754,29.46859903,0,6,12,59
1,0,52,4,893,125,143,26300,3482,4020,64.85112564,9.077705156,10.3848947,1909.949165,252.8685548,291.9389978,13.99776036,87.41258741,16.01343785,0,6,58,194
23742,7190,26503,7213,175170,72971,129786,5090921,2021995,3705716,108.8039407,45.32472659,80.6144217,3162.141158,1255.928664,2301.744043,41.65724725,56.22409197,74.09145402,16625,59314,17334,64439
0,0,44,1,357,15,27,7007,305,541,125.7042254,5.281690141,9.507042254,2467.253521,107.3943662,190.4929577,4.201680672,55.55555556,7.56302521,0,0,6,52
76,0,3180,4,13963,10938,13956,307217,240546,307075,147.0408593,115.1853412,146.9671441,3235.225358,2533.129739,3233.729992,78.33560123,78.37489252,99.94986751,16,153,529,5943
31,0,2883,2,14251,7305,11554,240286,122953,194663,126.1262059,64.65173909,102.2568369,2126.612975,1088.175945,1722.833879,51.25956073,63.22485719,81.07501228,1,23,109,2235
7,2,17,3,129,25,52,3922,702,1555,35.93314763,6.963788301,14.48467967,1092.479109,195.5431755,433.1476323,19.37984496,48.07692308,40.31007752,5,17,9,47
655,1735,526,1390,10110,300,2589,459373,11652,105282,92.92280266,2.757353195,23.79595807,4222.178697,107.0955981,967.6655301,2.96735905,11.58748552,25.60830861,1098,3568,909,2911
800,272,1410,368,3832,125,3051,117280,3779,93388,35.72960373,1.165501166,28.44755245,1093.519814,35.23543124,870.7505828,3.262004175,4.097017371,79.61899791,204,875,346,1626
659,1,1136,2,5349,3023,3522,105188,59369,69162,140.3937008,79.34383202,92.44094488,2760.839895,1558.24147,1815.275591,56.51523649,85.83191369,65.84408301,88,1314,139,2153
69,11,99,13,656,204,597,20944,6687,19121,29.00088417,9.018567639,26.39257294,925.9062776,295.6233422,845.3138815,31.09756098,34.17085427,91.00609756,89,279,115,400
2417,174,15849,453,102317,15682,65282,2662316,407885,1693114,49.22683198,7.544935632,31.40852493,1280.895476,196.2419379,814.5922808,15.32687628,24.0219356,63.80366899,877,4539,5155,31286
