"standard_deviation_of_life_satisfaction","all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","current_health_expenditure_per_capita_ppp_current_international","haq_index_ihme_2017","beds_in_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","beds_in_publicly_owned_hospitals_per_1_000_population_oecd","acute_care_beds_per_1_000_population_oecd","dentists_per_100_000_population_oecd","for_profit_privately_owned_hospitals_per_million_population_oecd","general_hospitals_per_million_population_oecd","hospitals_per_million_population_oecd","long_term_care_beds_per_1_000_population_oecd","midwives_per_1_000_live_births_oecd","not_for_profit_privately_owned_hospitals_per_million_population_oecd","nurses_per_1_000_population_oecd","physicians_per_1_000_population_oecd","psychiatric_care_beds_per_1_000_population_oecd","psychiatrists_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","years_lived_with_disability_ihme","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure","total_gross_official_disbursements_for_medical_research_and_basic_heath_sectors"
1.78398382193,68970,18.7851797562329,183.9278576,32.5,0.8061,0.5181,3.669,3.4397,1.1806,11.6194,14.7065,27.3805,0.5958,63.4652,2.5669,10.2844,4.7108,0.5836,0.1632,16.5153,0.5838,1.61607333333333,8.46,144.16689,1.6701e+11
1.72619217875,29903,23.6,773.6782919,78.2,0.5019,0.2079,2.9345,2.7892,1.1111,9.17280000000001,14.6818,26.2892,0.4732,58.2439,1.5172,9.4736,4.6414,0.492,0.1295,15.4975,0.5972,2.6053,9.83,440.42001,2.01e+09
1.71507036567,34790,85.2,1031.16964,63.7,0.622,0.2753,2.6281,2.4743,1.1991,10.0095,15.4217,25.8366,0.4466,66.6997,2.016,9.7189,4.105,0.4388,0.1202,15.4685,0.5434,1.88935,11.34,289.74506,3e+08
1.81903700471,22826.7511836363,96.5170646407686,5948.635486,94.6,0.8398,0.902000000000001,2.7447,3.3433,1.2448,10.7677,15.6515,29.3115,0.2025,80.8525,5.3863,22.2517,5.3099,0.766,0.265,15.9696,0.7086,3.64874166666667,11.33,2164.9558,11288860748.2841
1.78398382193,93709,0,195.5144172,40.7,0.8118,0.5061,3.667,3.4397,1.1806,10.7332,14.6641,27.2015,0.5762,63.695,2.5897,10.285,4.7071,0.5836,0.1646,16.1992,0.6001,2.03187333333333,8.34,65.277954,4.999e+10
1.70736510162,29832.0547634824,51.1,1105.111025,66.7,0.6565,0.2549,2.888,2.463,1.1684,11.0314,15.5173,26.72,0.5123,61.4304,1.6091,8.547,4.1644,0.4565,0.1103,15.6091,0.5096,1.698,9.83,268.01904,2.6e+08
1.72337901833,26808,96.8,1389.840341,68.4,0.6176,0.2607,2.6188,2.5698,1.1369,10.5553,15.529,26.0125,0.5084,61.023,1.8845,8.70850000000001,4.4777,0.4784,0.1218,13.6085,0.5891,2.26835238095238,9.48,245.00212,8.1e+08
1.752550863,35083,100,883.2206519,67.5,0.4838,0.1659,2.8605,2.6979,1.1374,10.3324,14.72,25.8733,0.4355,57.8316,1.7167,9.6566,4.9256,0.493,0.1318,14.8308,0.6241,2.365625,9.38,720.97192,5.41e+09
1.70585670485,17696,100,4491.629858,89.8,0.72,0.56,2.55,3.1074,0.69,22.45,38.77,55.89,0.3618,103.67,4.71,15.25,4.49,0.42,0.17,28.73,0.65,3.84,10.99,838.4942,10988867191.4255
1.920911789,19763,99.3,5138.184731,88.2,1.01,1.22,5.14,5.45,1.1372,9.66,13.19,30.8,0.66,27.58,4.43,16.4586,5.2922,0.61,0.19,16.71,1.03,7.37,10.6,920.96967,17107887228.7481
1.74037175777,33879,2.9,1191.289459,64.5,0.5518,0.381,2.7667,2.5002,1.1396,10.3588,15.4133,26.0767,0.4674,64.6415,1.7853,10.0045,4.7816,0.4627,0.1217,15.6104,0.5908,2.52810833333333,8.63,936.67621,5.29e+09
1.7946435988,30459,100,1699.052483,70.1098975495909,0.4771,0.1115,3.5722,3.356,1.1152,9.11900000000001,14.725,26.5712,0.5007,57.192,1.4752,10.0088,4.7362,0.6682,0.1421,15.7819,0.6769,3.72275833333333,8.98,471.66946,9983155024.31821
