"stringency_index","income_support"
9.26,"0"
54.63,"1"
75,"0"
59.26,"2"
65.74,"0"
52.9123,"1"
81.94,"1"
49.3546,"1"
60.65,"1"
64.81,"2"
64.35,"2"
71.76,"1"
60.19,"2"
80.09,"0"
29.63,"1"
31.48,"0"
54.63,"2"
66.67,"1"
43.52,"2"
81.48,"1"
42.59,"0"
63.89,"0"
57.87,"1"
35.19,"0"
39.35,"2"
22.22,"0"
14.81,"1"
45.37,"0"
63.43,"2"
71.3,"1"
24.07,"1"
74.07,"0"
81.94,"2"
81.94,"1"
65.74,"1"
54.1965333333334,"0"
47.22,"0"
58.33,"1"
30.56,"1"
31.48,"1"
64.81,"0"
63.89,"2"
22.22,"0"
39.81,"2"
43.52,"1"
67.59,"1"
52.78,"1"
75.93,"1"
52.78,"1"
54.1640333333334,"1"
35.19,"0"
57.41,"0"
49.07,"1"
40.74,"2"
49.54,"2"
72.22,"2"
56.48,"1"
59.26,"1"
60.65,"2"
44.44,"0"
59.72,"2"
49.54,"1"
43.06,"0"
51.9824,"1"
72.22,"0"
47.22,"1"
81.48,"1"
40.74,"0"
47.22,"2"
61.57,"0"
50.46,"1"
70.83,"0"
51.85,"1"
81.48,"2"
46.3,"1"
78.7,"1"
71.3,"1"
35.19,"2"
81.48,"1"
68.06,"0"
43.52,"0"
71.3,"1"
55.09,"0"
42.59,"0"
57.41,"0"
47.22,"0"
57.41,"0"
78.7,"0"
50.93,"0"
54.17,"1"
52.78,"2"
37.04,"1"
50.93,"1"
64.81,"1"
53.414,"1"
37.96,"1"
49.07,"2"
21.3,"0"
16.67,"2"
71.76,"1"
48.15,"1"
62.04,"2"
52.7336,"2"
65.74,"1"
59.26,"0"
78.24,"1"
44.44,"0"
63.89,"1"
62.04,"2"
22.22,"2"
8.33,"0"
14.81,"0"
50.93,"0"
43.52,"2"
50,"0"
53.24,"1"
58.33,"1"
45.37,"0"
64.81,"1"
74.07,"1"
68.98,"1"
71.3,"2"
69.44,"1"
64.81,"2"
54.63,"2"
44.91,"1"
63.89,"1"
35.19,"1"
53.3259,"1"
57.41,"2"
37.96,"1"
51.85,"2"
31.48,"0"
45.37,"2"
73.15,"2"
72.22,"2"
36.11,"0"
48.15,"1"
51.39,"1"
41.67,"0"
71.3,"2"
34.26,"0"
34.26,"1"
57.41,"1"
55.56,"2"
35.65,"2"
42.13,"0"
42.59,"1"
17.59,"0"
47.22,"2"
59.26,"1"
65.74,"0"
75,"1"
69.91,"2"
61.11,"0"
58.8,"1"
54.63,"0"
75,"2"
62.5,"2"
43.52,"2"
39.81,"1"
87.96,"0"
58.33,"1"
13.89,"0"
45.37,"0"
71.3,"1"
73.15,"2"
