"age_standardised_diabetes_prevalence_female","prevalence_of_obesity_both_sexes_who_2019"
12.2499833,5.5
7.081062,21.7
12.5937459,27.4
5.8184757,25.6
7.825495,8.2
13.0083446,18.9
9.4600896,28.3
11.9752651,20.2
4.9997449,29
3.2164117,20.1
13.0270691,19.9
13.6572693,31.6
10.6416642,29.8
9.2910122,3.6
13.7144681,23.1
7.5475883,24.5
3.4641042,22.1
15.1836179,24.1
6.9945431,9.6
8.9480019,20.2
6.909738,17.9
9.4738462,18.9
8.682263,22.1
9.676519,14.1
6.8991835,25
5.4645982,5.6
4.0934194,5.4
6.8660443,11.4
4.7614839,29.4
8.0251263,11.8
7.6084099,7.5
6.1519716,6.1
10.825427,28
7.6439389,6.2
8.7073733,22.3
8.0245183,7.8
7.6175358,9.6
8.9133927,25.7
6.312889,10.3
6.3176757,24.4
9.5670743,24.6
5.6710975,21.8
6.064558,6.7
3.2946986,19.7
7.5921335,13.5
11.4407357,27.6
8.4553857,19.9
19.8157674,32
10.6596175,24.6
9.1859882,8
6.5439834,21.2
5.0238509,4.5
18.8754833,30.2
4.3160987,22.2
4.425538,21.6
9.9846067,15
7.9299876,10.3
12.0605641,21.7
3.9049721,22.3
6.6002139,10.9
6.015919,24.9
10.3592865,21.2
6.0544232,7.7
6.8439213,9.5
12.596474,20.2
8.7666628,22.7
9.972857,21.4
6.6882506,26.4
4.1564257,21.9
8.3259159,3.9
7.9842802,6.9
12.860293,25.8
17.4914421,30.4
5.1438133,25.3
5.7613617,26.1
4.6222522,19.9
14.4098648,24.7
5.0036277,4.3
17.1804625,35.5
11.3681004,21
6.1624503,7.1
19.6190961,37.9
10.8247126,16.6
6.5982073,23.6
12.2357376,32
9.8530791,16.6
7.6008282,9.9
16.5917053,32.5
8.579931951,14.309
7.0877929,26.3
3.9014333,22.6
4.780814,5.3
6.0038419,5.8
10.7315988,15.6
10.7239682,8.6
6.3847485,8.6
6.3757008,28.9
9.4024279,12.7
13.0882746,10.8
11.5297297,28.9
8.4339062,18.9
8.579931951,14.309
6.6484069,23.3
13.3969031,26.1
6.1720894,7.2
7.8750752,5.8
7.5376131,17.2
9.4862663,4.1
3.5314209,20.4
5.9634449,30.8
10.9731792,23.7
5.3203077,5.5
6.0017798,8.9
3.8782065,23.1
12.3150791,27
12.1315271,8.6
9.7735384,22.7
14.3210734,21.3
8.2721305,20.3
8.0752417,19.7
7.272278,6.4
6.9763247,23.1
5.2866095,20.8
18.7735012,35.1
6.3776748,22.5
7.9515761,23.1
4.5413895,5.8
8.579931951,14.309
7.7847396,12.4
17.0134147,35.4
7.3062892,8.8
6.4741997,21.5
6.6353241,8.7
6.542572,6.1
6.3083978,20.5
6.9791175,20.2
6.2462293,8.3
12.631978,28.3
6.7262088,4.7
6.988743123,8.63
5.6802586,23.8
7.712655,5.2
9.4724273,18.133
13.5358311,26.4
3.9519066,20.6
2.8276539,19.5
15.2886327,27.8
9.9071062,14.2
6.1468618,8.4
8.7565508,10
7.0262178,8.4
12.9583853,18.6
12.8581778,26.9
14.1696724,32.1
4.736887,5.3
7.1748896,24.1
15.402467,31.7
4.9460228,27.8
6.4363376,36.2
9.7827532,27.9
10.7044365,16.6
8.9778599,25.6
5.1369106,2.1
10.1444687,17.1
6.6852064,8.1
7.5606705,15.5
6.6159594,26
