"all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","nurses_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
68970,18.7851797562329,10.2844,1.61607333333333,144.16689
29903,23.6,9.4736,2.6053,440.42001
34790,85.2,9.7189,1.88935,289.74506
22826.7511836363,96.5170646407686,22.2517,3.64874166666667,2164.9558
93709,0,10.285,2.03187333333333,65.277954
29832.0547634824,51.1,8.547,1.698,268.01904
26808,96.8,8.70850000000001,2.26835238095238,245.00212
35083,100,9.6566,2.365625,720.97192
17696,100,15.25,3.84,838.4942
19763,99.3,16.4586,7.37,920.96967
33879,2.9,10.0045,2.52810833333333,936.67621
30459,100,10.0088,3.72275833333333,471.66946
25533,100,11.8202,3.24804166666667,615.72601
38814,1.4,10.354,1.52118404761905,63.223766
26768,100,8.7366,2.03109166666667,557.15704
33783,100,8.9551,2.393,374.66376
19878,99,18.47,5.64,840.12659
31420,25,8.595,1.95728404761905,118.64302
65706,9,10.285,2.03187333333333,34.203602
44087,42.7,10.285,1.87670904761905,115.56576
24000,59.2,9.9374,2.60511666666667,315.49902
61513,41.9978733136095,8.6086,2.05624404761905,51.02795
31632,100,9.2366,2.3,393.65927
22941,100,10.229,3.49989166666666,125.25507
28771,87,9.23320000000001,3.39033333333333,711.14771
70891,1,10.2844,1.65017333333333,34.698746
80027,28.4,10.285,2.03187333333333,12.152169
77369,2,10.2844,1.65017333333333,113.57147
18838,100,11.6,2.5,670.91956
31195,43.7796777647174,10.285,1.88330904761905,71.923409
97115,6,10.285,1.99347333333333,12.615376
94563,14.7098756998655,10.285,1.99347333333333,56.241741
21333,93.1,2.99,2.11,613.57904
24811,96.9,10.6526,4.34,246.86253
27188,87.7,8.49560000000001,1.71,156.01645
59673,38.7712610565259,8.5625,1.85724833333333,90.556938
70611,22.5824974080773,9.3162,1.80134833333333,88.853043
23017,100,8.76060000000001,1.13,276.40625
88856,1.2,10.285,2.03187333333333,68.291847
24063,97,9.9867,3.18786666666667,251.05083
25180,100,9.30860000000001,2.7495,348.526757953102
15789,65,12.2443,3.9528,937.77203
92831,10,10.2844,1.58567333333333,12.715207
20451,100,18.23,2.5,697.55823
64677,30,8.7648,1.81314833333333,29.903355
29597,26.5,8.5801,1.94565,381.37183
29357,22.8,8.5296,1.88675,428.47943
35784,51.1,9.9671,2.637965,306.79916
36007,21.6,8.595,2.00014404761905,161.16724
82201,45.9018262069116,8.5014,2.44678333333333,568.37732
26242,92.9,10.45,4.69,429.6655
54964,16.0891601891252,10.2844,1.56777333333333,24.804361
39681,100,10.1793,2.66084833333333,70.953873
19843,100,19.69,3.28,794.92712
19104,99.9,16.4528,5.98,308.73276
58498,57.6,8.595,1.85958404761905,124.56293
62697,99.9,10.503,2.10749833333333,23.163185
29323,25,8.5476,2.27308333333333,411.42606
19224,100,19.5388,8,671.1239
58375,73.9,10.285,1.90467333333333,90.020622
19627,100,12.5739,4.21,781.69025
37079,30,10.5407,2.55470904761905,247.54504
72518,0.2,10.2844,1.65017333333333,31.166372
83441,1.6,10.285,1.99347333333333,37.274281
55470,23.8,8.5625,1.83389833333333,136.16254
61717,3.1,10.285,1.96562333333333,43.579815
33106,12,10.274,2.26190904761905,173.59322
28707,100,11.8,7.02,555.2157
17257,100,29.55,2.91,700.42822
47950,12.5,10.307,0.53,154.66501
36015,59,10.2844,1.04,189.93916
30911,90,10.8349,2.6169,500.40799
38798,46.2433029992657,10.1739,2.10139,367.85107
19319,100,14.76,2.96,809.01556
17719,100,7.41,2.99,686.99359
16957,100,7.44,3.18,765.02649
32646,20.1,8.5418,1.48475904761905,121.21803
15700,100,15.5391,13.05,576.96307
30626,75,12.0061,2.97265833333333,142.87909
42084,70,8.5879,2.28175,350.55191
62578,39.4,10.2844,1.69782333333333,52.449409
22687,100,11.8097,3.31074166666667,428.12521
39969,83,10.3956,2.46235904761905,138.24355
29932,70,9.8,5.57,594.9317
20828,48.3,12.7252,3.43974166666667,358.2995
99421,17.6,8.5625,1.82664833333333,42.327137
62373,27.914739747144,10.2844,1.34467333333333,25.088203
28906,80.8549129773936,9.0525,2.21423571428571,230.01372
28816.0819375197,95,9.3424,2.76235833333333,344.192000032781
30215,95,9.28,6.56,601.2337
18648,97.6,24.27,4.51,679.28198
54971,3.7,10.2844,1.64997333333333,16.622654
70678,20.8444200779635,10.2844,1.65017333333333,11.881274
29765,100,8.93610000000001,2.152525,370.69351
