"healthy_diet_cost_percent_cannot_afford","life_satisfaction_in_cantril_ladder_world_happiness_report_2019"
NA,2.375
42.00774,5.365
25.60362,4.745
NA,NA
90.50985,3.795
NA,NA
8.5967,5.901
36.6346,5.488
0.7444149,7.137
0.5476114,7.213
0,5.173
NA,NA
NA,6.173
77.60098,5.28
NA,NA
1.027703,5.821
0.292606,6.839
38.11414,5.956
89.63388,4.408
25.54418,5.559
3.633199,5.516
60.1921,3.471
12.98858,6.11
NA,NA
9.337595,5.598
89.96324,4.741
97.167,3.775
66.43285,5.241
0.4973831,7.025
32.42308,NA
93.04771,3.476
83.21726,4.251
1.807866,6.151
17.94347,5.771
22.39919,5.709
60.2145,4.609
90.04419,5.213
10.59034,6.998
68.84484,5.257
5.311003,6.508
NA,5.418
0.05130247,6.26
95.51018,4.311
0.1710614,7.515
66.70957,4.369
18.58065,5.168
17.05914,5.354
75.18362,4.472
41.0972,5.462
NA,NA
0.7833411,6.453
87.36121,4.549
28.74499,NA
0.09872849,7.889
0.0396873,6.714
32.0472,4.914
73.06253,5.164
NA,5.123
0.2406784,7.312
60.90227,5.319
2.895735,5.788
NA,6.262
90.28445,4.768
92.62132,NA
39.30348,5.993
82.16744,3.615
48.85315,5.93
3.021302,6.038
0.01792546,7.575
71.48567,4.225
71.30388,5.347
10.49139,4.865
50.81578,4.785
0.3353735,7.035
0.9977683,7.195
2.472911,6.488
52.39908,6.309
1.616443,6.118
19.90089,4.094
1.16534,6.168
78.95827,4.547
NA,6.106
57.584,6.25
2.62944,6.229
NA,4.024
76.94296,3.512
97.57058,5.121
NA,5.33
NA,NA
2.856601,6.391
0.4126038,7.404
96.73974,4.339
92.84431,3.869
2.754231,5.428
2.729918,5.198
90.62164,4.988
0.3113678,6.157
68.03631,4.153
12.04238,6.015
17.93763,5.964
4.655106,5.812
NA,NA
14.87213,5.722
13.70442,4.803
90.62317,4.932
51.92937,4.431
45.98487,4.451
72.0897,5.449
0.3128131,7.504
NA,7.257
27.84136,6.113
91.94135,5.004
89.12486,5.503
0.4563593,7.29
NA,6.853
75.2726,4.443
19.78807,6.086
NA,NA
15.44793,5.653
22.43048,5.999
64.24689,5.08
0.449238,6.139
0.9322764,5.768
NA,6.375
11.02077,6.13
2.541048,5.495
91.14971,3.268
NA,NA
81.26451,NA
NA,6.56
77.24802,5.489
23.87022,6.042
85.57656,3.447
NA,6.378
2.348883,6.519
0.01920434,6.462
NA,4.668
61.10259,4.947
1.228063,5.793
NA,2.817
1.480493,6.502
45.437,4.213
81.57917,4.139
NA,6.269
0.3404294,7.314
0.02182594,7.508
NA,3.462
34.01277,5.373
84.53875,3.786
19.70135,5.885
97.28955,4.179
7.340323,6.192
13.31939,4.731
6.668437,4.862
81.69172,4.641
NA,5.27
NA,6.458
0.4246,6.798
1.499683,7.028
1.307074,6.31
NA,6.154
NA,4.574
32.01523,5.467
NA,4.197
84.97017,4.838
82.59679,3.16
0.188587,6.897
