"all_causes_disability_adjusted_life_years_who_2015","share_of_population_covered_by_health_insurance_ilo_2014","nurses_per_1_000_population_oecd","hospital_beds_per_1_000_population_oecd","out_of_pocket_expenditure_per_capita_on_healthcare_ppp_usd_who_global_health_expenditure"
68970,NA,NA,NA,144.16689
29903,23.6,NA,NA,440.42001
34790,85.2,NA,NA,289.74506
NA,NA,NA,NA,2164.9558
93709,0,NA,NA,65.277954
NA,51.1,NA,NA,268.01904
26808,96.8,NA,NA,245.00212
35083,100,NA,NA,720.97192
17696,100,15.25,3.84,838.4942
19763,99.3,NA,7.37,920.96967
33879,2.9,NA,NA,936.67621
30459,100,NA,NA,471.66946
25533,100,NA,NA,615.72601
38814,1.4,NA,NA,63.223766
26768,100,NA,NA,557.15704
33783,100,NA,NA,374.66376
19878,99,18.47,5.64,840.12659
31420,25,NA,NA,118.64302
65706,9,NA,NA,34.203602
44087,42.7,NA,NA,115.56576
24000,59.2,NA,NA,315.49902
61513,NA,NA,NA,51.02795
31632,100,NA,2.3,393.65927
22941,100,NA,NA,125.25507
28771,87,NA,NA,711.14771
70891,1,NA,NA,34.698746
80027,28.4,NA,NA,12.152169
77369,2,NA,NA,113.57147
18838,100,11.6,2.5,670.91956
31195,NA,NA,NA,71.923409
97115,6,NA,NA,12.615376
94563,NA,NA,NA,56.241741
21333,93.1,2.99,2.11,613.57904
24811,96.9,NA,4.34,246.86253
27188,87.7,NA,1.71,156.01645
59673,NA,NA,NA,90.556938
70611,NA,NA,NA,88.853043
23017,100,NA,1.13,276.40625
88856,1.2,NA,NA,68.291847
24063,97,NA,NA,251.05083
25180,100,NA,NA,NA
15789,65,NA,NA,937.77203
92831,10,NA,NA,12.715207
20451,100,18.23,2.5,697.55823
64677,30,NA,NA,29.903355
29597,26.5,NA,NA,381.37183
29357,22.8,NA,NA,428.47943
35784,51.1,NA,NA,306.79916
36007,21.6,NA,NA,161.16724
82201,NA,NA,NA,568.37732
26242,92.9,10.45,4.69,429.6655
54964,NA,NA,NA,24.804361
39681,100,NA,NA,70.953873
19843,100,19.69,3.28,794.92712
19104,99.9,NA,5.98,308.73276
58498,57.6,NA,NA,124.56293
62697,99.9,NA,NA,23.163185
29323,25,NA,NA,411.42606
19224,100,NA,8,671.1239
58375,73.9,NA,NA,90.020622
19627,100,NA,4.21,781.69025
37079,30,NA,NA,247.54504
72518,0.2,NA,NA,31.166372
