"entity","total_confirmed_deaths_due_to_covid_19_per_million_people"
"Afghanistan",39.277
"Albania",169.226
"Algeria",44.035
"Andorra",931.858
"Angola",8.215
"Antigua and Barbuda",30.635
"Argentina",657.805
"Armenia",419.474
"Australia",35.49
"Austria",111.698
"Azerbaijan",67.856
"Bahamas",335.666
"Bahrain",185.709
"Bangladesh",35.449
"Barbados",24.359
"Belarus",102.124
"Belgium",942.309
"Belize",128.263
"Benin",3.382
"Bolivia",742.909
"Bosnia and Herzegovina",336.502
"Botswana",8.93
"Brazil",743.068
"Brunei",6.857
"Bulgaria",167.088
"Burkina Faso",3.205
"Burundi",0.084
"Cameroon",16.048
"Canada",264.982
"Cape Verde",169.068
"Central African Republic",12.837
"Chad",5.844
"Chile",733.723
"China",3.293
"Colombia",600.693
"Comoros",8.05
"Congo",16.672
"Costa Rica",260.889
"Cote d'Ivoire",4.625
"Croatia",114.487
"Cuba",11.301
"Cyprus",28.542
"Democratic Republic of Congo",3.394
"Denmark",122.406
"Djibouti",61.741
"Dominican Republic",205.201
"Ecuador",713.482
"Egypt",60.801
"El Salvador",148.315
"Equatorial Guinea",59.16
"Estonia",55.03
"Ethiopia",12.569
"Fiji",2.231
"Finland",63.891
"France",544.493
"Gabon",24.262
"Gambia",49.241
"Georgia",63.422
"Germany",121.539
"Ghana",10.17
"Greece",56.893
"Guatemala",204.571
"Guinea",5.406
"Guinea-Bissau",20.833
"Guyana",151.292
"Haiti",20.346
"Honduras",266.442
"Hungary",163.348
"Iceland",32.234
"India",86.963
"Indonesia",49.4
"Iran",396.45
"Iraq",266.617
"Ireland",382.762
"Israel",286.868
"Italy",623.534
"Jamaica",66.19
"Japan",13.678
"Jordan",65.47
"Kazakhstan",118.285
"Kenya",17.37
"Kuwait",177.026
"Kyrgyzstan",174.428
"Latvia",33.4
"Lebanon",86.441
"Lesotho",20.072
"Liberia",16.213
"Libya",118.173
"Liechtenstein",26.221
"Lithuania",51.795
"Luxembourg",234.833
"Madagascar",8.812
"Malawi",9.566
"Malaysia",7.353
"Maldives",68.45
"Mali",6.716
"Malta",124.564
"Mauritania",35.056
"Mauritius",7.863
"Mexico",696.596
"Moldova",423.901
"Monaco",25.482
"Montenegro",437.855
"Morocco",93.334
"Mozambique",2.848
"Myanmar",21.081
"Namibia",52.343
"Nepal",30.065
"Netherlands",416.227
"New Zealand",5.184
"Nicaragua",23.549
"Niger",2.85
"Nigeria",5.506
"Norway",51.649
"Oman",235.576
"Pakistan",30.599
"Panama",614.17
"Papua New Guinea",0.782
"Paraguay",186.049
"Peru",1038.977
"Philippines",64.363
"Poland",121.94
"Portugal",232.526
"Qatar",79.832
"Romania",341.725
"Russia",182.198
"Rwanda",2.702
"San Marino",1237.551
"Sao Tome and Principe",68.443
"Saudi Arabia",153.071
"Senegal",19.231
"Serbia",117.274
"Sierra Leone",9.277
"Singapore",4.786
"Slovakia",32.237
"Slovenia",92.355
"Somalia",6.544
"South Africa",321.251
"South Korea",8.992
"South Sudan",5.003
"Spain",754.96
"Sri Lanka",0.887
"Sudan",19.088
"Suriname",189.215
"Sweden",585.983
"Switzerland",222.887
"Syria",15.714
"Tajikistan",8.493
"Tanzania",0.352
"Thailand",0.845
"Togo",6.523
"Trinidad and Tobago",75.742
"Tunisia",83.174
"Turkey",117.976
"Uganda",2.252
"Ukraine",150.685
"United Arab Emirates",48.734
"United Kingdom",668.253
"United States",684.958
"Uruguay",15.545
"Uzbekistan",16.642
"Venezuela",27.43
"Vietnam",0.36
"Yemen",20.117
"Zambia",18.93
"Zimbabwe",16.282
"Czech Republic",237.838
