"","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018"
"1",523.629703,-0.000402167327058718,66.2,31.7,17.26423
"2",225.27,-0.00363668336122005,1.4,23,14.94511
"3",247.73,-0.000238526149714958,1.5,21.3,16.01816
"4",622.9696012,-0.17236617971689,17.732,26.275,13.7696
"5",120.76,-0.000303199244230131,47.127,44.04,18.50747
"6",576.2442058,-0.0893962443406834,19.958,20.252,14.48044
"7",521.1107041,-0.00038699014924102,2.9,45.2,17.95898
"8",211.11,-0.00341010927733214,0.3,9.4,14.91666
"9",1765.88,-0.000440566255555105,16.997,23.635,13.939
"10",1681.71,-0.00147073947232522,14.089,20.027,8.778
"11",315.14001,-0.00120213705880132,5.3,26.2,12.2167
"12",573.5931059,-0.025392635237445,17.394,20.682,13.68185
"13",629.1177011,-0.00519575753190536,13.281,14.847,12.66029
"14",117.31,-5.60930575014123e-05,41.3,46.4,17.32234
"15",533.992301600001,-0.0359927368713744,0.9,2.6,17.12445
"16",571.14001,-0.00120954311923652,0,21.7,11.54269
"17",1490.91,-0.0012465262751405,17.731,28.077,8.078
"18",268.57999,-0.0304005144005888,4.6,27.8,17.36461
"19",82.610001,-0.000865641099699303,62.2,45,18.53131
"20",406.41,-0.00177772775388027,20.5,52.6,20.38858
"21",585.77002,-0.0032936099683588,0.5,17.5,13.06272
"22",232.69,-0.00466461699720637,26.149,42.726,19.17719
"23",602.28998,-5.24691695568215e-05,5.3,20.6,19.038
"24",622.3526008,-0.0233407685286684,16.693,21.32,12.66705
"25",569.5,-0.00118898081579454,19.605,22.741,16.24092
"26",83.839996,-0.000481762215510412,84,35.9,17.24599
"27",54.34,-0.000937195808095887,80.8,48,17.75825
"28",161.66,-0.000396998835634314,46,45.7,18.29067
"29",1745.0699,-0.000354490159334492,15.043,23.692,13.688
"30",243.34,-0.0219299972913233,10.714,33.187,17.11119
"31",73.720001,-0.00251147750814485,77.6,51.8,18.30217
"32",98.139999,-0.000682435170412507,87.1,44.7,18.37528
"33",727.16998,-0.000712185920304121,24.458,30.92,17.05612
"34",332.12,2.21573487824284e-06,5.2,34.4,25.015
"35",431.25,-0.000306246786847009,5.4,34.7,19.592
"36",180.10001,-0.013933856537952,36,46.3,17.60097
"37",117.42,-0.00082941829616748,39.7,56.7,18.35286
"38",731.75,-0.0023411693016533,20.137,26.583,18.5736
"39",116.93,-0.00038185223437738,58.7,35.9,18.6201
"40",569.42999,-0.00253236010869131,9.68,19.249,12.03048
"41",557.5059069,-0.000988148913828622,14.328,24.569,17.12246
"42",1319.55,-0.00978953326137889,15.86,21.268,11.59872
"43",46.470001,-5.58703160760154e-05,75.1,53.3,19.23035
"44",1588.9,-0.00146216485031388,13.185,17.871,5.672
"45",154.5,-0.0124938525664372,29.3,37.1,18.13999
"46",471.82001,-0.00118032506778758,8.8,15.3,20.767
"47",421.89999,-0.00104434308810561,3.5,30.7,19.8923
"48",183.12,-8.8533668998928e-05,3.6,7.6,17.677
"49",311.87,-0.00199946834202168,6.027,31.707,18.79262
"50",593.2400039,-0.00691774934202178,18.77,22.623,13.61205
"51",885.83002,-0.00646232056656241,14.081,17.024,14.866
"52",110.12,-8.57053832067428e-05,87.3,46.5,17.44507
"53",227.06,-0.0113202684731301,8.79,25.734,17.10091
"54",1501.48,-0.00093721387941662,16.084,22.875,6.802
"55",1621.01,-0.000290403631855071,18.328,28.599,9.124
"56",295.5,-0.00534911704277424,16.5,39.6,18.28077
"57",149.91,-0.00458562537812457,60.4,33.7,17.32764
"58",237.52,-0.0027490379748553,0.8,43,16.893
"59",1637.79,-0.000139450942070374,16.186,23.331,9.165
"60",199.55,-0.000347552469170915,33.7,40.4,18.40126
"61",662.25,-0.00107245780148464,14.961,19.416,14.168
"62",259.89999,-0.00073962641581908,7.981,35.262,14.606
"63",87.300003,-0.000824400486425229,75.1,38.1,17.06875
"64",69.18,-0.0056366075885118,77.5,41.8,17.94822
"65",202.89,-0.0161075019004816,3.2,45,18.07825
"66",104.7,-0.00115336183001009,49.4,51.8,18.43294
"67",239.57001,-0.00138022547669972,15.8,44,17.56709
"68",650.71997,-0.00140126325439343,14.062,22.659,10.427
"69",1527.02,-0.0272582201116635,16.342,21.412,6.068
"70",111.83,-4.70108888155497e-06,53.7,42.5,19.656
"71",190.66,-1.94231993357779e-05,15.5,26.7,18.28637
"72",493.39001,-0.000151737928834172,4.781,24.39,17.05664
"73",178.81,-0.000251420160395927,11.6,10.3,16.36727
"74",1408.09,-0.00196689798545307,13.21,17.698,9.403
"75",1097.22,-0.000883535458363321,18.506,25.718,19.317
"76",1227.58,-0.000286578152007247,17.686,28.355,12.9
"77",366.34,-0.00453019443658791,1.8,41.6,19.72349
"78",1212.01,-7.93440397254428e-05,19.119,24.672,10.938
"79",331.66,-0.00109241748127694,1.7,2.4,15.27599
"80",340.60999,-0.000619205635473238,0.2,19.6,11.45205
