"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","cost_of_calorie_sufficient_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","infant_mortality_rate","income_support","containment_index","yll_rates_from_all_air_pollution_per_100_000","death_rates_from_all_air_pollution_per_100_000"
"1",39.277,80.1341676,0.91435987199,325.992557252,2.375,11.565728,830.19,17.89,7.6,74.52,201.65,125.8012995,-0.000755387475817593,66.2,31.7,18.23707,68970,1.1914,0.898,17.4283,0.5527,5616.784475,0,42.8,3764.205122,78.01518738
"2",169.226,42.00774,0.759638581,357.7005729,5.365,7.6878707,374.06,0.98,21.8,11.15,19.79,225.27,-0.00224928148082135,1.4,23,16.80733,29903,0.1414,0.935599999999999,16.0028,0.6672,1089.713154,1,43.21,2036.762168,98.72281671
"3",44.035,25.60362,0.772870191,335.598812,4.745,12.2647583,287.77,1.04,34.9,29.4,71.2,247.73,-0.00216922473304935,1.5,21.3,18.6129,34790,0.1834,0.9689,15.5909,0.5517,1398.36594,1,57.56,2230.249326,80.92368972
"4",931.858,0.8593632927,0.51049041094,225.908231951,6.67655,8.0856197,130.3,0.46,25.3,4.11,14.78,1408.416989,-0.0014059388760545,2.935,28.088,11.82415,20467.85,0.4165,0.3937,15.1591,0.7257,174.268463,2,59.52,1851.84389407,100.794327581
"5",8.215,90.50985,1.401920388,382.8369353,3.795,8.5194139,353.12,14.06,12.1,13.32,58.81,120.76,-0.000383333238891649,61.245,46.202,19.14352,93709,1.4523,1.0479,15.8663,0.5619,4544.832134,0,51.61,4349.176724,72.89185517
"6",30.635,22.5794662,0.96641978849,319.56026378,5.64538,9.9233293,225.66,1.38,25.9,27.82,100.36,372.7764987,-0.00052876324572597,8.25,36.549,21.09126,29097.77,0.8273,0.6346,14.8654,0.4721,879.2413213,0.77,68.3511,1451.086957,65.2173913
"7",657.805,8.5967,0.652093819,292.1371512,5.901,9.8786283,224.34,1.12,29,22.12,53.78,475.2141971,-0.000753439751430701,2.9,45.2,19.87704,26808,0.674800000000001,0.7041,13.2912,0.4738,949.6708534,1,74.17,799.6775825,38.16016943
"8",419.474,36.6346,1.013010424,297.4988182,5.488,10.986533,353.31,0.34,23,10.56,60.53,211.11,-0.00301405909636538,0.3,9.4,16.94756,35083,0.2712,1.0279,14.095,0.7091,791.1301337,0.9,54.935,2949.337309,138.1047051
"9",35.49,0.7444149,0.313935579,189.7005539,7.137,6.7891865,128.73,0.2,28.4,10.17,28.35,1765.88,-0.00117087737003652,7.459,32.472,13.939,17696,0.56,0.3625,28.73,0.65,335.9743509,0,74.17,853.2938023,48.80053199
"10",111.698,0.5476114,0.349012635,242.7134934,7.213,5.4147456,178.03,0.28,18.3,12.79,33.58,1681.71,-0.00147073947232522,8.836,33.209,8.778,19763,1.22,0.66,16.71,1.03,281.0260831,2,68.15,2226.892659,132.1591419
"11",67.856,0,0.788297947,234.4126092,5.173,11.572171,538.85,1.33,23.6,15.29,45.09,315.14001,-0.00193307648970672,5.3,26.2,17.55779,33879,0.3585,0.7247,15.7954,0.6175,3196.537872,0,64.29,3401.322534,127.762969
"12",335.666,21.43635858,1.04061302481,324.703869654,5.69491,11.2055637,303.91,1.3,38.1,30.54,102.35,382.5409986,-0.000551354198327368,7.852,32.194,21.10358,30459,0.582,0.7784,13.9872,0.4325,1062.501087,1,71.43,1454.381443,53.35051546
"13",185.709,9.5145948438,0.67813415766,296.331155508,6.173,12.006818,249.93,0.82,36.8,33.35,188.6,560.66079611,-0.00250359145514958,3.795,16.688,17.17326,25533,0.3165,0.6175,12.3803,0.5071,533.1194641,2,66.43,1909.949165,64.85112564
"14",35.449,77.60098,0.643520024,287.5123744,5.28,10.2542749,313.8,0.98,5,20.86,72.27,117.31,-0.000734247176141101,41.3,46.4,18.47442,38814,1.4304,0.8842,15.5235,0.5576,3186.298445,0,39.76,3162.141158,108.8039407
"15",24.359,19.814894003,0.86691197262,351.587296515,5.57746,10.5051944,198.43,1.35,31.3,22.01,106.04,390.6622983,-0.00321875397986499,0.9,2.6,19.26277,26768,0.2235,0.909499999999999,13.7748,0.6218,1116.610777,1,57.5,2467.253521,125.7042254
"16",102.124,1.027703,0.799425284,339.3174596,5.821,8.0120648,527.78,0.53,26.3,4.24,10.93,571.14001,-0.0031370634579454,0,21.7,12.68662,33783,0.0655,0.969199999999999,21.6445,0.7408,488.1843388,0,46.9,3235.225358,147.0408593
"17",942.309,0.292606,0.266243314,240.3239807,6.839,5.6681222,141.99,0.35,21,8.6,23.44,1490.91,-0.0012465262751405,9.352,35.658,8.078,19878,4.18,0.1,3.51,0.6,296.4014971,2,61.9,2126.612975,126.1262059
"18",128.263,38.11414,1.12991063,243.3597648,5.956,9.9988558,313.61,1.43,31.5,46.99,156.48,268.57999,-0.000710907755917661,4.6,27.8,19.90742,31420,0.3611,0.6584,14.1007,0.4647,1652.2555,1,71.55,1092.479109,35.93314763
"19",3.382,89.63388,0.651227469,294.3319386,4.408,7.3902467,327.29,23.04,14.2,23.47,80.79,82.610001,-0.000545531154165421,62.2,45,19.16333,65706,1.413,0.7949,15.5629,0.5752,5390.388716,1,45.6,4222.178697,92.92280266
"20",742.909,25.54418,1.467199081,314.0132814,5.559,6.950181,215.4,1.88,25.6,45.48,90.18,406.41,-0.000559633621170826,20.5,52.6,20.45063,44087,1.4161,0.6303,13.538,0.4491,2118.418775,1,62.26,1093.519814,35.72960373
"21",336.502,3.633199,0.705741816,357.9414101,5.516,7.9595233,319.89,0.38,18.4,10.77,53.65,585.77002,-0.0029032073836795,0.5,17.5,14.21382,24000,0.2383,1.023,12.49,0.762699999999999,555.5097578,1,40,2760.839895,140.3937008
"22",8.93,60.1921,0.505090038,330.6657282,3.471,7.5742542,343.14,5.06,29.3,24.71,140.84,232.69,-0.000781784745523698,20.248,46.428,18.939,61513,1.2991,0.8165,16.823,0.4994,1561.28169,0,57.62,925.9062776,29.00088417
"23",743.068,12.98858,0.84750795,234.5645918,6.11,7.7976249,222.15,1.25,25.4,19.62,69.08,602.28998,-0.0017736676557699,5.3,20.6,19.038,31632,0.3713,0.5423,12.9322,0.552,1493.520601,1,56.61,1280.895476,49.22683198
"24",6.857,26.287071461,0.96542160478,316.566305832,5.64361,9.2080746,220.47,0.92,15.7,26.52,106.26,492.45629464,-0.00047402303578865,9.587,40.044,20.7678,22941,1.4611,0.6914,15.277,0.4804,777.6068771,0,82.14,621.749409,21.74940898
"25",167.088,9.337595,0.514931565,348.1629338,5.598,8.4220956,508.75,0.62,24.3,10.98,29.14,569.5,-0.00118898081579454,3.507,27.686,14.62271,28771,0.1779,1.0707,15.1446,0.8178,627.6093553,2,57.14,4198.181818,210.8671329
"26",3.205,89.96324,0.573611327,295.9095012,4.741,7.3630174,350.79,30.89,8.1,16.09,76.38,83.839996,-0.000717607140116747,84,35.9,18.64955,70891,1.4249,0.957,16.002,0.6186,6132.224096,0,28.69,3793.135082,83.45300361
"27",0.084,97.167,0.707986131,287.321067,3.775,4.2383366,383.29,24.8,8.6,12.68,65.71,54.34,-0.000708082557660993,80.8,48,19.10706,80027,1.6125,0.8633,16.4873,0.5913,5247.735039,1,14.29,2514.348107,49.78083462
"28",16.048,66.43285,0.893473526,300.892604,5.241,6.5496373,320.24,22.12,16.4,24.89,99.53,161.66,-0.000572729076478067,46,45.7,19.02172,77369,1.4853,0.8851,15.5149,0.56,4273.025088,0,39.29,3976.91518,87.75274912
"29",264.982,0.4973831,0.678612354,248.6426666,7.025,6.2295715,126.84,0.27,29.3,8.99,27.85,1745.0699,-0.00035449015933449,10.06,41.131,13.688,18838,1.6023,0.43,19.48,0.43,465.0432088,1,62.5,1019.852305,55.89592523
"30",169.068,32.42308,0.619501806,281.0429223,5.30106,9.0616702,284.41,4.74,16.3,19.48,60.2,243.34,-0.000481748356167189,13.722,36.423,20.08673,31195,1.4342,0.7859,12.3958,0.5639,2002.559261,1,57.26,2357.581574,96.92898273
"31",12.837,93.04771,1.020846914,272.9352377,3.476,7.9801102,506.18,24.66,10.9,16.31,77.6,73.720001,-0.000652018331413578,77.6,51.8,18.41663,97115,1.4352,0.8605,17.4191,0.6188,11915.67596,0,28.45,5851.306122,133.3061224
"32",5.844,83.21726,0.708813159,268.7256318,4.251,7.893766,328.47,30,8.9,22.88,72.58,98.139999,-0.000603147268832296,87.1,44.7,18.51491,94563,1.4037,0.9304,16.0512,0.623,7102.314108,0,32.98,7924.570777,135.8766118
