"","total_confirmed_deaths_due_to_covid_19_per_million_people","healthy_diet_cost_percent_cannot_afford","cost_of_calorie_sufficient_diet_2017_usd_per_day","healthy_diet_cost_percent_of_1_20_poverty_line","life_satisfaction_in_cantril_ladder_world_happiness_report_2019","age_standardised_diabetes_prevalence_male","cardiovascular_diseases_ihme_2017","meningitis_ihme_2017","prevalence_of_obesity_female_who_2019","kidney_disease_ihme_2017","diabetes_blood_and_endocrine_disease_ihme_2017","mean_monthly_income","gdp_growth_per_capita_from_previous_year_2020_q2","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016","percentage_contribution_of_deprivations_in_living_standards_to_overall_poverty_alkire_and_robles_2016","poverty_rate_50_percent_of_median_lis_key_figures_2018","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd","infant_mortality_rate","income_support","containment_index","yll_rates_from_all_air_pollution_per_100_000","death_rates_from_all_air_pollution_per_100_000"
"1",39.277,NA,NA,NA,2.375,11.565728,830.19,17.89,7.6,74.52,201.65,NA,NA,66.2,31.7,NA,68970,NA,NA,NA,NA,5616.784475,0,42.8,3764.205122,78.01518738
"2",169.226,42.00774,0.759638581,357.7005729,5.365,7.6878707,374.06,0.98,21.8,11.15,19.79,225.27,NA,1.4,23,NA,29903,NA,NA,NA,NA,1089.713154,1,43.21,2036.762168,98.72281671
"3",44.035,25.60362,0.772870191,335.598812,4.745,12.2647583,287.77,1.04,34.9,29.4,71.2,247.73,NA,1.5,21.3,NA,34790,NA,NA,NA,NA,1398.36594,1,57.56,2230.249326,80.92368972
"4",931.858,NA,NA,NA,NA,8.0856197,130.3,0.46,25.3,4.11,14.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.268463,2,59.52,NA,NA
"5",8.215,90.50985,1.401920388,382.8369353,3.795,8.5194139,353.12,14.06,12.1,13.32,58.81,120.76,NA,NA,NA,NA,93709,NA,NA,NA,NA,4544.832134,0,51.61,4349.176724,72.89185517
"6",30.635,NA,NA,NA,NA,9.9233293,225.66,1.38,25.9,27.82,100.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,879.2413213,NA,NA,1451.086957,65.2173913
"7",657.805,8.5967,0.652093819,292.1371512,5.901,9.8786283,224.34,1.12,29,22.12,53.78,NA,NA,2.9,45.2,NA,26808,NA,NA,NA,NA,949.6708534,1,74.17,799.6775825,38.16016943
"8",419.474,36.6346,1.013010424,297.4988182,5.488,10.986533,353.31,0.34,23,10.56,60.53,211.11,NA,0.3,9.4,NA,35083,NA,NA,NA,NA,791.1301337,NA,NA,2949.337309,138.1047051
"9",35.49,0.7444149,0.313935579,189.7005539,7.137,6.7891865,128.73,0.2,28.4,10.17,28.35,1765.88,NA,NA,NA,13.939,17696,0.56,NA,28.73,0.65,335.9743509,0,74.17,853.2938023,48.80053199
"10",111.698,0.5476114,0.349012635,242.7134934,7.213,5.4147456,178.03,0.28,18.3,12.79,33.58,1681.71,-0.00147073947232522,NA,NA,8.778,19763,1.22,0.66,16.71,1.03,281.0260831,2,68.15,2226.892659,132.1591419
"11",67.856,0,0.788297947,234.4126092,5.173,11.572171,538.85,1.33,23.6,15.29,45.09,315.14001,NA,5.3,26.2,NA,33879,NA,NA,NA,NA,3196.537872,0,64.29,3401.322534,127.762969
"12",335.666,NA,NA,NA,NA,11.2055637,303.91,1.3,38.1,30.54,102.35,NA,NA,NA,NA,NA,30459,NA,NA,NA,NA,1062.501087,1,71.43,1454.381443,53.35051546
"13",185.709,NA,NA,NA,6.173,12.006818,249.93,0.82,36.8,33.35,188.6,NA,NA,NA,NA,NA,25533,NA,NA,NA,NA,533.1194641,2,66.43,1909.949165,64.85112564
"14",35.449,77.60098,0.643520024,287.5123744,5.28,10.2542749,313.8,0.98,5,20.86,72.27,117.31,NA,41.3,46.4,NA,38814,NA,NA,NA,NA,3186.298445,0,39.76,3162.141158,108.8039407
"15",24.359,NA,NA,NA,NA,10.5051944,198.43,1.35,31.3,22.01,106.04,NA,NA,0.9,2.6,NA,26768,NA,NA,NA,NA,1116.610777,1,57.5,2467.253521,125.7042254
"16",102.124,1.027703,0.799425284,339.3174596,5.821,8.0120648,527.78,0.53,26.3,4.24,10.93,571.14001,NA,0,21.7,NA,33783,NA,NA,NA,NA,488.1843388,0,46.9,3235.225358,147.0408593
"17",942.309,0.292606,0.266243314,240.3239807,6.839,5.6681222,141.99,0.35,21,8.6,23.44,1490.91,-0.0012465262751405,NA,NA,8.078,19878,4.18,0.1,3.51,0.6,296.4014971,2,61.9,2126.612975,126.1262059
"18",128.263,38.11414,1.12991063,243.3597648,5.956,9.9988558,313.61,1.43,31.5,46.99,156.48,268.57999,NA,4.6,27.8,NA,31420,NA,NA,NA,NA,1652.2555,1,71.55,1092.479109,35.93314763
"19",3.382,89.63388,0.651227469,294.3319386,4.408,7.3902467,327.29,23.04,14.2,23.47,80.79,82.610001,NA,62.2,45,NA,65706,NA,NA,NA,NA,5390.388716,1,45.6,4222.178697,92.92280266
"20",742.909,25.54418,1.467199081,314.0132814,5.559,6.950181,215.4,1.88,25.6,45.48,90.18,406.41,NA,20.5,52.6,NA,44087,NA,NA,NA,NA,2118.418775,1,62.26,1093.519814,35.72960373
"21",336.502,3.633199,0.705741816,357.9414101,5.516,7.9595233,319.89,0.38,18.4,10.77,53.65,585.77002,NA,0.5,17.5,NA,24000,NA,NA,NA,NA,555.5097578,1,40,2760.839895,140.3937008
"22",8.93,60.1921,0.505090038,330.6657282,3.471,7.5742542,343.14,5.06,29.3,24.71,140.84,232.69,NA,NA,NA,NA,61513,NA,NA,NA,NA,1561.28169,0,57.62,925.9062776,29.00088417
"23",743.068,12.98858,0.84750795,234.5645918,6.11,7.7976249,222.15,1.25,25.4,19.62,69.08,602.28998,NA,5.3,20.6,19.038,31632,NA,NA,NA,NA,1493.520601,1,56.61,1280.895476,49.22683198
"24",6.857,NA,NA,NA,NA,9.2080746,220.47,0.92,15.7,26.52,106.26,NA,NA,NA,NA,NA,22941,NA,NA,NA,NA,777.6068771,0,82.14,621.749409,21.74940898
"25",167.088,9.337595,0.514931565,348.1629338,5.598,8.4220956,508.75,0.62,24.3,10.98,29.14,569.5,-0.00118898081579454,NA,NA,NA,28771,NA,NA,NA,NA,627.6093553,2,57.14,4198.181818,210.8671329
"26",3.205,89.96324,0.573611327,295.9095012,4.741,7.3630174,350.79,30.89,8.1,16.09,76.38,83.839996,NA,84,35.9,NA,70891,NA,NA,NA,NA,6132.224096,0,28.69,3793.135082,83.45300361
"27",0.084,97.167,0.707986131,287.321067,3.775,4.2383366,383.29,24.8,8.6,12.68,65.71,54.34,NA,80.8,48,NA,80027,NA,NA,NA,NA,5247.735039,1,14.29,2514.348107,49.78083462
"28",16.048,66.43285,0.893473526,300.892604,5.241,6.5496373,320.24,22.12,16.4,24.89,99.53,161.66,NA,46,45.7,NA,77369,NA,NA,NA,NA,4273.025088,0,39.29,3976.91518,87.75274912
"29",264.982,0.4973831,0.678612354,248.6426666,7.025,6.2295715,126.84,0.27,29.3,8.99,27.85,1745.0699,-0.00035449015933449,NA,NA,13.688,18838,NA,0.43,19.48,0.43,465.0432088,1,62.5,1019.852305,55.89592523
"30",169.068,32.42308,0.619501806,281.0429223,NA,9.0616702,284.41,4.74,16.3,19.48,60.2,243.34,NA,NA,NA,NA,31195,NA,NA,NA,NA,2002.559261,1,57.26,2357.581574,96.92898273
"31",12.837,93.04771,1.020846914,272.9352377,3.476,7.9801102,506.18,24.66,10.9,16.31,77.6,73.720001,NA,77.6,51.8,NA,97115,NA,NA,NA,NA,11915.67596,0,28.45,5851.306122,133.3061224
"32",5.844,83.21726,0.708813159,268.7256318,4.251,7.893766,328.47,30,8.9,22.88,72.58,98.139999,NA,87.1,44.7,NA,94563,NA,NA,NA,NA,7102.314108,0,32.98,7924.570777,135.8766118
"33",733.723,1.807866,0.622463862,256.8955987,6.151,10.1604348,138.67,0.67,31,18.62,43.92,727.16998,-0.00071218592030412,NA,NA,NA,21333,NA,0,11.43,0.45,627.4581196,1,69.7,982.8727982,47.70448227
"34",3.293,17.94347,0.847186882,301.5002801,5.771,9.8981826,307.9,0.61,6.5,12.13,25.64,332.12,2.21573487824284e-06,5.2,34.4,25.015,24811,NA,NA,NA,NA,720.4156658,1,75.89,4470.598062,202.2828099
"35",600.693,22.39919,1.024257877,272.856847,5.709,8.3281758,185.27,1.09,26.6,22.02,50.39,431.25,-0.000306246786847,5.4,34.7,19.592,27188,NA,NA,NA,NA,1160.255384,1,53.57,399.1229509,15.55703065
"36",8.05,60.2145,1.100676758,280.4729195,4.609,7.863303,312.61,19.82,12.2,12.07,64.6,180.10001,NA,36,46.3,NA,59673,NA,NA,NA,NA,3404.656635,NA,NA,1626.142132,33.75634518
"37",16.672,90.04419,0.986611486,323.8801868,5.213,7.7231127,374.62,13.14,13.5,15.38,69.02,117.42,NA,39.7,56.7,NA,70611,NA,NA,NA,NA,3457.201389,0,54.17,1653.073593,44.1991342
"38",260.889,10.59034,0.942631128,324.069996,6.998,8.8486617,130.93,0.85,30.4,24.85,39.65,731.75,NA,NA,NA,NA,23017,NA,NA,NA,NA,704.711585,0,61.67,724.0224626,31.23960067
"39",4.625,68.84484,0.814961923,241.3577406,5.257,7.3379487,422.34,21.59,15.2,27.81,101.94,116.93,NA,58.7,35.9,NA,88856,NA,NA,NA,NA,5579.573984,1,35.71,5049.576685,111.4307011
"40",114.487,5.311003,0.673078637,365.3334068,6.508,8.3590648,325.58,0.31,24.5,8.95,27.81,569.42999,NA,NA,NA,NA,24063,NA,NA,NA,NA,356.288517,1,45.89,3205.613208,175.3773585
"41",11.301,NA,NA,NA,5.418,7.2850055,214.01,0.8,30.3,13.13,28.74,NA,NA,NA,NA,NA,25180,NA,NA,NA,NA,381.9394847,0,71.13,1583.371378,75.84723442
"42",28.542,0.05130247,0.581570659,254.9310472,6.26,8.2802862,187.14,0.32,21.6,17.83,63.02,1319.55,-0.00978953326137889,NA,NA,NA,15789,NA,NA,NA,NA,251.0092208,2,57.74,1832.532189,100
"43",3.394,95.51018,0.560192577,271.1929958,4.311,6.2299002,353.13,16.71,9.7,11.47,55.64,46.470001,NA,75.1,53.3,NA,92831,NA,NA,NA,NA,5794.176295,0,33.57,3014.548138,60.24046254
"44",122.406,0.1710614,0.303741478,199.6569721,7.515,5.3713457,137.43,0.44,17,8.07,28.41,1588.9,-0.00146216485031388,NA,NA,5.672,20451,0.11,0.04,NA,0.63,322.1204886,2,56.55,1968.724643,109.2608926
"45",61.741,66.70957,0.615534816,295.8092388,4.369,8.6408121,305.33,19.55,18.3,13.97,65.77,154.5,NA,29.3,37.1,NA,64677,NA,NA,NA,NA,2491.48713,1,48.93,3577.59009,97.97297297
"46",205.201,18.58065,1.180382518,336.1897358,5.168,8.6348075,272.57,2.52,34.1,22.63,53.27,471.82001,NA,8.8,15.3,20.767,29597,NA,NA,NA,NA,2406.219552,1,73.21,1212.091565,45.26025836
"47",713.482,17.05914,1.345774261,265.8805063,5.354,7.4656134,141.95,0.89,24.7,40.64,80.2,421.89999,NA,3.5,30.7,NA,29357,NA,NA,NA,NA,1315.719531,1,67.38,482.600317,18.71902758
"48",60.801,75.18362,0.987348298,346.5376876,4.472,15.9915285,436.74,1.27,41.1,31.43,66.91,183.12,NA,3.6,7.6,17.677,35784,NA,NA,NA,NA,1592.650397,1,44.17,3677.334182,130.7361091
"49",148.315,41.0972,1.459323301,391.5220784,5.462,9.3025743,179.53,1.83,28.9,69.3,116.48,311.87,NA,NA,NA,NA,36007,NA,NA,NA,NA,1083.908987,1,43.21,1314.068875,50.26929982
"50",59.16,NA,NA,NA,NA,9.4867882,238.66,9.17,12.6,11.01,60.57,NA,NA,NA,NA,NA,82201,NA,NA,NA,NA,3460.540601,NA,NA,3607.455621,82.72189349
"51",55.03,0.7833411,0.424691275,274.6628285,6.453,7.7077688,326.4,0.41,21.8,8.79,19.43,885.83002,NA,NA,NA,14.866,26242,0.12,0.91,15.18,0.85,215.1727847,0,34.52,2119.421173,108.1492765
"52",12.569,87.36121,0.720331215,304.7147757,4.549,5.7992061,360.35,23.59,6.9,17.09,70.74,110.12,NA,87.3,46.5,NA,54964,NA,NA,NA,NA,4211.644212,0,52.14,2853.959815,68.58669779
"53",2.231,28.74499,0.848623732,330.4274271,NA,15.946039,482.67,3.64,35.3,83.75,459.95,227.06,NA,NA,NA,NA,39681,NA,NA,NA,NA,1864.966294,1,80.36,1177.017937,35.98654709
"54",63.891,0.09872849,0.281521543,215.0627693,7.889,6.4035424,179.76,0.22,20.6,4.09,11.61,1501.48,-0.00093721387941662,NA,NA,6.802,19843,NA,0.41,30.5,0.56,182.3905576,2,50.3,1256.351081,72.83300018
