"","income_classification_world_bank_2017","gdp_growth_from_previous_year_2020_q2","gdp","national_poverty_lines_jolliffe_and_prydz_2016","percentage_contribution_of_deprivations_in_education_to_overall_poverty_alkire_and_robles_2016","multidimensional_poverty_headcount_ratio_alkire_and_robles_2016"
"1","1",NA,67594970922.535,NA,39.7,66.2
"2","3",NA,34009113044.8984,3.8,32,1.4
"3","3",NA,590317549399.484,NA,46,1.5
"4","4",NA,NA,NA,NA,NA
"5","2",NA,175929578041.567,2.17,NA,NA
"6","4",NA,NA,NA,NA,NA
"7","3",NA,829373254831.057,NA,41.9,2.9
"8","2",NA,33296515549.8058,3.87,25.8,0.3
"9","4",NA,1238559648720.32,28.14,NA,NA
"10","4",-13.3,382269444359.619,27.02,NA,NA
"11","3",NA,160426221650.639,5.19,24.4,5.3
"12","4",NA,NA,NA,NA,NA
"13","4",NA,62559305437.2192,NA,NA,NA
"14","2",NA,686521749312.877,NA,21.1,41.3
"15","4",NA,3516161101.8708,NA,0,0.9
"16","3",NA,178435259131.19,7.59,16.6,0
"17","4",-14.5,454384314204.564,26.85,NA,NA
"18","3",NA,NA,NA,41,4.6
"19","1",NA,26682033534.9148,1.44,41.7,62.2
"20","2",NA,75704710886.7386,7.63,19.8,20.5
"21","3",NA,41286323312.5414,9.79,26.7,0.5
"22","3",NA,35844341352.2151,1.97,NA,NA
"23","3",NA,2965401452084.71,3.05,10.9,5.3
"24","4",NA,NA,NA,NA,NA
"25","3",-8.2,132183449574.073,7.95,NA,NA
"26","1",NA,31315025031.6565,1.64,36.2,84
"27","1",NA,7314109088.1,1.54,23.1,80.8
"28","2",NA,76168245065.5552,2.35,23.6,46
"29","4",-13.494697,1669401514253.32,23.48,NA,NA
"30","2",NA,3882678731.568,NA,NA,NA
"31","1",NA,3581982386.8118,1.72,24.1,77.6
"32","1",NA,31212918297.4495,2.24,31.4,87.1
"33","4",-13.682773,412833627886.624,7.17,NA,NA
"34","3",3.2,18151620437216,1.78,31,5.2
"35","3",-15.7,651900563304.706,5.42,31.8,5.4
"36","1",NA,1416032117.5784,3.89,28.7,36
"37","2",NA,29513591100.1129,2.75,9.9,39.7
"38","3",NA,73336988552.367,7.04,NA,NA
"39","2",NA,102581662691.46,2.41,34.5,58.7
"40","3",NA,84978688359.8462,9.62,NA,NA
"41","3",NA,92551014480.7948,NA,NA,NA
"42","4",-11.9,27790155428.9052,NA,NA,NA
"43","1",NA,81846381646.0538,1.4,15,75.1
"44","4",-8.5,268317624888.571,26.44,NA,NA
"45","2",NA,2913438472.5855,NA,38.3,29.3
"46","3",NA,165255139274.739,6.66,12.5,8.8
"47","3",NA,175524677190,4.68,21.5,3.5
"48","2",NA,1221832614740.78,NA,52.8,3.6
"49","2",NA,54756344105.1682,5.42,NA,NA
