"","all_causes_disability_adjusted_life_years_who_2015","beds_in_not_for_profit_privately_owned_hospitals_per_1_000_population_oecd","long_term_care_beds_per_1_000_population_oecd","publicly_owned_hospitals_per_million_population_oecd","surgical_specialists_per_1_000_population_oecd"
"1",68970,NA,NA,NA,NA
"2",29903,NA,NA,NA,NA
"3",34790,NA,NA,NA,NA
"4",NA,NA,NA,NA,NA
"5",93709,NA,NA,NA,NA
"6",NA,NA,NA,NA,NA
"7",26808,NA,NA,NA,NA
"8",35083,NA,NA,NA,NA
"9",17696,0.56,NA,28.73,0.65
"10",19763,1.22,0.66,16.71,1.03
"11",33879,NA,NA,NA,NA
"12",30459,NA,NA,NA,NA
"13",25533,NA,NA,NA,NA
"14",38814,NA,NA,NA,NA
"15",26768,NA,NA,NA,NA
"16",33783,NA,NA,NA,NA
"17",19878,4.18,0.1,3.51,0.6
"18",31420,NA,NA,NA,NA
"19",65706,NA,NA,NA,NA
"20",44087,NA,NA,NA,NA
"21",24000,NA,NA,NA,NA
"22",61513,NA,NA,NA,NA
"23",31632,NA,NA,NA,NA
"24",22941,NA,NA,NA,NA
"25",28771,NA,NA,NA,NA
"26",70891,NA,NA,NA,NA
"27",80027,NA,NA,NA,NA
"28",77369,NA,NA,NA,NA
"29",18838,NA,0.43,19.48,0.43
"30",31195,NA,NA,NA,NA
"31",97115,NA,NA,NA,NA
"32",94563,NA,NA,NA,NA
"33",21333,NA,0,11.43,0.45
"34",24811,NA,NA,NA,NA
"35",27188,NA,NA,NA,NA
"36",59673,NA,NA,NA,NA
"37",70611,NA,NA,NA,NA
"38",23017,NA,NA,NA,NA
"39",88856,NA,NA,NA,NA
"40",24063,NA,NA,NA,NA
"41",25180,NA,NA,NA,NA
"42",15789,NA,NA,NA,NA
"43",92831,NA,NA,NA,NA
"44",20451,0.11,0.04,NA,0.63
"45",64677,NA,NA,NA,NA
"46",29597,NA,NA,NA,NA
"47",29357,NA,NA,NA,NA
"48",35784,NA,NA,NA,NA
"49",36007,NA,NA,NA,NA
"50",82201,NA,NA,NA,NA
"51",26242,0.12,0.91,15.18,0.85
"52",54964,NA,NA,NA,NA
"53",39681,NA,NA,NA,NA
"54",19843,NA,0.41,30.5,0.56
"55",19104,0.84,0.47,20.4,0.48
"56",58498,NA,NA,NA,NA
"57",62697,NA,NA,NA,NA
"58",29323,NA,NA,NA,NA
"59",19224,2.31,0,9.5,1.18
"60",58375,NA,NA,NA,NA
"61",19627,0.08,0.57,11.62,1.32
"62",37079,NA,NA,NA,NA
"63",72518,NA,NA,NA,NA
"64",83441,NA,NA,NA,NA
"65",55470,NA,NA,NA,NA
"66",61717,NA,NA,NA,NA
"67",33106,NA,NA,NA,NA
"68",28707,0.21,1.22,13.24,0.68
"69",17257,0,0.36,22.96,0.74
"70",47950,NA,NA,NA,NA
"71",36015,NA,NA,NA,NA
"72",30911,NA,NA,NA,NA
"73",38798,NA,NA,NA,NA
"74",19319,NA,0.15,NA,0.47
"75",17719,0.59,0.53,4.17,0.61
"76",16957,0.13,0.14,7.12,0.99
"77",32646,NA,NA,NA,NA
"78",15700,NA,2.64,12.14,NA
"79",30626,NA,NA,NA,NA
"80",42084,NA,NA,NA,NA
"81",62578,NA,NA,NA,NA
"82",22687,NA,NA,NA,NA
"83",39969,NA,NA,NA,NA
"84",29932,0,0.63,23.17,0.7
"85",20828,NA,NA,NA,NA
"86",99421,NA,NA,NA,NA
"87",62373,NA,NA,NA,NA
"88",28906,NA,NA,NA,NA
"89",NA,NA,NA,NA,NA
"90",30215,0,0.5,30.05,1.07
"91",18648,NA,0,8.57,0.68
"92",54971,NA,NA,NA,NA
"93",70678,NA,NA,NA,NA
"94",29765,NA,NA,NA,NA
"95",25036,NA,NA,NA,NA
"96",75910,NA,NA,NA,NA
"97",19507,NA,NA,NA,NA
"98",58285,NA,NA,NA,NA
"99",30076,NA,NA,NA,NA
"100",26763,NA,NA,11.26,0.16
"101",35472,NA,NA,NA,NA
"102",NA,NA,NA,NA,NA
"103",26702,NA,NA,NA,NA
"104",38061,NA,NA,NA,NA
"105",88491,NA,NA,NA,NA
"106",48793,NA,NA,NA,NA
"107",48404,NA,NA,NA,NA
"108",43324,NA,NA,NA,NA
"109",18770,3.32,0.29,0,0.42
"110",18742,0.1,0.02,17.27,0.71
"111",33239,NA,NA,NA,NA
"112",70093,NA,NA,NA,NA
"113",84764,NA,NA,NA,NA
"114",19615,NA,0,NA,0.57
"115",27260,NA,NA,NA,NA
"116",50534,NA,NA,NA,NA
"117",27476,NA,NA,NA,NA
"118",59322,NA,NA,NA,NA
"119",30862,NA,NA,NA,NA
"120",26911,NA,NA,NA,NA
"121",41446,NA,NA,NA,NA
"122",25415,0,0.02,15.71,0.54
"123",19815,0.7,NA,10.78,0.73
"124",22923,NA,NA,NA,NA
"125",28496,NA,NA,NA,NA
"126",39906,NA,NA,NA,NA
"127",54160,NA,NA,NA,NA
"128",NA,NA,NA,NA,NA
"129",NA,NA,NA,NA,NA
"130",27174,NA,NA,NA,NA
"131",53970,NA,NA,NA,NA
"132",28151,NA,NA,NA,NA
"133",117683,NA,NA,NA,NA
"134",14354,NA,NA,NA,NA
"135",25991,NA,0.76,NA,NA
"136",21200,0,0.14,12.58,0.62
"137",89247,NA,NA,NA,NA
"138",67514,NA,NA,NA,NA
"139",17921,NA,NA,NA,NA
"140",80319,NA,NA,NA,NA
"141",16984,0.36,0.51,7.38,0.96
"142",28527,NA,NA,NA,NA
"143",59210,NA,NA,NA,NA
"144",29901,NA,NA,NA,NA
"145",18308,NA,0.18,NA,0.66
"146",17679,NA,0.13,NA,0.82
"147",43178,NA,NA,NA,NA
"148",42752,NA,NA,NA,NA
"149",63043,NA,NA,NA,NA
"150",28993,NA,NA,NA,NA
"151",71808,NA,NA,NA,NA
"152",38360,NA,NA,NA,NA
"153",26814,NA,NA,NA,NA
"154",29027,0,NA,11.57,0.44
"155",74116,NA,NA,NA,NA
"156",35121,NA,NA,NA,NA
"157",25546,NA,NA,NA,NA
"158",20376,NA,NA,NA,0.82
"159",22775,1.68,0.18,4.25,0.39
"160",24820,NA,NA,NA,NA
"161",40253,NA,NA,NA,NA
"162",29410,NA,NA,NA,NA
"163",29226,NA,NA,NA,NA
"164",55241,NA,NA,NA,NA
"165",76189,NA,NA,NA,NA
"166",72784,NA,NA,NA,NA
"167",22380,0.02,1.96,15.2,0.89
