"","iso_code","continent","Entity","income_welfare","mean_mthly_income","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","mthly_income_flag","GDP.growth.from.previous.year..2020.Q2","GDP.per.capita.PPP.2011...WDI..2016.","Code","Gini.index","Income.classification..World.Bank.2017.","Mean.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Median.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Multidimensional.Poverty..headcount.ratio...Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.education.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.health.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.living.standards.to.overall.poverty..Alkire.and.Robles..2016..","National.poverty.lines..Jolliffe.and.Prydz..2016..","Cost.of.closing.the.poverty.gap.in.int...2011..PovcalNet..World.Bank...2017..","Poverty.rate...50..of.median...LIS.Key.Figures..2018.","Total.wealth","Produced.capital..including.urban.land.","Natural.capital..timber..non.timber..protected.areas..land..sub.soil.assets.","Natural.capital..renewable..excluding.sub.soil.assets.","Forest..timber","Forest..non.timber","Protected.areas","Land..crop..pasture.","Cropland","Pastureland","Sub.soil.assets..fossil.energy.resources..metals.and.minerals.","Fossil.energy.resources..oil..natural.gas..coal.","Oil","Natural.gas","Coal","Metals.and.minerals","Human.capital","Human.capital..total.male","Human.capital..total.female","Net.foreign.assets","Adjusted.net.national.income","Adjusted.net.saving","Gross.domestic.product","Gross.national.income"
"1","ABW","North America","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36015.07046,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG","Asia","Afghanistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1844.021503,NA,NA,1,NA,NA,66.2,39.7,28.6,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AGO","Africa","Angola","c",120.76,"24.99732","40.57536","52.16832","64.0028","78.97704","95.64192","116.5334","148.41404","195.99348","390.17556","32.78634","58.08556","87.30948","132.47372","293.08452",0,NA,6949.021848,"AGO",51.27211,2,120.74,87.02,NA,NA,NA,NA,2.17,1392.07642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AIA","North America","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALB","Europe","Albania","c",225.27,"82.44882","116.91513","138.31578","158.36481","182.01816","208.60002","236.98404","276.85683","335.42703","516.54411","99.681975","148.340295","195.30909","256.920435","425.98557",0,NA,10136.02049,"ALB",33.17109,3,225.28,195.06,1.4,32,44.9,23,3.8,4.0223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AND","Europe","Andorra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ARE","Asia","United Arab Emirates",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64562.62007,"ARE",25.96615,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ARG","South America","Argentina",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2.9,41.9,12.9,45.2,NA,256.282925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ARM","Asia","Armenia","c",211.11,"73.8885","103.02168","121.81047","139.12149","157.48806","178.38795","202.87671","239.18763","296.18733","598.91907","88.45509","130.46598","167.938005","221.03217","447.5532",0,NA,7698.694581,"ARM",29.87821,2,192.27,161.59,0.3,25.8,64.8,9.4,3.87,11.611964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ATG","North America","Antigua and Barbuda",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21061.86786,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AUS","Oceania","Australia","i",1765.88,"425.57708","776.9872","971.234","1149.58788","1312.04884","1522.18856","1787.07056","2122.58776","2687.66936","4905.61464","601.28214","1060.41094","1417.1187","1954.82916","3796.642",0,NA,43218.51526,"AUS",34.39943,4,1655.85,1329.87,NA,NA,NA,NA,28.14,NA,13.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AUT","Europe","Austria","i",1681.71,"502.83129","822.35619","1020.79797","1199.05923","1385.72904","1582.48911","1791.02115","2058.41304","2450.25147","4005.83322","662.59374","1109.9286","1484.109075","1924.717095","3228.042345",0,-13.3,43908.12714,"AUT",30.84879,4,1634.26,1423.73,NA,NA,NA,NA,27.02,NA,8.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AZE","Asia","Azerbaijan","c",315.14001,"152.8429","186.87802","208.62268","229.73706","250.22116","274.48694","306.94636","350.43568","429.22068","762.00852","169.86046","219.17987","262.35405","328.69102","595.6146",0,NA,16710.29664,"AZE",26.55491,3,312.41,256.42,5.3,24.4,49.4,26.2,5.19,8.492601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
