"","iso_code","continent","Entity","total_cases","new_cases","new_cases_smoothed","total_deaths","new_deaths","new_deaths_smoothed","total_cases_per_million","new_cases_per_million","new_cases_smoothed_per_million","total_deaths_per_million","new_deaths_per_million","new_deaths_smoothed_per_million","reproduction_rate","icu_patients","icu_patients_per_million","hosp_patients","hosp_patients_per_million","weekly_icu_admissions","weekly_icu_admissions_per_million","weekly_hosp_admissions","weekly_hosp_admissions_per_million","new_tests","total_tests","total_tests_per_thousand","new_tests_per_thousand","new_tests_smoothed","new_tests_smoothed_per_thousand","positive_rate","tests_per_case","tests_units","total_vaccinations","people_vaccinated","people_fully_vaccinated","total_boosters","new_vaccinations","new_vaccinations_smoothed","total_vaccinations_per_hundred","people_vaccinated_per_hundred","people_fully_vaccinated_per_hundred","total_boosters_per_hundred","new_vaccinations_smoothed_per_million","new_people_vaccinated_smoothed","new_people_vaccinated_smoothed_per_hundred","stringency_index","population","population_density","median_age","aged_65_older","aged_70_older","gdp_per_capita","extreme_poverty","cardiovasc_death_rate","diabetes_prevalence","female_smokers","male_smokers","handwashing_facilities","hospital_beds_per_thousand","life_expectancy","human_development_index","excess_mortality_cumulative_absolute","excess_mortality_cumulative","excess_mortality","excess_mortality_cumulative_per_million","income_welfare","mean_mthly_income","d1avgincome","d2avgincome","d3avgincome","d4avgincome","d5avgincome","d6avgincome","d7avgincome","d8avgincome","d9avgincome","d10avgincome","q1avgincome","q2avgincome","q3avgincome","q4avgincome","q5avgincome","mthly_income_flag","GDP.growth.from.previous.year..2020.Q2","GDP.per.capita.PPP.2011...WDI..2016.","Code","Gini.index","Income.classification..World.Bank.2017.","Mean.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Median.monthly.per.capita.expenditure.in.2011.int....PovcalNet.2017.","Multidimensional.Poverty..headcount.ratio...Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.education.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.health.to.overall.poverty..Alkire.and.Robles..2016..","Percentage.contribution.of.deprivations.in.living.standards.to.overall.poverty..Alkire.and.Robles..2016..","National.poverty.lines..Jolliffe.and.Prydz..2016..","Cost.of.closing.the.poverty.gap.in.int...2011..PovcalNet..World.Bank...2017..","Poverty.rate...50..of.median...LIS.Key.Figures..2018.","Total.wealth","Produced.capital..including.urban.land.","Natural.capital..timber..non.timber..protected.areas..land..sub.soil.assets.","Natural.capital..renewable..excluding.sub.soil.assets.","Forest..timber","Forest..non.timber","Protected.areas","Land..crop..pasture.","Cropland","Pastureland","Sub.soil.assets..fossil.energy.resources..metals.and.minerals.","Fossil.energy.resources..oil..natural.gas..coal.","Oil","Natural.gas","Coal","Metals.and.minerals","Human.capital","Human.capital..total.male","Human.capital..total.female","Net.foreign.assets","Adjusted.net.national.income","Adjusted.net.saving","Gross.domestic.product","Gross.national.income"
"1","ABW","North America","Aruba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",160659,83228,77431,NA,NA,80,149.88,77.64,72.23,NA,746,36,0.034,NA,107195,584.8,41.2,13.085,7.452,35973.781,NA,NA,11.62,NA,NA,NA,NA,76.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36015.07046,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG","Asia","Afghanistan",156649,39,36,7295,1,0.714,3932.404,0.979,0.904,183.128,0.025,0.018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39835428,54.422,18.6,2.581,1.337,1803.987,NA,597.029,9.59,NA,NA,37.746,0.5,64.83,0.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1844.021503,NA,NA,1,NA,NA,66.2,39.7,28.6,31.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AGO","Africa","Angola",64940,27,25.429,1729,2,0.857,1913.737,0.796,0.749,50.952,0.059,0.025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33933611,23.89,16.8,2.405,1.362,5819.495,NA,276.045,3.94,NA,NA,26.664,NA,61.15,0.581,NA,NA,NA,NA,"c",120.76,"24.99732","40.57536","52.16832","64.0028","78.97704","95.64192","116.5334","148.41404","195.99348","390.17556","32.78634","58.08556","87.30948","132.47372","293.08452",0,NA,6949.021848,"AGO",51.27211,2,120.74,87.02,NA,NA,NA,NA,2.17,1392.07642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AIA","North America","Anguilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",18782,9624,9158,NA,NA,11,124.18,63.63,60.55,NA,727,11,0.073,NA,15125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALB","Europe","Albania",193856,587,533,3004,7,4.857,67476.663,204.321,185.525,1045.621,2.437,1.691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2872934,104.871,38,13.188,8.643,11803.431,1.1,304.195,10.08,7.1,51.2,NA,2.89,78.57,0.795,NA,NA,NA,NA,"c",225.27,"82.44882","116.91513","138.31578","158.36481","182.01816","208.60002","236.98404","276.85683","335.42703","516.54411","99.681975","148.340295","195.30909","256.920435","425.98557",0,NA,10136.02049,"ALB",33.17109,3,225.28,195.06,1.4,32,44.9,23,3.8,4.0223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","AND","Europe","Andorra",15929,22,30.286,130,0,0,205923.417,284.407,391.521,1680.585,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77354,163.755,NA,NA,NA,NA,NA,109.135,7.97,29,37.8,NA,NA,83.73,0.868,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","ARE","Asia","United Arab Emirates",741074,68,71.714,2144,0,0.286,74173.541,6.806,7.178,214.591,0,0.029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9991083,112.442,34,1.144,0.526,67293.483,NA,317.84,17.26,1.2,37.4,NA,1.2,77.97,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64562.62007,"ARE",25.96615,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","ARG","South America","Argentina",5308781,1622,1337.571,116294,44,18.429,116405.771,35.566,29.329,2549.981,0.965,0.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45605823,16.177,31.9,11.198,7.441,18933.907,0.6,191.032,5.5,16.2,27.7,NA,5,76.67,0.845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2.9,41.9,12.9,45.2,NA,256.282925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","ARM","Asia","Armenia",329913,572,1078.429,7107,52,49.286,111151.878,192.714,363.336,2394.439,17.519,16.605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2968128,102.931,35.7,11.232,7.571,8787.58,1.8,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776,NA,NA,NA,NA,"c",211.11,"73.8885","103.02168","121.81047","139.12149","157.48806","178.38795","202.87671","239.18763","296.18733","598.91907","88.45509","130.46598","167.938005","221.03217","447.5532",0,NA,7698.694581,"ARM",29.87821,2,192.27,161.59,0.3,25.8,64.8,9.4,3.87,11.611964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10","ATG","North America","Antigua and Barbuda",4122,4,4.429,107,0,0.286,41751.074,40.515,44.856,1083.786,0,2.894,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98728,231.845,32.1,6.933,4.631,21490.943,NA,191.511,13.17,NA,NA,NA,3.8,77.02,0.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21061.86786,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","AUS","Oceania","Australia",192845,1228,1253.429,1907,9,7,7478.028,47.619,48.605,73.949,0.349,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25788217,3.202,37.9,15.504,10.129,44648.71,0.5,107.791,5.07,13,16.5,NA,3.84,83.44,0.944,NA,NA,NA,NA,"i",1765.88,"425.57708","776.9872","971.234","1149.58788","1312.04884","1522.18856","1787.07056","2122.58776","2687.66936","4905.61464","601.28214","1060.41094","1417.1187","1954.82916","3796.642",0,NA,43218.51526,"AUS",34.39943,4,1655.85,1329.87,NA,NA,NA,NA,28.14,NA,13.939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","AUT","Europe","Austria",981904,10363,11732.429,11807,61,36.143,108580.801,1145.96,1297.394,1305.64,6.745,3.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,464540,104177857,11520.184,51.37,441065,48.774,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9043072,106.749,44.4,19.202,13.748,45436.686,0.7,145.183,6.35,28.4,30.9,NA,7.37,81.54,0.922,NA,NA,NA,NA,"i",1681.71,"502.83129","822.35619","1020.79797","1199.05923","1385.72904","1582.48911","1791.02115","2058.41304","2450.25147","4005.83322","662.59374","1109.9286","1484.109075","1924.717095","3228.042345",0,-13.3,43908.12714,"AUT",30.84879,4,1634.26,1423.73,NA,NA,NA,NA,27.02,NA,8.778,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","AZE","Asia","Azerbaijan",563940,2015,1927.714,7502,31,26,55161.99,197.098,188.56,733.811,3.032,2.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.85,10223344,119.309,32.4,6.018,3.871,15847.419,NA,559.812,7.11,0.3,42.5,83.241,4.7,73,0.756,NA,NA,NA,NA,"c",315.14001,"152.8429","186.87802","208.62268","229.73706","250.22116","274.48694","306.94636","350.43568","429.22068","762.00852","169.86046","219.17987","262.35405","328.69102","595.6146",0,NA,16710.29664,"AZE",26.55491,3,312.41,256.42,5.3,24.4,49.4,26.2,5.19,8.492601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","BDI","Africa","Burundi",20282,6,16,38,0,0,1654.94,0.49,1.306,3.101,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12255429,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,NA,NA,6.144,0.8,61.58,0.433,NA,NA,NA,NA,"c",54.34,"14.99784","22.2794","27.38736","32.38664","37.7663","43.52634","50.97092","62.27364","83.19454","168.56268","18.63862","29.887","40.64632","56.62228","125.87861",0,NA,734.4845955,"BDI",38.62482,1,47.74,36.41,80.8,23.1,28.9,48,1.54,2221.84917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","BEL","Europe","Belgium",1524862,12388,12290.286,26444,41,34.857,131088.224,1064.963,1056.562,2273.318,3.525,2.997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11632334,375.564,41.8,18.571,12.849,42658.576,0.2,114.898,4.29,25.1,31.4,NA,5.64,81.63,0.931,NA,NA,NA,NA,"i",1490.91,"512.87304","772.29138","966.10968","1125.63705","1277.70987","1419.34632","1587.81915","1802.51019","2133.49221","3309.8202","642.58221","1045.873365","1348.528095","1695.16467","2721.656205",0,-14.5,40823.39248,"BEL",27.21441,4,1457.53,1309.03,NA,NA,NA,NA,26.85,NA,8.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","BEN","Africa","Benin",24833,0,4.143,161,0,0,1994.453,0,0.333,12.931,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12451031,99.11,18.8,3.244,1.942,2064.236,49.6,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545,NA,NA,NA,NA,"c",82.610001,"8.261","18.50464","35.27447","44.36157","53.36606","63.52709","77.07513","95.08411","119.86711","310.77882","13.38282","39.81802","58.446575","86.07962","215.322965",0,NA,1936.825582,"BEN",47.75591,1,82.42,54.75,62.2,41.7,13.4,45,1.44,1233.853008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","BES","North America","Bonaire Sint Eustatius and Saba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",35845,19109,16736,NA,NA,196,135.55,72.26,63.29,NA,7412,92,0.348,NA,26445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","BFA","Africa","Burkina Faso",15514,233,58.714,265,31,6.286,721.679,10.839,2.731,12.327,1.442,0.292,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21497097,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,NA,NA,NA,NA,"c",83.839996,"30.1824","39.48864","45.94432","52.06464","58.85568","67.32352","78.30656","94.7392","123.41248","248.1664","34.83552","49.00448","63.0896","86.52288","185.78944",0,NA,1545.077556,"BFA",35.30123,1,83.83,62.61,84,36.2,27.9,35.9,1.64,1447.456556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","BGD","Asia","Bangladesh",1572948,213,216.286,27928,2,3.429,9458.298,1.281,1.301,167.934,0.012,0.021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,166303494,1265.036,27.5,5.098,3.262,3523.984,14.8,298.003,8.38,1,44.7,34.808,0.8,72.59,0.632,NA,NA,NA,NA,"c",117.31,"43.4047","57.95114","68.0398","77.89384","88.09981","100.18274","115.43304","135.96229","171.2726","314.74273","50.67792","72.96682","94.141275","125.697665","243.007665",0,NA,2979.16727,"BGD",32.38527,2,109.03,86.64,41.3,21.1,32.5,46.4,NA,2016.32351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","BGR","Europe","Bulgaria",662739,3869,2819.429,26676,121,160.143,96095.716,560.997,408.811,3867.962,17.545,23.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6116666,886.903,NA,31355,4.546,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6896655,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,NA,7.454,75.05,0.816,NA,NA,NA,NA,"i",569.5,"112.1915","230.078","304.113","366.758","427.6945","493.7565","573.4865","685.1085","863.362","1638.4515","171.13475","335.4355","460.7255","629.2975","1250.90675",0,-8.2,16363.19176,"BGR",41.2841,3,478.49,396.66,NA,NA,NA,NA,7.95,39.325611,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","BHR","Asia","Bahrain",277262,16,21.286,1393,0,0,158589.94,9.152,12.175,796.776,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1748295,1935.907,32.4,2.372,1.387,43290.705,NA,151.689,16.52,5.8,37.6,NA,2,77.29,0.852,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43408.23705,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","BHS","North America","Bahamas",22613,12,3,669,4,1.143,56972.039,30.233,7.558,1685.504,10.078,2.879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,396914,39.497,34.3,8.996,5.2,27717.847,NA,235.954,13.17,3.1,20.4,NA,2.9,73.92,0.814,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22411.05684,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","BIH","Europe","Bosnia and Herzegovina",265942,793,729.286,12113,38,34.857,81490.835,242.994,223.47,3711.706,11.644,10.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,3653,1353609,414.777,1.119,2986,0.915,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3263459,68.496,42.5,16.569,10.711,11713.895,0.2,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78,NA,NA,NA,NA,"c",585.77002,"172.21638","264.76804","329.78851","390.70859","453.38598","523.67838","614.47273","726.94057","909.70081","1472.62578","218.49221","360.24855","488.53218","670.70665","1191.163295",0,NA,9490.143489,"BIH",33.03019,3,605.42,498.5,0.5,26.7,55.8,17.5,9.79,0.529834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","BLR","Europe","Belarus",631025,1754,1900.857,4875,14,14.571,66825.573,185.749,201.301,516.263,1.483,1.543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10062789,1065.65,NA,26846,2.843,NA,NA,"tests performed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9442867,46.858,40.3,14.799,9.788,17167.967,NA,443.129,5.18,10.5,46.1,NA,11,74.79,0.823,NA,NA,NA,NA,"c",571.14001,"242.7345","324.40752","378.66582","434.63754","483.75558","536.8716","601.98156","681.37002","812.16108","1215.38592","283.57101","406.65168","510.31359","641.67579","1013.7735",0,NA,17348.76639,"BLR",25.27785,3,646.27,568.43,0,16.6,61.8,21.7,7.59,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
